"Quarter","Region","Sex","Age","Employed, % (of population)","Underemployed, % (of employed)","Unemployment rate, % (of labour force)"
"2011Q3","Capital region","Males and females","25-54",83.4,3.4,6.2
"2011Q3","Capital region","Males and females","55-74",65.0,3.8,6.2
"2011Q3","Capital region","Males and females","16-64",79.8,5.0,7.1
"2011Q3","Capital region","Males and females","25-64",83.1,3.7,6.3
"2011Q3","Capital region","Males","16-74",79.0,3.1,6.5
"2011Q3","Capital region","Males","16-24",67.6,11.7,11.3
"2011Q3","Capital region","Males","25-54",87.3,1.3,4.9
"2011Q3","Capital region","Males","55-74",68.5,1.3,7.0
"2011Q3","Capital region","Males","16-64",82.3,3.2,6.6
"2011Q3","Capital region","Males","25-64",86.5,1.3,5.5
"2011Q3","Capital region","Females","16-74",72.9,6.7,7.5
"2011Q3","Capital region","Females","16-24",67.1,10.5,9.9
"2011Q3","Capital region","Females","25-54",79.6,5.7,7.5
"2011Q3","Capital region","Females","55-74",61.7,6.4,5.3
"2011Q3","Capital region","Females","16-64",77.2,6.9,7.5
"2011Q3","Capital region","Females","25-64",79.8,6.2,7.0
"2011Q3","Outside Capital region","Males and females","16-74",77.2,3.5,3.5
"2011Q3","Outside Capital region","Males and females","16-24",72.5,6.7,6.0
"2011Q3","Outside Capital region","Males and females","25-54",86.5,2.7,3.2
"2011Q3","Outside Capital region","Males and females","55-74",60.3,3.4,2.8
"2011Q3","Outside Capital region","Males and females","16-64",82.4,3.6,3.6
"2011Q3","Outside Capital region","Males and females","25-64",84.7,2.9,3.1
"2011Q3","Outside Capital region","Males","16-74",81.1,1.9,3.8
"2011Q3","Outside Capital region","Males","16-24",70.2,5.5,7.8
"2011Q3","Outside Capital region","Males","25-54",92.4,1.0,2.4
"2011Q3","Outside Capital region","Males","55-74",63.7,2.1,4.9
"2011Q3","Outside Capital region","Males","16-64",85.8,2.0,3.8
"2011Q3","Outside Capital region","Males","25-64",89.4,1.4,3.0
"2011Q3","Outside Capital region","Females","16-74",72.8,5.5,3.2
"2011Q3","Outside Capital region","Females","16-24",75.1,7.9,4.0
"2011Q3","Outside Capital region","Females","25-54",79.9,5.0,4.1
"2011Q3","Outside Capital region","Females","55-74",56.6,4.9,0.0
"2011Q3","Outside Capital region","Females","16-64",78.5,5.5,3.4
"2011Q3","Outside Capital region","Females","25-64",79.3,4.9,3.2
"2011Q4","Total","Males and females","16-74",73.8,6.2,6.0
"2011Q4","Total","Males and females","16-24",57.2,17.0,13.9
"2011Q4","Total","Males and females","25-54",83.7,4.1,4.9
"2011Q4","Total","Males and females","55-74",63.6,5.4,3.7
"2011Q4","Total","Males and females","16-64",78.0,6.3,6.2
"2011Q4","Total","Males and females","25-64",83.3,4.4,4.7
"2011Q4","Total","Males","16-74",77.4,4.3,6.4
"2011Q4","Total","Males","16-24",53.0,16.7,19.9
"2011Q4","Total","Males","25-54",89.5,2.6,4.1
"2011Q4","Total","Males","55-74",68.7,2.0,3.8
"2011Q4","Total","Males","16-64",81.2,4.5,6.6
"2011Q4","Total","Males","25-64",88.6,2.6,4.1
"2011Q4","Total","Females","16-74",70.1,8.3,5.6
"2011Q4","Total","Females","16-24",61.6,17.3,7.5
"2011Q4","Total","Females","25-54",77.9,5.8,5.8
"2011Q4","Total","Females","55-74",58.5,9.4,3.6
"2011Q4","Total","Females","16-64",74.7,8.3,5.7
"2011Q4","Total","Females","25-64",77.9,6.5,5.4
"2011Q4","Capital region","Males and females","16-74",73.8,6.6,6.7
"2011Q4","Capital region","Males and females","16-24",58.6,18.4,12.8
"2011Q4","Capital region","Males and females","25-54",83.3,4.2,5.9
"2011Q4","Capital region","Males and females","55-74",63.6,5.8,4.4
"2011Q4","Capital region","Males and females","16-64",78.2,6.8,6.9
"2011Q4","Capital region","Males and females","25-64",83.3,4.7,5.7
"2011Q4","Capital region","Males","16-74",77.5,4.7,6.9
"2011Q4","Capital region","Males","16-24",54.5,16.5,19.4
"2011Q4","Capital region","Males","25-54",89.0,3.0,4.8
"2011Q4","Capital region","Males","55-74",68.0,2.6,4.0
"2011Q4","Capital region","Males","16-64",81.2,4.9,7.1
"2011Q4","Capital region","Males","25-64",88.2,3.1,4.8
"2011Q4","Capital region","Females","16-74",70.2,8.7,6.5
"2011Q4","Capital region","Females","16-24",62.7,20.2,6.1
"2011Q4","Capital region","Females","25-54",77.5,5.5,7.1
"2011Q4","Capital region","Females","55-74",59.5,9.2,4.7
"2011Q4","Capital region","Females","16-64",75.1,8.8,6.6
"2011Q4","Capital region","Females","25-64",78.3,6.4,6.7
"2011Q4","Outside Capital region","Males and females","16-74",73.7,5.4,4.7
"2011Q4","Outside Capital region","Males and females","16-24",54.2,13.8,16.1
"2011Q4","Outside Capital region","Males and females","25-54",84.6,3.9,2.8
"2011Q4","Outside Capital region","Males and females","55-74",63.7,4.6,2.6
"2011Q4","Outside Capital region","Males and females","16-64",77.7,5.3,4.8
"2011Q4","Outside Capital region","Males and females","25-64",83.4,4.0,2.8
"2011Q4","Outside Capital region","Males","16-74",77.3,3.4,5.4
"2011Q4","Outside Capital region","Males","16-24",50.0,17.2,20.8
"2011Q4","Outside Capital region","Males","25-54",90.6,1.8,2.5
"2011Q4","Outside Capital region","Males","55-74",69.8,1.0,3.5
"2011Q4","Outside Capital region","Males","16-64",81.3,3.6,5.5
"2011Q4","Outside Capital region","Males","25-64",89.5,1.7,2.8
"2011Q4","Outside Capital region","Females","16-74",69.9,7.6,3.8
"2011Q4","Outside Capital region","Females","16-24",59.2,10.4,10.6
"2011Q4","Outside Capital region","Females","25-54",78.7,6.3,3.0
"2011Q4","Outside Capital region","Females","55-74",56.6,9.8,1.3
"2011Q4","Outside Capital region","Females","16-64",73.9,7.2,4.0
"2011Q4","Outside Capital region","Females","25-64",77.1,6.7,2.8
"2012Q1","Total","Males and females","16-74",73.3,6.5,7.2
"2012Q1","Total","Males and females","16-24",56.9,20.1,17.7
"2012Q1","Total","Males and females","25-54",83.7,3.9,5.7
"2012Q1","Total","Males and females","55-74",61.7,5.3,3.6
"2012Q1","Total","Males and females","16-64",77.4,6.7,7.4
"2012Q1","Total","Males and females","25-64",82.6,4.4,5.3
"2012Q1","Total","Males","16-74",75.7,5.2,7.8
"2012Q1","Total","Males","16-24",52.8,21.1,19.6
"2012Q1","Total","Males","25-54",87.1,3.0,6.1
"2012Q1","Total","Males","55-74",67.1,2.3,4.7
"2012Q1","Total","Males","16-64",79.2,5.4,8.1
"2012Q1","Total","Males","25-64",86.0,3.0,5.9
"2012Q1","Total","Females","16-74",70.8,7.9,6.4
"2012Q1","Total","Females","16-24",61.3,19.2,15.9
"2012Q1","Total","Females","25-54",80.3,4.9,5.2
"2012Q1","Total","Females","55-74",56.3,8.9,2.2
"2012Q1","Total","Females","16-64",75.6,8.0,6.6
"2012Q1","Total","Females","25-64",79.1,5.9,4.6
"2012Q1","Capital region","Males and females","16-74",72.6,6.5,8.1
"2012Q1","Capital region","Males and females","16-24",58.2,20.3,18.7
"2012Q1","Capital region","Males and females","25-54",83.1,3.6,6.1
"2012Q1","Capital region","Males and females","55-74",59.9,4.6,4.4
"2012Q1","Capital region","Males and females","16-64",76.4,6.7,8.4
"2012Q1","Capital region","Males and females","25-64",81.6,3.9,5.9
"2012Q1","Capital region","Males","16-74",74.4,6.1,8.4
"2012Q1","Capital region","Males","16-24",56.6,21.7,18.8
"2012Q1","Capital region","Males","25-54",85.6,3.6,6.2
"2012Q1","Capital region","Males","55-74",61.7,2.2,6.3
"2012Q1","Capital region","Males","16-64",77.8,6.4,8.7
"2012Q1","Capital region","Males","25-64",83.8,3.5,6.4
"2012Q1","Capital region","Females","16-74",70.7,7.0,7.8
"2012Q1","Capital region","Females","16-24",59.8,19.0,18.5
"2012Q1","Capital region","Females","25-54",80.5,3.7,6.1
"2012Q1","Capital region","Females","55-74",58.3,6.9,2.6
"2012Q1","Capital region","Females","16-64",74.9,7.0,8.0
"2012Q1","Capital region","Females","25-64",79.3,4.4,5.4
"2012Q1","Outside Capital region","Males and females","16-74",74.6,6.4,5.5
"2012Q1","Outside Capital region","Males and females","16-24",53.4,19.7,15.0
"2012Q1","Outside Capital region","Males and females","25-54",84.9,4.4,4.9
"2012Q1","Outside Capital region","Males and females","55-74",64.5,6.3,2.3
"2012Q1","Outside Capital region","Males and females","16-64",79.3,6.7,5.5
"2012Q1","Outside Capital region","Males and females","25-64",84.3,5.1,4.3
"2012Q1","Outside Capital region","Males","16-74",78.1,3.6,6.9
"2012Q1","Outside Capital region","Males","16-24",44.4,19.4,21.9
"2012Q1","Outside Capital region","Males","25-54",90.0,1.9,6.1
"2012Q1","Outside Capital region","Males","55-74",74.5,2.4,2.7
"2012Q1","Outside Capital region","Males","16-64",81.6,3.8,7.0
"2012Q1","Outside Capital region","Males","25-64",89.6,2.2,5.1
"2012Q1","Outside Capital region","Females","16-74",70.9,9.8,3.7
"2012Q1","Outside Capital region","Females","16-24",65.8,20.0,7.4
"2012Q1","Outside Capital region","Females","25-54",80.0,7.1,3.6
"2012Q1","Outside Capital region","Females","55-74",52.8,12.8,1.5
"2012Q1","Outside Capital region","Females","16-64",76.9,9.9,3.8
"2012Q1","Outside Capital region","Females","25-64",78.7,8.5,3.3
"2012Q2","Total","Males and females","16-74",76.9,5.8,7.2
"2012Q2","Total","Males and females","16-24",70.0,15.9,17.9
"2012Q2","Total","Males and females","25-54",86.2,3.5,4.9
"2012Q2","Total","Males and females","55-74",61.5,4.4,4.1
"2012Q2","Total","Males and females","16-64",81.6,5.9,7.3
"2012Q2","Total","Males and females","25-64",84.6,3.8,4.8
"2012Q2","Total","Males","16-74",78.9,3.7,7.2
"2012Q2","Total","Males","16-24",71.1,13.5,16.6
"2012Q2","Total","Males","25-54",87.6,1.4,5.1
"2012Q2","Total","Males","55-74",65.6,2.7,4.7
"2012Q2","Total","Males","16-64",83.3,3.8,7.3
"2012Q2","Total","Males","25-64",86.5,1.7,5.0
"2012Q2","Total","Females","16-74",74.9,8.0,7.2
"2012Q2","Total","Females","16-24",68.7,18.6,19.3
"2012Q2","Total","Females","25-54",84.7,5.7,4.7
"2012Q2","Total","Females","55-74",57.4,6.4,3.5
"2012Q2","Total","Females","16-64",79.9,8.1,7.4
"2012Q2","Total","Females","25-64",82.6,5.9,4.5
"2012Q2","Capital region","Males and females","16-74",76.7,6.0,8.0
"2012Q2","Capital region","Males and females","16-24",69.3,17.2,17.9
"2012Q2","Capital region","Males and females","25-54",85.9,3.7,5.3
"2012Q2","Capital region","Males and females","55-74",61.4,2.9,5.7
"2012Q2","Capital region","Males and females","16-64",80.7,6.2,8.2
"2012Q2","Capital region","Males and females","25-64",84.0,3.6,5.5
"2012Q2","Capital region","Males","16-74",78.3,4.6,8.1
"2012Q2","Capital region","Males","16-24",71.5,15.1,16.0
"2012Q2","Capital region","Males","25-54",86.7,2.0,5.7
"2012Q2","Capital region","Males","55-74",63.8,2.0,6.9
"2012Q2","Capital region","Males","16-64",82.4,4.8,8.2
"2012Q2","Capital region","Males","25-64",85.7,2.1,5.9
"2012Q2","Capital region","Females","16-74",75.1,7.5,7.9
"2012Q2","Capital region","Females","16-24",67.0,19.7,19.9
"2012Q2","Capital region","Females","25-54",85.0,5.3,5.0
"2012Q2","Capital region","Females","55-74",59.2,3.9,4.5
"2012Q2","Capital region","Females","16-64",79.1,7.8,8.1
"2012Q2","Capital region","Females","25-64",82.4,5.1,5.0
"2012Q2","Outside Capital region","Males and females","16-74",77.4,5.3,5.6
"2012Q2","Outside Capital region","Males and females","16-24",71.6,12.5,17.9
"2012Q2","Outside Capital region","Males and females","25-54",86.7,3.3,4.1
"2012Q2","Outside Capital region","Males and females","55-74",61.8,6.6,1.6
"2012Q2","Outside Capital region","Males and females","16-64",83.3,5.1,5.8
"2012Q2","Outside Capital region","Males and females","25-64",85.5,4.0,3.6
"2012Q2","Outside Capital region","Males","16-74",80.1,2.2,5.5
"2012Q2","Outside Capital region","Males","16-24",70.0,8.9,18.1
"2012Q2","Outside Capital region","Males","25-54",89.0,0.4,4.2
"2012Q2","Outside Capital region","Males","55-74",68.1,3.6,1.8
"2012Q2","Outside Capital region","Males","16-64",85.0,2.1,5.8
"2012Q2","Outside Capital region","Males","25-64",87.8,1.1,3.7
"2012Q2","Outside Capital region","Females","16-74",74.5,8.8,5.7
"2012Q2","Outside Capital region","Females","16-24",73.3,16.0,17.7
"2012Q2","Outside Capital region","Females","25-54",84.3,6.6,4.0
"2012Q2","Outside Capital region","Females","55-74",54.4,11.0,1.4
"2012Q2","Outside Capital region","Females","16-64",81.4,8.6,5.9
"2012Q2","Outside Capital region","Females","25-64",82.9,7.4,3.5
"2012Q3","Total","Males and females","16-74",77.2,5.4,5.0
"2012Q3","Total","Males and females","16-24",73.4,12.4,7.9
"2012Q3","Total","Males and females","25-54",85.8,3.9,4.5
"2012Q3","Total","Males and females","55-74",61.3,3.9,4.1
"2012Q3","Total","Males and females","16-64",82.3,5.6,5.0
"2012Q3","Total","Males and females","25-64",84.6,4.1,4.4
"2012Q3","Total","Males","16-74",79.8,3.2,5.0
"2012Q3","Total","Males","16-24",70.5,8.8,8.9
"2012Q3","Total","Males","25-54",89.0,2.1,4.3
"2012Q3","Total","Males","55-74",66.2,1.9,4.1
"2012Q3","Total","Males","16-64",84.3,3.3,5.1
"2012Q3","Total","Males","25-64",87.8,2.2,4.3
"2012Q3","Total","Females","16-74",74.6,7.8,5.0
"2012Q3","Total","Females","16-24",76.5,15.8,6.9
"2012Q3","Total","Females","25-54",82.4,5.9,4.7
"2012Q3","Total","Females","55-74",56.4,6.2,4.2
"2012Q3","Total","Females","16-64",80.3,8.0,5.0
"2012Q3","Total","Females","25-64",81.2,6.1,4.5
"2012Q3","Capital region","Males and females","16-74",76.8,5.3,5.5
"2012Q3","Capital region","Males and females","16-24",72.3,12.1,7.7
"2012Q3","Capital region","Males and females","25-54",84.7,3.7,4.8
"2012Q3","Capital region","Males and females","55-74",62.6,3.7,5.4
"2012Q3","Capital region","Males and females","16-64",81.3,5.4,5.6
"2012Q3","Capital region","Males and females","25-64",83.9,3.9,5.0
"2012Q3","Capital region","Males","16-74",78.7,4.0,5.7
"2012Q3","Capital region","Males","16-24",67.8,10.7,9.1
"2012Q3","Capital region","Males","25-54",87.6,2.6,4.9
"2012Q3","Capital region","Males","55-74",67.6,2.3,5.2
"2012Q3","Capital region","Males","16-64",82.6,4.2,5.9
"2012Q3","Capital region","Males","25-64",86.9,2.6,5.1
"2012Q3","Capital region","Females","16-74",75.0,6.7,5.3
"2012Q3","Capital region","Females","16-24",77.2,13.4,6.3
"2012Q3","Capital region","Females","25-54",81.8,5.0,4.8
"2012Q3","Capital region","Females","55-74",57.7,5.2,5.7
"2012Q3","Capital region","Females","16-64",80.1,6.8,5.2
"2012Q3","Capital region","Females","25-64",80.9,5.1,5.0
"2012Q3","Outside Capital region","Males and females","16-74",77.9,5.6,4.1
"2012Q3","Outside Capital region","Males and females","16-24",76.2,13.0,8.3
"2012Q3","Outside Capital region","Males and females","25-54",87.7,4.3,3.8
"2012Q3","Outside Capital region","Males and females","55-74",59.3,4.2,1.8
"2012Q3","Outside Capital region","Males and females","16-64",84.1,5.7,4.1
"2012Q3","Outside Capital region","Males and females","25-64",85.7,4.4,3.2
"2012Q3","Outside Capital region","Males","16-74",81.7,1.8,3.8
"2012Q3","Outside Capital region","Males","16-24",77.6,4.6,8.4
"2012Q3","Outside Capital region","Males","25-54",91.5,1.4,3.3
"2012Q3","Outside Capital region","Males","55-74",64.1,1.2,2.3
"2012Q3","Outside Capital region","Males","16-64",87.4,1.9,3.7
"2012Q3","Outside Capital region","Males","25-64",89.4,1.4,2.8
"2012Q3","Outside Capital region","Females","16-74",73.9,10.0,4.4
"2012Q3","Outside Capital region","Females","16-24",75.0,21.4,8.2
"2012Q3","Outside Capital region","Females","25-54",83.6,7.7,4.4
"2012Q3","Outside Capital region","Females","55-74",54.3,7.9,1.2
"2012Q3","Outside Capital region","Females","16-64",80.7,10.1,4.5
"2012Q3","Outside Capital region","Females","25-64",81.9,7.9,3.7
"2012Q4","Total","Males and females","16-74",75.0,5.6,4.7
"2012Q4","Total","Males and females","16-24",63.5,17.3,10.7
"2012Q4","Total","Males and females","25-54",84.9,3.7,3.3
"2012Q4","Total","Males and females","55-74",61.6,2.7,4.5
"2012Q4","Total","Males and females","16-64",79.6,5.8,4.8
"2012Q4","Total","Males and females","25-64",83.7,3.6,3.6
"2012Q4","Total","Males","16-74",76.9,4.2,5.4
"2012Q4","Total","Males","16-24",58.0,15.3,14.2
"2012Q4","Total","Males","25-54",88.0,2.7,3.6
"2012Q4","Total","Males","55-74",66.7,1.6,4.3
"2012Q4","Total","Males","16-64",81.0,4.4,5.5
"2012Q4","Total","Males","25-64",87.0,2.5,3.8
"2012Q4","Total","Females","16-74",73.0,7.1,4.0
"2012Q4","Total","Females","16-24",69.5,19.2,7.3
"2012Q4","Total","Females","25-54",81.8,4.9,2.9
"2012Q4","Total","Females","55-74",56.5,4.0,4.7
"2012Q4","Total","Females","16-64",78.3,7.2,4.2
"2012Q4","Total","Females","25-64",80.4,4.7,3.5
"2012Q4","Capital region","Males and females","16-74",74.6,5.5,5.1
"2012Q4","Capital region","Males and females","16-24",63.4,16.8,9.1
"2012Q4","Capital region","Males and females","25-54",83.7,3.6,3.8
"2012Q4","Capital region","Males and females","55-74",63.6,2.0,5.3
"2012Q4","Capital region","Males and females","16-64",78.7,5.8,5.3
"2012Q4","Capital region","Males and females","25-64",83.0,3.4,4.4
"2012Q4","Capital region","Males","16-74",75.5,4.6,6.1
"2012Q4","Capital region","Males","16-24",55.6,14.8,14.1
"2012Q4","Capital region","Males","25-54",86.2,3.2,4.7
"2012Q4","Capital region","Males","55-74",68.9,1.7,4.3
"2012Q4","Capital region","Males","16-64",78.9,4.8,6.4
"2012Q4","Capital region","Males","25-64",85.7,3.0,4.7
"2012Q4","Capital region","Females","16-74",73.6,6.5,3.9
"2012Q4","Capital region","Females","16-24",72.0,18.5,4.4
"2012Q4","Capital region","Females","25-54",81.2,4.0,2.9
"2012Q4","Capital region","Females","55-74",58.1,2.4,6.5
"2012Q4","Capital region","Females","16-64",78.4,6.8,4.1
"2012Q4","Capital region","Females","25-64",80.2,3.8,4.0
"2012Q4","Outside Capital region","Males and females","16-74",75.8,5.8,4.1
"2012Q4","Outside Capital region","Males and females","16-24",63.8,18.6,14.9
"2012Q4","Outside Capital region","Males and females","25-54",87.1,3.9,2.3
"2012Q4","Outside Capital region","Males and females","55-74",57.8,4.0,3.0
"2012Q4","Outside Capital region","Males and females","16-64",81.5,5.8,4.1
"2012Q4","Outside Capital region","Males and females","25-64",85.0,4.0,2.3
"2012Q4","Outside Capital region","Males","16-74",79.8,3.5,4.0
"2012Q4","Outside Capital region","Males","16-24",64.5,16.5,14.4
"2012Q4","Outside Capital region","Males","25-54",91.5,1.8,1.7
"2012Q4","Outside Capital region","Males","55-74",62.3,1.3,4.4
"2012Q4","Outside Capital region","Males","16-64",85.2,3.7,3.8
"2012Q4","Outside Capital region","Males","25-64",89.5,1.7,1.9
"2012Q4","Outside Capital region","Females","16-74",71.8,8.2,4.3
"2012Q4","Outside Capital region","Females","16-24",62.9,21.1,15.5
"2012Q4","Outside Capital region","Females","25-54",82.8,6.3,2.9
"2012Q4","Outside Capital region","Females","55-74",53.8,6.8,1.4
"2012Q4","Outside Capital region","Females","16-64",78.0,8.1,4.4
"2012Q4","Outside Capital region","Females","25-64",80.6,6.3,2.6
"2013Q1","Total","Males and females","16-74",74.3,7.2,5.8
"2013Q1","Total","Males and females","16-24",62.8,24.7,10.8
"2013Q1","Total","Males and females","25-54",83.6,4.0,5.2
"2013Q1","Total","Males and females","55-74",62.2,4.2,3.8
"2013Q1","Total","Males and females","16-64",78.9,7.3,5.9
"2013Q1","Total","Males and females","25-64",82.9,4.0,4.9
"2013Q1","Total","Males","16-74",76.4,5.9,6.1
"2013Q1","Total","Males","16-24",56.7,24.9,14.4
"2013Q1","Total","Males","25-54",86.5,2.7,4.7
"2013Q1","Total","Males","55-74",69.1,3.3,4.3
"2013Q1","Total","Males","16-64",80.2,5.8,6.2
"2013Q1","Total","Males","25-64",86.4,2.5,4.6
"2013Q1","Total","Females","16-74",72.2,8.6,5.4
"2013Q1","Total","Females","16-24",69.6,24.4,7.3
"2013Q1","Total","Females","25-54",80.8,5.4,5.6
"2013Q1","Total","Females","55-74",55.4,5.3,3.2
"2013Q1","Total","Females","16-64",77.6,8.9,5.5
"2013Q1","Total","Females","25-64",79.5,5.6,5.2
"2013Q1","Capital region","Males and females","16-74",73.7,7.3,6.4
"2013Q1","Capital region","Males and females","16-24",62.2,25.8,11.3
"2013Q1","Capital region","Males and females","25-54",82.4,3.7,6.0
"2013Q1","Capital region","Males and females","55-74",63.1,3.5,3.3
"2013Q1","Capital region","Males and females","16-64",77.9,7.4,6.5
"2013Q1","Capital region","Males and females","25-64",82.2,3.5,5.4
"2013Q1","Capital region","Males","16-74",75.2,6.7,6.8
"2013Q1","Capital region","Males","16-24",54.7,27.2,16.7
"2013Q1","Capital region","Males","25-54",86.0,3.2,5.3
"2013Q1","Capital region","Males","55-74",68.6,3.3,3.5
"2013Q1","Capital region","Males","16-64",78.6,6.6,7.0
"2013Q1","Capital region","Males","25-64",85.6,2.8,4.9
"2013Q1","Capital region","Females","16-74",72.1,8.0,6.0
"2013Q1","Capital region","Females","16-24",70.2,24.6,6.3
"2013Q1","Capital region","Females","25-54",79.1,4.2,6.8
"2013Q1","Capital region","Females","55-74",57.1,3.9,2.9
"2013Q1","Capital region","Females","16-64",77.1,8.2,6.1
"2013Q1","Capital region","Females","25-64",78.9,4.3,6.0
"2013Q1","Outside Capital region","Males and females","16-74",75.6,7.0,4.7
"2013Q1","Outside Capital region","Males and females","16-24",64.3,22.0,9.6
"2013Q1","Outside Capital region","Males and females","25-54",85.8,4.6,3.6
"2013Q1","Outside Capital region","Males and females","55-74",60.8,5.4,4.8
"2013Q1","Outside Capital region","Males and females","16-64",80.9,7.1,4.6
"2013Q1","Outside Capital region","Males and females","25-64",84.2,4.9,3.8
"2013Q1","Outside Capital region","Males","16-74",78.7,4.6,5.0
"2013Q1","Outside Capital region","Males","16-24",61.2,20.2,9.4
"2013Q1","Outside Capital region","Males","25-54",87.3,2.0,3.9
"2013Q1","Outside Capital region","Males","55-74",69.9,3.4,5.7
"2013Q1","Outside Capital region","Males","16-64",83.1,4.5,4.8
"2013Q1","Outside Capital region","Males","25-64",87.8,2.1,4.1
"2013Q1","Outside Capital region","Females","16-74",72.3,9.8,4.3
"2013Q1","Outside Capital region","Females","16-24",68.2,24.0,9.9
"2013Q1","Outside Capital region","Females","25-54",84.1,7.7,3.3
"2013Q1","Outside Capital region","Females","55-74",52.8,7.7,3.7
"2013Q1","Outside Capital region","Females","16-64",78.5,10.1,4.4
"2013Q1","Outside Capital region","Females","25-64",80.4,8.0,3.6
"2013Q2","Total","Males and females","16-74",77.6,6.2,6.8
"2013Q2","Total","Males and females","16-24",71.6,15.1,16.2
"2013Q2","Total","Males and females","25-54",86.0,4.4,5.1
"2013Q2","Total","Males and females","55-74",63.7,4.5,3.6
"2013Q2","Total","Males and females","16-64",82.3,6.2,7.0
"2013Q2","Total","Males and females","25-64",85.0,4.3,4.8
"2013Q2","Total","Males","16-74",80.2,3.5,7.4
"2013Q2","Total","Males","16-24",65.5,11.7,20.5
"2013Q2","Total","Males","25-54",89.6,1.8,4.5
"2013Q2","Total","Males","55-74",70.5,2.5,4.4
"2013Q2","Total","Males","16-64",84.1,3.4,7.5
"2013Q2","Total","Males","25-64",89.0,1.9,4.4
"2013Q2","Total","Females","16-74",74.9,9.2,6.2
"2013Q2","Total","Females","16-24",78.4,18.4,11.6
"2013Q2","Total","Females","25-54",82.4,7.2,5.6
"2013Q2","Total","Females","55-74",56.9,7.0,2.6
"2013Q2","Total","Females","16-64",80.5,9.2,6.4
"2013Q2","Total","Females","25-64",81.0,7.1,5.1
"2013Q2","Capital region","Males and females","16-74",76.4,6.3,7.9
"2013Q2","Capital region","Males and females","16-24",71.2,15.5,17.9
"2013Q2","Capital region","Males and females","25-54",84.5,4.6,5.7
"2013Q2","Capital region","Males and females","55-74",63.2,3.4,4.6
"2013Q2","Capital region","Males and females","16-64",81.0,6.4,8.2
"2013Q2","Capital region","Males and females","25-64",83.7,4.2,5.6
"2013Q2","Capital region","Males","16-74",78.5,4.4,8.6
"2013Q2","Capital region","Males","16-24",65.6,14.0,22.7
"2013Q2","Capital region","Males","25-54",87.9,2.4,5.1
"2013Q2","Capital region","Males","55-74",68.8,2.3,5.2
"2013Q2","Capital region","Males","16-64",82.4,4.3,8.8
"2013Q2","Capital region","Males","25-64",87.3,2.2,5.1
"2013Q2","Capital region","Females","16-74",74.4,8.4,7.2
"2013Q2","Capital region","Females","16-24",77.4,17.0,12.8
"2013Q2","Capital region","Females","25-54",81.2,7.0,6.4
"2013Q2","Capital region","Females","55-74",57.7,4.7,3.9
"2013Q2","Capital region","Females","16-64",79.7,8.5,7.5
"2013Q2","Capital region","Females","25-64",80.3,6.4,6.0
"2013Q2","Outside Capital region","Males and females","16-74",79.7,6.0,4.7
"2013Q2","Outside Capital region","Males and females","16-24",72.5,14.2,12.0
"2013Q2","Outside Capital region","Males and females","25-54",88.8,4.0,3.9
"2013Q2","Outside Capital region","Males and females","55-74",64.7,6.3,1.8
"2013Q2","Outside Capital region","Males and females","16-64",84.8,5.9,4.8
"2013Q2","Outside Capital region","Males and females","25-64",87.4,4.5,3.4
"2013Q2","Outside Capital region","Males","16-74",83.2,2.0,5.1
"2013Q2","Outside Capital region","Males","16-24",65.5,6.4,15.1
"2013Q2","Outside Capital region","Males","25-54",92.6,0.9,3.6
"2013Q2","Outside Capital region","Males","55-74",73.5,2.7,3.1
"2013Q2","Outside Capital region","Males","16-64",87.3,1.9,5.1
"2013Q2","Outside Capital region","Males","25-64",92.0,1.2,3.4
"2013Q2","Outside Capital region","Females","16-74",76.0,10.6,4.2
"2013Q2","Outside Capital region","Females","16-24",80.6,21.5,8.9
"2013Q2","Outside Capital region","Females","25-54",84.7,7.7,4.3
"2013Q2","Outside Capital region","Females","55-74",55.3,11.3,0.0
"2013Q2","Outside Capital region","Females","16-64",82.1,10.5,4.4
"2013Q2","Outside Capital region","Females","25-64",82.4,8.4,3.4
"2013Q3","Total","Males and females","16-74",79.2,4.6,4.4
"2013Q3","Total","Males and females","16-24",77.1,10.2,7.7
"2013Q3","Total","Males and females","25-54",87.2,3.6,4.2
"2013Q3","Total","Males and females","55-74",63.5,3.0,1.8
"2013Q3","Total","Males and females","16-64",84.3,4.6,4.5
"2013Q3","Total","Males and females","25-64",86.1,3.3,3.7
"2013Q3","Total","Males","16-74",81.8,2.9,4.5
"2013Q3","Total","Males","16-24",74.6,7.8,8.7
"2013Q3","Total","Males","25-54",90.4,2.2,4.3
"2013Q3","Total","Males","55-74",68.6,1.2,1.9
"2013Q3","Total","Males","16-64",86.7,2.9,4.6
"2013Q3","Total","Males","25-64",89.8,1.9,3.7
"2013Q3","Total","Females","16-74",76.4,6.4,4.2
"2013Q3","Total","Females","16-24",79.9,12.6,6.8
"2013Q3","Total","Females","25-54",83.9,5.0,4.2
"2013Q3","Total","Females","55-74",58.4,5.1,1.7
"2013Q3","Total","Females","16-64",81.9,6.3,4.3
"2013Q3","Total","Females","25-64",82.4,4.9,3.7
"2013Q3","Capital region","Males and females","16-74",78.1,5.0,5.1
"2013Q3","Capital region","Males and females","16-24",77.1,9.1,7.8
"2013Q3","Capital region","Males and females","25-54",85.4,4.3,5.3
"2013Q3","Capital region","Males and females","55-74",62.4,3.1,1.8
"2013Q3","Capital region","Males and females","16-64",83.3,5.0,5.3
