Degree,Year,field,Total,Males,Females
Associate & diploma degree,2016,Unknown,0,0,0
Associate & diploma degree,2017,Total,236,109,127
Associate & diploma degree,2017,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2017,Literacy and numeracy,0,0,0
Associate & diploma degree,2017,Personal skills,0,0,0
Associate & diploma degree,2017,Teacher training and educational science,0,0,0
Associate & diploma degree,2017,Arts,1,1,0
Associate & diploma degree,2017,Humanities,175,80,95
Associate & diploma degree,2017,Social and behavioural science,0,0,0
Associate & diploma degree,2017,Journalism and information,0,0,0
Associate & diploma degree,2017,Business and administration,4,4,0
Associate & diploma degree,2017,Law,0,0,0
Associate & diploma degree,2017,Life science,0,0,0
Associate & diploma degree,2017,Physical science,0,0,0
Associate & diploma degree,2017,Mathematics and statistics,0,0,0
Associate & diploma degree,2017,Computing,0,0,0
Associate & diploma degree,2017,"Science, not specified",0,0,0
Associate & diploma degree,2017,Engineering and engineering trades,0,0,0
Associate & diploma degree,2017,Manufacturing and processing,0,0,0
Associate & diploma degree,2017,Architecture and building,0,0,0
Associate & diploma degree,2017,"Certified trades, not specified",0,0,0
Associate & diploma degree,2017,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,2017,Veterinary,0,0,0
Associate & diploma degree,2017,Health,0,0,0
Associate & diploma degree,2017,Social services,0,0,0
Associate & diploma degree,2017,Personal services,56,24,32
Associate & diploma degree,2017,Transport services,0,0,0
Associate & diploma degree,2017,Environmental protection,0,0,0
Associate & diploma degree,2017,Security services,0,0,0
Associate & diploma degree,2017,Unknown,0,0,0
Associate & diploma degree,2018,Total,291,99,192
Associate & diploma degree,2018,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2018,Literacy and numeracy,0,0,0
Associate & diploma degree,2018,Personal skills,0,0,0
Associate & diploma degree,2018,Teacher training and educational science,0,0,0
Associate & diploma degree,2018,Arts,0,0,0
Associate & diploma degree,2018,Humanities,232,84,148
Associate & diploma degree,2018,Social and behavioural science,32,5,27
Associate & diploma degree,2018,Journalism and information,0,0,0
Associate & diploma degree,2018,Business and administration,6,2,4
Associate & diploma degree,2018,Law,0,0,0
Associate & diploma degree,2018,Life science,0,0,0
Associate & diploma degree,2018,Physical science,0,0,0
Associate & diploma degree,2018,Mathematics and statistics,0,0,0
Associate & diploma degree,2018,Computing,0,0,0
Associate & diploma degree,2018,"Science, not specified",0,0,0
Associate & diploma degree,2018,Engineering and engineering trades,0,0,0
Associate & diploma degree,2018,Manufacturing and processing,0,0,0
Associate & diploma degree,2018,Architecture and building,0,0,0
Associate & diploma degree,2018,"Certified trades, not specified",0,0,0
Associate & diploma degree,2018,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,2018,Veterinary,0,0,0
Associate & diploma degree,2018,Health,0,0,0
Associate & diploma degree,2018,Social services,0,0,0
Associate & diploma degree,2018,Personal services,21,8,13
Associate & diploma degree,2018,Transport services,0,0,0
Associate & diploma degree,2018,Environmental protection,0,0,0
Associate & diploma degree,2018,Security services,0,0,0
Associate & diploma degree,2018,Unknown,0,0,0
Associate & diploma degree,2019,Total,375,97,278
Associate & diploma degree,2019,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2019,Literacy and numeracy,0,0,0
Associate & diploma degree,2019,Personal skills,0,0,0
Associate & diploma degree,2019,Teacher training and educational science,0,0,0
Associate & diploma degree,2019,Arts,0,0,0
Associate & diploma degree,2019,Humanities,229,79,150
Associate & diploma degree,2019,Social and behavioural science,37,7,30
Associate & diploma degree,2019,Journalism and information,0,0,0
Associate & diploma degree,2019,Business and administration,10,7,3
Associate & diploma degree,2019,Law,0,0,0
Associate & diploma degree,2019,Life science,0,0,0
Associate & diploma degree,2019,Physical science,0,0,0
Associate & diploma degree,2019,Mathematics and statistics,0,0,0
Associate & diploma degree,2019,Computing,0,0,0
Associate & diploma degree,2019,"Science, not specified",0,0,0
Associate & diploma degree,2019,Engineering and engineering trades,4,4,0
Associate & diploma degree,2019,Manufacturing and processing,0,0,0
Associate & diploma degree,2019,Architecture and building,0,0,0
Associate & diploma degree,2019,"Certified trades, not specified",0,0,0
Associate & diploma degree,2019,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,2019,Veterinary,0,0,0
Associate & diploma degree,2019,Health,95,0,95
Associate & diploma degree,2019,Social services,0,0,0
Associate & diploma degree,2019,Personal services,0,0,0
Associate & diploma degree,2019,Transport services,0,0,0
Associate & diploma degree,2019,Environmental protection,0,0,0
Associate & diploma degree,2019,Security services,0,0,0
Associate & diploma degree,2019,Unknown,0,0,0
Basic & first degree,1997,Total,7688,3081,4607
Basic & first degree,1997,"Basic/broad, general programmes",0,0,0
Basic & first degree,1997,Literacy and numeracy,0,0,0
Basic & first degree,1997,Personal skills,0,0,0
Basic & first degree,1997,Teacher training and educational science,1352,238,1114
Basic & first degree,1997,Arts,224,79,145
Basic & first degree,1997,Humanities,1097,393,704
Basic & first degree,1997,Social and behavioural science,825,300,525
Basic & first degree,1997,Journalism and information,119,17,102
Basic & first degree,1997,Business and administration,1096,619,477
Basic & first degree,1997,Law,440,233,207
Basic & first degree,1997,Life science,203,82,121
Basic & first degree,1997,Physical science,159,100,59
Basic & first degree,1997,Mathematics and statistics,31,25,6
Basic & first degree,1997,Computing,417,326,91
Basic & first degree,1997,"Science, not specified",5,3,2
Basic & first degree,1997,Engineering and engineering trades,255,230,25
Basic & first degree,1997,Manufacturing and processing,62,22,40
Basic & first degree,1997,Architecture and building,105,86,19
Basic & first degree,1997,"Certified trades, not specified",0,0,0
Basic & first degree,1997,"Agriculture, forestry and fishery",76,64,12
Basic & first degree,1997,Veterinary,0,0,0
Basic & first degree,1997,Health,1188,263,925
Basic & first degree,1997,Social services,34,1,33
Basic & first degree,1997,Personal services,0,0,0
Basic & first degree,1997,Transport services,0,0,0
Basic & first degree,1997,Environmental protection,0,0,0
Basic & first degree,1997,Security services,0,0,0
Basic & first degree,1997,Unknown,0,0,0
Basic & first degree,1998,Total,8027,3045,4982
Basic & first degree,1998,"Basic/broad, general programmes",0,0,0
Basic & first degree,1998,Literacy and numeracy,0,0,0
Basic & first degree,1998,Personal skills,0,0,0
Basic & first degree,1998,Teacher training and educational science,1490,242,1248
Basic & first degree,1998,Arts,236,86,150
Basic & first degree,1998,Humanities,1026,346,680
Basic & first degree,1998,Social and behavioural science,855,283,572
Basic & first degree,1998,Journalism and information,120,11,109
Basic & first degree,1998,Business and administration,1239,638,601
Basic & first degree,1998,Law,414,222,192
Basic & first degree,1998,Life science,189,66,123
Basic & first degree,1998,Physical science,147,85,62
Basic & first degree,1998,Mathematics and statistics,31,25,6
Basic & first degree,1998,Computing,445,335,110
Basic & first degree,1998,"Science, not specified",35,10,25
Basic & first degree,1998,Engineering and engineering trades,292,253,39
Basic & first degree,1998,Manufacturing and processing,58,20,38
Basic & first degree,1998,Architecture and building,113,93,20
Basic & first degree,1998,"Certified trades, not specified",0,0,0
Basic & first degree,1998,"Agriculture, forestry and fishery",69,53,16
Basic & first degree,1998,Veterinary,0,0,0
Basic & first degree,1998,Health,1231,273,958
Basic & first degree,1998,Social services,37,4,33
Basic & first degree,1998,Personal services,0,0,0
Basic & first degree,1998,Transport services,0,0,0
Basic & first degree,1998,Environmental protection,0,0,0
Basic & first degree,1998,Security services,0,0,0
Basic & first degree,1998,Unknown,0,0,0
Basic & first degree,1999,Total,8772,3355,5417
Basic & first degree,1999,"Basic/broad, general programmes",0,0,0
Basic & first degree,1999,Literacy and numeracy,0,0,0
Basic & first degree,1999,Personal skills,0,0,0
Basic & first degree,1999,Teacher training and educational science,1422,212,1210
Basic & first degree,1999,Arts,242,85,157
Basic & first degree,1999,Humanities,1139,404,735
Basic & first degree,1999,Social and behavioural science,912,323,589
Basic & first degree,1999,Journalism and information,130,18,112
Basic & first degree,1999,Business and administration,1568,770,798
Basic & first degree,1999,Law,439,220,219
Basic & first degree,1999,Life science,262,76,186
Basic & first degree,1999,Physical science,170,87,83
Basic & first degree,1999,Mathematics and statistics,33,22,11
Basic & first degree,1999,Computing,557,416,141
Basic & first degree,1999,"Science, not specified",16,6,10
Basic & first degree,1999,Engineering and engineering trades,336,284,52
Basic & first degree,1999,Manufacturing and processing,47,17,30
Basic & first degree,1999,Architecture and building,131,99,32
Basic & first degree,1999,"Certified trades, not specified",0,0,0
Basic & first degree,1999,"Agriculture, forestry and fishery",54,42,12
Basic & first degree,1999,Veterinary,0,0,0
Basic & first degree,1999,Health,1276,270,1006
Basic & first degree,1999,Social services,38,4,34
Basic & first degree,1999,Personal services,0,0,0
Basic & first degree,1999,Transport services,0,0,0
Basic & first degree,1999,Environmental protection,0,0,0
Basic & first degree,1999,Security services,0,0,0
Basic & first degree,1999,Unknown,0,0,0
Basic & first degree,2000,Total,9117,3439,5678
Basic & first degree,2000,"Basic/broad, general programmes",0,0,0
Basic & first degree,2000,Literacy and numeracy,0,0,0
Basic & first degree,2000,Personal skills,0,0,0
Basic & first degree,2000,Teacher training and educational science,1406,202,1204
Basic & first degree,2000,Arts,287,102,185
Basic & first degree,2000,Humanities,1060,367,693
Basic & first degree,2000,Social and behavioural science,956,329,627
Basic & first degree,2000,Journalism and information,122,18,104
Basic & first degree,2000,Business and administration,1737,814,923
Basic & first degree,2000,Law,422,187,235
Basic & first degree,2000,Life science,227,73,154
Basic & first degree,2000,Physical science,164,79,85
Basic & first degree,2000,Mathematics and statistics,32,22,10
Basic & first degree,2000,Computing,662,483,179
Basic & first degree,2000,"Science, not specified",12,5,7
Basic & first degree,2000,Engineering and engineering trades,394,313,81
Basic & first degree,2000,Manufacturing and processing,36,9,27
Basic & first degree,2000,Architecture and building,142,104,38
Basic & first degree,2000,"Certified trades, not specified",0,0,0
Basic & first degree,2000,"Agriculture, forestry and fishery",60,39,21
Basic & first degree,2000,Veterinary,0,0,0
Basic & first degree,2000,Health,1283,279,1004
Basic & first degree,2000,Social services,78,6,72
Basic & first degree,2000,Personal services,33,5,28
Basic & first degree,2000,Transport services,0,0,0
Basic & first degree,2000,Environmental protection,4,3,1
Basic & first degree,2000,Security services,0,0,0
Basic & first degree,2000,Unknown,0,0,0
Basic & first degree,2001,Total,10388,3888,6500
Basic & first degree,2001,"Basic/broad, general programmes",0,0,0
Basic & first degree,2001,Literacy and numeracy,0,0,0
Basic & first degree,2001,Personal skills,0,0,0
Basic & first degree,2001,Teacher training and educational science,1803,279,1524
Basic & first degree,2001,Arts,287,95,192
Basic & first degree,2001,Humanities,1160,404,756
Basic & first degree,2001,Social and behavioural science,1010,358,652
Basic & first degree,2001,Journalism and information,135,22,113
Basic & first degree,2001,Business and administration,2048,891,1157
Basic & first degree,2001,Law,473,226,247
Basic & first degree,2001,Life science,223,76,147
Basic & first degree,2001,Physical science,179,101,78
Basic & first degree,2001,Mathematics and statistics,48,33,15
Basic & first degree,2001,Computing,810,581,229
Basic & first degree,2001,"Science, not specified",48,14,34
Basic & first degree,2001,Engineering and engineering trades,440,345,95
Basic & first degree,2001,Manufacturing and processing,31,10,21
Basic & first degree,2001,Architecture and building,175,118,57
Basic & first degree,2001,"Certified trades, not specified",0,0,0
Basic & first degree,2001,"Agriculture, forestry and fishery",47,31,16
Basic & first degree,2001,Veterinary,0,0,0
Basic & first degree,2001,Health,1231,267,964
Basic & first degree,2001,Social services,107,12,95
Basic & first degree,2001,Personal services,123,21,102
Basic & first degree,2001,Transport services,0,0,0
Basic & first degree,2001,Environmental protection,10,4,6
Basic & first degree,2001,Security services,0,0,0
Basic & first degree,2001,Unknown,0,0,0
Basic & first degree,2002,Total,11919,4340,7579
Basic & first degree,2002,"Basic/broad, general programmes",0,0,0
Basic & first degree,2002,Literacy and numeracy,0,0,0
Basic & first degree,2002,Personal skills,0,0,0
Basic & first degree,2002,Teacher training and educational science,2323,357,1966
Basic & first degree,2002,Arts,328,110,218
Basic & first degree,2002,Humanities,1369,473,896
Basic & first degree,2002,Social and behavioural science,1260,442,818
Basic & first degree,2002,Journalism and information,133,13,120
Basic & first degree,2002,Business and administration,2061,914,1147
Basic & first degree,2002,Law,640,301,339
Basic & first degree,2002,Life science,299,95,204
Basic & first degree,2002,Physical science,165,96,69
Basic & first degree,2002,Mathematics and statistics,66,52,14
Basic & first degree,2002,Computing,731,560,171
Basic & first degree,2002,"Science, not specified",45,23,22
Basic & first degree,2002,Engineering and engineering trades,527,419,108
Basic & first degree,2002,Manufacturing and processing,29,8,21
Basic & first degree,2002,Architecture and building,251,150,101
Basic & first degree,2002,"Certified trades, not specified",0,0,0
Basic & first degree,2002,"Agriculture, forestry and fishery",63,38,25
Basic & first degree,2002,Veterinary,0,0,0
Basic & first degree,2002,Health,1286,242,1044
Basic & first degree,2002,Social services,159,13,146
Basic & first degree,2002,Personal services,145,20,125
Basic & first degree,2002,Transport services,8,4,4
Basic & first degree,2002,Environmental protection,31,10,21
Basic & first degree,2002,Security services,0,0,0
Basic & first degree,2002,Unknown,0,0,0
Basic & first degree,2003,Total,13253,4723,8530
Basic & first degree,2003,"Basic/broad, general programmes",0,0,0
Basic & first degree,2003,Literacy and numeracy,0,0,0
Basic & first degree,2003,Personal skills,0,0,0
Basic & first degree,2003,Teacher training and educational science,2523,373,2150
Basic & first degree,2003,Arts,347,120,227
Basic & first degree,2003,Humanities,1690,592,1098
Basic & first degree,2003,Social and behavioural science,1537,552,985
Basic & first degree,2003,Journalism and information,138,27,111
Basic & first degree,2003,Business and administration,2141,905,1236
Basic & first degree,2003,Law,797,370,427
Basic & first degree,2003,Life science,286,106,180
Basic & first degree,2003,Physical science,193,108,85
Basic & first degree,2003,Mathematics and statistics,75,58,17
Basic & first degree,2003,Computing,637,511,126
Basic & first degree,2003,"Science, not specified",59,31,28
Basic & first degree,2003,Engineering and engineering trades,562,434,128
Basic & first degree,2003,Manufacturing and processing,27,9,18
Basic & first degree,2003,Architecture and building,337,190,147
Basic & first degree,2003,"Certified trades, not specified",0,0,0
Basic & first degree,2003,"Agriculture, forestry and fishery",82,52,30
Basic & first degree,2003,Veterinary,0,0,0
Basic & first degree,2003,Health,1408,228,1180
Basic & first degree,2003,Social services,200,16,184
Basic & first degree,2003,Personal services,188,29,159
Basic & first degree,2003,Transport services,4,2,2
Basic & first degree,2003,Environmental protection,22,10,12
Basic & first degree,2003,Security services,0,0,0
Basic & first degree,2003,Unknown,0,0,0
Basic & first degree,2004,Total,13389,4720,8669
Basic & first degree,2004,"Basic/broad, general programmes",0,0,0
Basic & first degree,2004,Literacy and numeracy,0,0,0
Basic & first degree,2004,Personal skills,0,0,0
Basic & first degree,2004,Teacher training and educational science,2704,441,2263
Basic & first degree,2004,Arts,386,134,252
Basic & first degree,2004,Humanities,1632,552,1080
Basic & first degree,2004,Social and behavioural science,1551,581,970
Basic & first degree,2004,Journalism and information,126,25,101
Basic & first degree,2004,Business and administration,1919,803,1116
Basic & first degree,2004,Law,928,438,490
Basic & first degree,2004,Life science,302,110,192
Basic & first degree,2004,Physical science,210,121,89
Basic & first degree,2004,Mathematics and statistics,88,62,26
Basic & first degree,2004,Computing,530,439,91
Basic & first degree,2004,"Science, not specified",59,25,34
Basic & first degree,2004,Engineering and engineering trades,573,442,131
Basic & first degree,2004,Manufacturing and processing,28,8,20
Basic & first degree,2004,Architecture and building,333,191,142
Basic & first degree,2004,"Certified trades, not specified",0,0,0
Basic & first degree,2004,"Agriculture, forestry and fishery",87,50,37
Basic & first degree,2004,Veterinary,0,0,0
Basic & first degree,2004,Health,1468,233,1235
Basic & first degree,2004,Social services,211,12,199
Basic & first degree,2004,Personal services,232,44,188
Basic & first degree,2004,Transport services,6,3,3
Basic & first degree,2004,Environmental protection,16,6,10
Basic & first degree,2004,Security services,0,0,0
Basic & first degree,2004,Unknown,0,0,0
Basic & first degree,2005,Total,13339,4709,8630
Basic & first degree,2005,"Basic/broad, general programmes",0,0,0
Basic & first degree,2005,Literacy and numeracy,0,0,0
Basic & first degree,2005,Personal skills,0,0,0
Basic & first degree,2005,Teacher training and educational science,2536,414,2122
Basic & first degree,2005,Arts,424,155,269
Basic & first degree,2005,Humanities,1669,558,1111
Basic & first degree,2005,Social and behavioural science,1622,596,1026
Basic & first degree,2005,Journalism and information,129,28,101
Basic & first degree,2005,Business and administration,1823,772,1051
Basic & first degree,2005,Law,961,453,508
Basic & first degree,2005,Life science,317,96,221
Basic & first degree,2005,Physical science,257,142,115
Basic & first degree,2005,Mathematics and statistics,81,58,23
Basic & first degree,2005,Computing,436,377,59
Basic & first degree,2005,"Science, not specified",1,1,0
Basic & first degree,2005,Engineering and engineering trades,677,513,164
Basic & first degree,2005,Manufacturing and processing,27,9,18
Basic & first degree,2005,Architecture and building,366,209,157
Basic & first degree,2005,"Certified trades, not specified",0,0,0
Basic & first degree,2005,"Agriculture, forestry and fishery",70,42,28
Basic & first degree,2005,Veterinary,0,0,0
Basic & first degree,2005,Health,1405,204,1201
Basic & first degree,2005,Social services,251,19,232
Basic & first degree,2005,Personal services,276,57,219
Basic & first degree,2005,Transport services,6,4,2
Basic & first degree,2005,Environmental protection,5,2,3
Basic & first degree,2005,Security services,0,0,0
Basic & first degree,2005,Unknown,0,0,0
Basic & first degree,2006,Total,12900,4601,8299
Basic & first degree,2006,"Basic/broad, general programmes",0,0,0
Basic & first degree,2006,Literacy and numeracy,0,0,0
Basic & first degree,2006,Personal skills,0,0,0
Basic & first degree,2006,Teacher training and educational science,2284,369,1915
Basic & first degree,2006,Arts,450,153,297
Basic & first degree,2006,Humanities,1562,541,1021
Basic & first degree,2006,Social and behavioural science,1689,587,1102
Basic & first degree,2006,Journalism and information,117,26,91
Basic & first degree,2006,Business and administration,1758,770,988
Basic & first degree,2006,Law,925,411,514
Basic & first degree,2006,Life science,298,101,197
Basic & first degree,2006,Physical science,251,137,114
Basic & first degree,2006,Mathematics and statistics,82,67,15
Basic & first degree,2006,Computing,404,354,50
Basic & first degree,2006,"Science, not specified",0,0,0
Basic & first degree,2006,Engineering and engineering trades,739,538,201
Basic & first degree,2006,Manufacturing and processing,28,9,19
Basic & first degree,2006,Architecture and building,321,185,136
Basic & first degree,2006,"Certified trades, not specified",0,0,0
Basic & first degree,2006,"Agriculture, forestry and fishery",76,44,32
Basic & first degree,2006,Veterinary,0,0,0
Basic & first degree,2006,Health,1408,243,1165
Basic & first degree,2006,Social services,287,18,269
Basic & first degree,2006,Personal services,221,48,173
Basic & first degree,2006,Transport services,0,0,0
Basic & first degree,2006,Environmental protection,0,0,0
Basic & first degree,2006,Security services,0,0,0
Basic & first degree,2006,Unknown,0,0,0
Basic & first degree,2007,Total,12787,4600,8187
Basic & first degree,2007,"Basic/broad, general programmes",0,0,0
Basic & first degree,2007,Literacy and numeracy,0,0,0
Basic & first degree,2007,Personal skills,0,0,0
Basic & first degree,2007,Teacher training and educational science,2287,390,1897
Basic & first degree,2007,Arts,477,155,322
Basic & first degree,2007,Humanities,1555,527,1028
Basic & first degree,2007,Social and behavioural science,1643,566,1077
Basic & first degree,2007,Journalism and information,105,21,84
Basic & first degree,2007,Business and administration,1691,762,929
Basic & first degree,2007,Law,816,362,454
Basic & first degree,2007,Life science,289,93,196
Basic & first degree,2007,Physical science,219,133,86
Basic & first degree,2007,Mathematics and statistics,79,59,20
Basic & first degree,2007,Computing,424,357,67
Basic & first degree,2007,"Science, not specified",0,0,0
Basic & first degree,2007,Engineering and engineering trades,818,586,232
Basic & first degree,2007,Manufacturing and processing,28,7,21
Basic & first degree,2007,Architecture and building,367,210,157
Basic & first degree,2007,"Certified trades, not specified",0,0,0
Basic & first degree,2007,"Agriculture, forestry and fishery",100,49,51
Basic & first degree,2007,Veterinary,0,0,0
Basic & first degree,2007,Health,1347,240,1107
Basic & first degree,2007,Social services,329,33,296
Basic & first degree,2007,Personal services,209,47,162
Basic & first degree,2007,Transport services,4,3,1
Basic & first degree,2007,Environmental protection,0,0,0
Basic & first degree,2007,Security services,0,0,0
Basic & first degree,2007,Unknown,0,0,0
Basic & first degree,2008,Total,12784,4644,8140
Basic & first degree,2008,"Basic/broad, general programmes",0,0,0
Basic & first degree,2008,Literacy and numeracy,0,0,0
Basic & first degree,2008,Personal skills,0,0,0
Basic & first degree,2008,Teacher training and educational science,2163,377,1786
Basic & first degree,2008,Arts,543,171,372
Basic & first degree,2008,Humanities,1414,495,919
Basic & first degree,2008,Social and behavioural science,1620,560,1060
Basic & first degree,2008,Journalism and information,96,21,75
Basic & first degree,2008,Business and administration,1790,772,1018
Basic & first degree,2008,Law,845,361,484
Basic & first degree,2008,Life science,259,85,174
Basic & first degree,2008,Physical science,227,134,93
Basic & first degree,2008,Mathematics and statistics,89,58,31
Basic & first degree,2008,Computing,436,372,64
Basic & first degree,2008,"Science, not specified",0,0,0
Basic & first degree,2008,Engineering and engineering trades,929,628,301
Basic & first degree,2008,Manufacturing and processing,14,3,11
Basic & first degree,2008,Architecture and building,418,262,156
Basic & first degree,2008,"Certified trades, not specified",0,0,0
Basic & first degree,2008,"Agriculture, forestry and fishery",74,34,40
Basic & first degree,2008,Veterinary,0,0,0
Basic & first degree,2008,Health,1373,229,1144
Basic & first degree,2008,Social services,292,27,265
Basic & first degree,2008,Personal services,202,55,147
Basic & first degree,2008,Transport services,0,0,0
Basic & first degree,2008,Environmental protection,0,0,0
Basic & first degree,2008,Security services,0,0,0
Basic & first degree,2008,Unknown,0,0,0
Basic & first degree,2009,Total,13508,4999,8509
Basic & first degree,2009,"Basic/broad, general programmes",0,0,0
Basic & first degree,2009,Literacy and numeracy,0,0,0
Basic & first degree,2009,Personal skills,0,0,0
Basic & first degree,2009,Teacher training and educational science,2139,414,1725
Basic & first degree,2009,Arts,574,184,390
Basic & first degree,2009,Humanities,1642,601,1041
Basic & first degree,2009,Social and behavioural science,1851,673,1178
Basic & first degree,2009,Journalism and information,99,28,71
Basic & first degree,2009,Business and administration,1538,690,848
Basic & first degree,2009,Law,930,417,513
Basic & first degree,2009,Life science,364,140,224
Basic & first degree,2009,Physical science,280,164,116
Basic & first degree,2009,Mathematics and statistics,93,60,33
Basic & first degree,2009,Computing,443,380,63
Basic & first degree,2009,"Science, not specified",0,0,0
Basic & first degree,2009,Engineering and engineering trades,929,642,287
Basic & first degree,2009,Manufacturing and processing,10,2,8
Basic & first degree,2009,Architecture and building,410,252,158
Basic & first degree,2009,"Certified trades, not specified",0,0,0
Basic & first degree,2009,"Agriculture, forestry and fishery",96,37,59
Basic & first degree,2009,Veterinary,0,0,0
Basic & first degree,2009,Health,1474,217,1257
Basic & first degree,2009,Social services,392,31,361
Basic & first degree,2009,Personal services,238,62,176
Basic & first degree,2009,Transport services,6,5,1
Basic & first degree,2009,Environmental protection,0,0,0
Basic & first degree,2009,Security services,0,0,0
Basic & first degree,2009,Unknown,0,0,0
Basic & first degree,2010,Total,13956,5442,8514
Basic & first degree,2010,"Basic/broad, general programmes",0,0,0
Basic & first degree,2010,Literacy and numeracy,0,0,0
Basic & first degree,2010,Personal skills,0,0,0
Basic & first degree,2010,Teacher training and educational science,2032,462,1570
Basic & first degree,2010,Arts,629,217,412
Basic & first degree,2010,Humanities,1627,629,998
Basic & first degree,2010,Social and behavioural science,2025,708,1317
Basic & first degree,2010,Journalism and information,106,31,75
Basic & first degree,2010,Business and administration,1522,718,804
Basic & first degree,2010,Law,971,461,510
Basic & first degree,2010,Life science,391,164,227
Basic & first degree,2010,Physical science,325,199,126
Basic & first degree,2010,Mathematics and statistics,71,49,22
Basic & first degree,2010,Computing,492,429,63
Basic & first degree,2010,"Science, not specified",0,0,0
Basic & first degree,2010,Engineering and engineering trades,973,708,265
Basic & first degree,2010,Manufacturing and processing,15,4,11
Basic & first degree,2010,Architecture and building,380,247,133
Basic & first degree,2010,"Certified trades, not specified",0,0,0
Basic & first degree,2010,"Agriculture, forestry and fishery",138,51,87
Basic & first degree,2010,Veterinary,0,0,0
Basic & first degree,2010,Health,1548,238,1310
Basic & first degree,2010,Social services,380,34,346
Basic & first degree,2010,Personal services,322,84,238
Basic & first degree,2010,Transport services,9,9,0
Basic & first degree,2010,Environmental protection,0,0,0
Basic & first degree,2010,Security services,0,0,0
Basic & first degree,2010,Unknown,0,0,0
Basic & first degree,2011,Total,14269,5586,8683
Basic & first degree,2011,"Basic/broad, general programmes",0,0,0
Basic & first degree,2011,Literacy and numeracy,0,0,0
Basic & first degree,2011,Personal skills,0,0,0
Basic & first degree,2011,Teacher training and educational science,1488,329,1159
Basic & first degree,2011,Arts,611,218,393
Basic & first degree,2011,Humanities,1841,698,1143
Basic & first degree,2011,Social and behavioural science,2220,743,1477
Basic & first degree,2011,Journalism and information,124,38,86
Basic & first degree,2011,Business and administration,1594,766,828
Basic & first degree,2011,Law,966,436,530
Basic & first degree,2011,Life science,413,170,243
Basic & first degree,2011,Physical science,390,231,159
Basic & first degree,2011,Mathematics and statistics,67,44,23
Basic & first degree,2011,Computing,615,522,93
Basic & first degree,2011,"Science, not specified",0,0,0
Basic & first degree,2011,Engineering and engineering trades,990,722,268
Basic & first degree,2011,Manufacturing and processing,14,6,8
Basic & first degree,2011,Architecture and building,311,198,113
Basic & first degree,2011,"Certified trades, not specified",0,0,0
Basic & first degree,2011,"Agriculture, forestry and fishery",177,76,101
Basic & first degree,2011,Veterinary,0,0,0
Basic & first degree,2011,Health,1627,235,1392
Basic & first degree,2011,Social services,418,34,384
Basic & first degree,2011,Personal services,392,110,282
Basic & first degree,2011,Transport services,6,6,0
Basic & first degree,2011,Environmental protection,5,4,1
Basic & first degree,2011,Security services,0,0,0
Basic & first degree,2011,Unknown,0,0,0
Basic & first degree,2012,Total,14148,5604,8544
Basic & first degree,2012,"Basic/broad, general programmes",0,0,0
Basic & first degree,2012,Literacy and numeracy,0,0,0
Basic & first degree,2012,Personal skills,0,0,0
Basic & first degree,2012,Teacher training and educational science,1408,333,1075
Basic & first degree,2012,Arts,611,228,383
Basic & first degree,2012,Humanities,1630,574,1056
Basic & first degree,2012,Social and behavioural science,2238,723,1515
Basic & first degree,2012,Journalism and information,123,38,85
Basic & first degree,2012,Business and administration,1674,771,903
Basic & first degree,2012,Law,926,441,485
Basic & first degree,2012,Life science,393,144,249
Basic & first degree,2012,Physical science,381,226,155
Basic & first degree,2012,Mathematics and statistics,62,44,18
Basic & first degree,2012,Computing,783,648,135
Basic & first degree,2012,"Science, not specified",1,0,1
Basic & first degree,2012,Engineering and engineering trades,1066,779,287
Basic & first degree,2012,Manufacturing and processing,26,18,8
Basic & first degree,2012,Architecture and building,265,173,92
Basic & first degree,2012,"Certified trades, not specified",0,0,0
Basic & first degree,2012,"Agriculture, forestry and fishery",182,89,93
Basic & first degree,2012,Veterinary,0,0,0
Basic & first degree,2012,Health,1585,220,1365
Basic & first degree,2012,Social services,387,30,357
Basic & first degree,2012,Personal services,392,115,277
Basic & first degree,2012,Transport services,9,7,2
Basic & first degree,2012,Environmental protection,6,3,3
Basic & first degree,2012,Security services,0,0,0
Basic & first degree,2012,Unknown,0,0,0
Basic & first degree,2013,Total,14379,5662,8717
Basic & first degree,2013,"Basic/broad, general programmes",0,0,0
Basic & first degree,2013,Literacy and numeracy,0,0,0
Basic & first degree,2013,Personal skills,0,0,0
Basic & first degree,2013,Teacher training and educational science,1312,300,1012
Basic & first degree,2013,Arts,526,186,340
Basic & first degree,2013,Humanities,1559,526,1033
Basic & first degree,2013,Social and behavioural science,2339,717,1622
Basic & first degree,2013,Journalism and information,110,37,73
Basic & first degree,2013,Business and administration,1719,797,922
Basic & first degree,2013,Law,883,404,479
Basic & first degree,2013,Life science,378,112,266
Basic & first degree,2013,Physical science,368,221,147
Basic & first degree,2013,Mathematics and statistics,66,48,18
Basic & first degree,2013,Computing,1053,848,205
Basic & first degree,2013,"Science, not specified",0,0,0
Basic & first degree,2013,Engineering and engineering trades,1190,839,351
