Sex,age_region,Education,Year,Percent
Total,20 to 24 years,Education unknown,2012,0.0
Total,25 to 29 years,Basic education,2012,0.28
Total,25 to 29 years,Upper secondary education,2012,0.388
Total,25 to 29 years,Tertiary education,2012,0.332
Total,25 to 29 years,Education unknown,2012,0.0
Total,30 to 49 years,Basic education,2012,0.25
Total,30 to 49 years,Upper secondary education,2012,0.34
Total,30 to 49 years,Tertiary education,2012,0.409
Total,30 to 49 years,Education unknown,2012,0.001
Total,50 to 64 years,Basic education,2012,0.359
Total,50 to 64 years,Upper secondary education,2012,0.372
Total,50 to 64 years,Tertiary education,2012,0.268
Total,50 to 64 years,Education unknown,2012,0.002
Total,65 to 74 years,Basic education,2012,0.436
Total,65 to 74 years,Upper secondary education,2012,0.387
Total,65 to 74 years,Tertiary education,2012,0.177
Total,65 to 74 years,Education unknown,2012,0.0
Total,Capital region 16-74 years,Basic education,2012,0.332
Total,Capital region 16-74 years,Upper secondary education,2012,0.354
Total,Capital region 16-74 years,Tertiary education,2012,0.313
Total,Capital region 16-74 years,Education unknown,2012,0.001
Total,Other regions 16-74 years,Basic education,2012,0.451
Total,Other regions 16-74 years,Upper secondary education,2012,0.35
Total,Other regions 16-74 years,Tertiary education,2012,0.198
Total,Other regions 16-74 years,Education unknown,2012,0.001
Total,Capital region 25-64 years,Basic education,2012,0.245
Total,Capital region 25-64 years,Upper secondary education,2012,0.347
Total,Capital region 25-64 years,Tertiary education,2012,0.407
Total,Capital region 25-64 years,Education unknown,2012,0.001
Total,Other regions 25-64 years,Basic education,2012,0.373
Total,Other regions 25-64 years,Upper secondary education,2012,0.377
Total,Other regions 25-64 years,Tertiary education,2012,0.249
Total,Other regions 25-64 years,Education unknown,2012,0.001
Males,25 to 64 years,Basic education,2012,0.272
Males,25 to 64 years,Upper secondary education,2012,0.44
Males,25 to 64 years,Tertiary education,2012,0.288
Males,25 to 64 years,Education unknown,2012,0.001
Males,20 to 24 years,Basic education,2012,0.431
Males,20 to 24 years,Upper secondary education,2012,0.539
Males,20 to 24 years,Tertiary education,2012,0.031
Males,20 to 24 years,Education unknown,2012,0.0
Males,25 to 29 years,Basic education,2012,0.352
Males,25 to 29 years,Upper secondary education,2012,0.403
Males,25 to 29 years,Tertiary education,2012,0.245
Males,25 to 29 years,Education unknown,2012,0.0
Males,30 to 49 years,Basic education,2012,0.251
Males,30 to 49 years,Upper secondary education,2012,0.425
Males,30 to 49 years,Tertiary education,2012,0.324
Males,30 to 49 years,Education unknown,2012,0.0
Males,50 to 64 years,Basic education,2012,0.273
Males,50 to 64 years,Upper secondary education,2012,0.475
Males,50 to 64 years,Tertiary education,2012,0.25
Males,50 to 64 years,Education unknown,2012,0.002
Males,65 to 74 years,Basic education,2012,0.266
Males,65 to 74 years,Upper secondary education,2012,0.542
Males,65 to 74 years,Tertiary education,2012,0.191
Males,65 to 74 years,Education unknown,2012,0.0
Males,Capital region 16-74 years,Basic education,2012,0.315
Males,Capital region 16-74 years,Upper secondary education,2012,0.412
Males,Capital region 16-74 years,Tertiary education,2012,0.273
Males,Capital region 16-74 years,Education unknown,2012,0.0
Males,Other regions 16-74 years,Basic education,2012,0.404
Males,Other regions 16-74 years,Upper secondary education,2012,0.448
Males,Other regions 16-74 years,Tertiary education,2012,0.147
Males,Other regions 16-74 years,Education unknown,2012,0.001
Males,Capital region 25-64 years,Basic education,2012,0.242
Males,Capital region 25-64 years,Upper secondary education,2012,0.411
Males,Capital region 25-64 years,Tertiary education,2012,0.348
Males,Capital region 25-64 years,Education unknown,2012,0.0
Males,Other regions 25-64 years,Basic education,2012,0.323
Males,Other regions 25-64 years,Upper secondary education,2012,0.489
Males,Other regions 25-64 years,Tertiary education,2012,0.186
Males,Other regions 25-64 years,Education unknown,2012,0.002
Females,25 to 64 years,Basic education,2012,0.312
Females,25 to 64 years,Upper secondary education,2012,0.274
Females,25 to 64 years,Tertiary education,2012,0.412
Females,25 to 64 years,Education unknown,2012,0.001
Females,20 to 24 years,Basic education,2012,0.41
Females,20 to 24 years,Upper secondary education,2012,0.554
Females,20 to 24 years,Tertiary education,2012,0.036
Females,20 to 24 years,Education unknown,2012,0.0
Females,25 to 29 years,Basic education,2012,0.205
Females,25 to 29 years,Upper secondary education,2012,0.372
Females,25 to 29 years,Tertiary education,2012,0.423
Females,25 to 29 years,Education unknown,2012,0.0
Females,30 to 49 years,Basic education,2012,0.248
Females,30 to 49 years,Upper secondary education,2012,0.255
Females,30 to 49 years,Tertiary education,2012,0.495
Females,30 to 49 years,Education unknown,2012,0.001
Females,50 to 64 years,Basic education,2012,0.445
Females,50 to 64 years,Upper secondary education,2012,0.268
Females,50 to 64 years,Tertiary education,2012,0.285
Females,50 to 64 years,Education unknown,2012,0.001
Females,65 to 74 years,Basic education,2012,0.603
Females,65 to 74 years,Upper secondary education,2012,0.234
Females,65 to 74 years,Tertiary education,2012,0.163
Females,65 to 74 years,Education unknown,2012,0.0
Females,Capital region 16-74 years,Basic education,2012,0.35
Females,Capital region 16-74 years,Upper secondary education,2012,0.296
Females,Capital region 16-74 years,Tertiary education,2012,0.353
Females,Capital region 16-74 years,Education unknown,2012,0.001
Females,Other regions 16-74 years,Basic education,2012,0.5
Females,Other regions 16-74 years,Upper secondary education,2012,0.248
Females,Other regions 16-74 years,Tertiary education,2012,0.252
Females,Other regions 16-74 years,Education unknown,2012,0.0
Females,Capital region 25-64 years,Basic education,2012,0.249
Females,Capital region 25-64 years,Upper secondary education,2012,0.282
Females,Capital region 25-64 years,Tertiary education,2012,0.467
Females,Capital region 25-64 years,Education unknown,2012,0.002
Females,Other regions 25-64 years,Basic education,2012,0.424
Females,Other regions 25-64 years,Upper secondary education,2012,0.26
Females,Other regions 25-64 years,Tertiary education,2012,0.315
Females,Other regions 25-64 years,Education unknown,2012,0.001
Total,25 to 64 years,Basic education,2013,0.278
Total,25 to 64 years,Upper secondary education,2013,0.36
Total,25 to 64 years,Tertiary education,2013,0.36
Total,25 to 64 years,Education unknown,2013,0.001
Total,20 to 24 years,Basic education,2013,0.413
Total,20 to 24 years,Upper secondary education,2013,0.548
Total,20 to 24 years,Tertiary education,2013,0.039
Total,20 to 24 years,Education unknown,2013,0.0
Total,25 to 29 years,Basic education,2013,0.292
Total,25 to 29 years,Upper secondary education,2013,0.355
Total,25 to 29 years,Tertiary education,2013,0.353
Total,25 to 29 years,Education unknown,2013,0.0
Total,30 to 49 years,Basic education,2013,0.244
Total,30 to 49 years,Upper secondary education,2013,0.34
Total,30 to 49 years,Tertiary education,2013,0.415
Total,30 to 49 years,Education unknown,2013,0.001
Total,50 to 64 years,Basic education,2013,0.325
Total,50 to 64 years,Upper secondary education,2013,0.392
Total,50 to 64 years,Tertiary education,2013,0.282
Total,50 to 64 years,Education unknown,2013,0.002
Total,65 to 74 years,Basic education,2013,0.445
Total,65 to 74 years,Upper secondary education,2013,0.367
Total,65 to 74 years,Tertiary education,2013,0.188
Total,65 to 74 years,Education unknown,2013,0.0
Total,Capital region 16-74 years,Basic education,2013,0.316
Total,Capital region 16-74 years,Upper secondary education,2013,0.356
Total,Capital region 16-74 years,Tertiary education,2013,0.328
Total,Capital region 16-74 years,Education unknown,2013,0.0
Total,Other regions 16-74 years,Basic education,2013,0.449
Total,Other regions 16-74 years,Upper secondary education,2013,0.352
Total,Other regions 16-74 years,Tertiary education,2013,0.197
Total,Other regions 16-74 years,Education unknown,2013,0.002
Total,Capital region 25-64 years,Basic education,2013,0.231
Total,Capital region 25-64 years,Upper secondary education,2013,0.346
Total,Capital region 25-64 years,Tertiary education,2013,0.423
Total,Capital region 25-64 years,Education unknown,2013,0.0
Total,Other regions 25-64 years,Basic education,2013,0.363
Total,Other regions 25-64 years,Upper secondary education,2013,0.386
Total,Other regions 25-64 years,Tertiary education,2013,0.249
Total,Other regions 25-64 years,Education unknown,2013,0.002
Males,25 to 64 years,Basic education,2013,0.258
Males,25 to 64 years,Upper secondary education,2013,0.443
Males,25 to 64 years,Tertiary education,2013,0.297
Males,25 to 64 years,Education unknown,2013,0.001
Males,20 to 24 years,Basic education,2013,0.482
Males,20 to 24 years,Upper secondary education,2013,0.472
Males,20 to 24 years,Tertiary education,2013,0.047
Males,20 to 24 years,Education unknown,2013,0.0
Males,25 to 29 years,Basic education,2013,0.354
Males,25 to 29 years,Upper secondary education,2013,0.379
Males,25 to 29 years,Tertiary education,2013,0.267
Males,25 to 29 years,Education unknown,2013,0.0
Males,30 to 49 years,Basic education,2013,0.252
Males,30 to 49 years,Upper secondary education,2013,0.407
Males,30 to 49 years,Tertiary education,2013,0.341
Males,30 to 49 years,Education unknown,2013,0.0
Males,50 to 64 years,Basic education,2013,0.233
Males,50 to 64 years,Upper secondary education,2013,0.521
Males,50 to 64 years,Tertiary education,2013,0.243
Males,50 to 64 years,Education unknown,2013,0.003
Males,65 to 74 years,Basic education,2013,0.311
Males,65 to 74 years,Upper secondary education,2013,0.48
Males,65 to 74 years,Tertiary education,2013,0.209
Males,65 to 74 years,Education unknown,2013,0.0
Males,Capital region 16-74 years,Basic education,2013,0.309
Males,Capital region 16-74 years,Upper secondary education,2013,0.403
Males,Capital region 16-74 years,Tertiary education,2013,0.288
Males,Capital region 16-74 years,Education unknown,2013,0.0
Males,Other regions 16-74 years,Basic education,2013,0.407
Males,Other regions 16-74 years,Upper secondary education,2013,0.442
Males,Other regions 16-74 years,Tertiary education,2013,0.149
Males,Other regions 16-74 years,Education unknown,2013,0.002
Males,Capital region 25-64 years,Basic education,2013,0.225
Males,Capital region 25-64 years,Upper secondary education,2013,0.414
Males,Capital region 25-64 years,Tertiary education,2013,0.36
Males,Capital region 25-64 years,Education unknown,2013,0.0
Males,Other regions 25-64 years,Basic education,2013,0.315
Males,Other regions 25-64 years,Upper secondary education,2013,0.494
Males,Other regions 25-64 years,Tertiary education,2013,0.188
Males,Other regions 25-64 years,Education unknown,2013,0.003
Females,25 to 64 years,Basic education,2013,0.299
Females,25 to 64 years,Upper secondary education,2013,0.276
Females,25 to 64 years,Tertiary education,2013,0.424
Females,25 to 64 years,Education unknown,2013,0.001
Females,20 to 24 years,Basic education,2013,0.338
Females,20 to 24 years,Upper secondary education,2013,0.632
Females,20 to 24 years,Tertiary education,2013,0.03
Females,20 to 24 years,Education unknown,2013,0.0
Females,25 to 29 years,Basic education,2013,0.228
Females,25 to 29 years,Upper secondary education,2013,0.33
Females,25 to 29 years,Tertiary education,2013,0.442
Females,25 to 29 years,Education unknown,2013,0.0
Females,30 to 49 years,Basic education,2013,0.235
Females,30 to 49 years,Upper secondary education,2013,0.273
Females,30 to 49 years,Tertiary education,2013,0.491
Females,30 to 49 years,Education unknown,2013,0.001
Females,50 to 64 years,Basic education,2013,0.417
Females,50 to 64 years,Upper secondary education,2013,0.263
Females,50 to 64 years,Tertiary education,2013,0.32
Females,50 to 64 years,Education unknown,2013,0.0
Females,65 to 74 years,Basic education,2013,0.575
Females,65 to 74 years,Upper secondary education,2013,0.257
Females,65 to 74 years,Tertiary education,2013,0.167
Females,65 to 74 years,Education unknown,2013,0.0
Females,Capital region 16-74 years,Basic education,2013,0.322
Females,Capital region 16-74 years,Upper secondary education,2013,0.31
Females,Capital region 16-74 years,Tertiary education,2013,0.368
Females,Capital region 16-74 years,Education unknown,2013,0.0
Females,Other regions 16-74 years,Basic education,2013,0.494
Females,Other regions 16-74 years,Upper secondary education,2013,0.257
Females,Other regions 16-74 years,Tertiary education,2013,0.248
Females,Other regions 16-74 years,Education unknown,2013,0.001
Females,Capital region 25-64 years,Basic education,2013,0.236
Females,Capital region 25-64 years,Upper secondary education,2013,0.278
Females,Capital region 25-64 years,Tertiary education,2013,0.485
Females,Capital region 25-64 years,Education unknown,2013,0.0
Females,Other regions 25-64 years,Basic education,2013,0.413
Females,Other regions 25-64 years,Upper secondary education,2013,0.273
Females,Other regions 25-64 years,Tertiary education,2013,0.313
Females,Other regions 25-64 years,Education unknown,2013,0.001
Total,25 to 64 years,Basic education,2014,0.269
Total,25 to 64 years,Upper secondary education,2014,0.359
Total,25 to 64 years,Tertiary education,2014,0.371
Total,25 to 64 years,Education unknown,2014,0.001
Total,20 to 24 years,Basic education,2014,0.391
Total,20 to 24 years,Upper secondary education,2014,0.576
Total,20 to 24 years,Tertiary education,2014,0.034
Total,20 to 24 years,Education unknown,2014,0.0
Total,25 to 29 years,Basic education,2014,0.277
Total,25 to 29 years,Upper secondary education,2014,0.376
Total,25 to 29 years,Tertiary education,2014,0.347
Total,25 to 29 years,Education unknown,2014,0.0
Total,30 to 49 years,Basic education,2014,0.243
Total,30 to 49 years,Upper secondary education,2014,0.338
Total,30 to 49 years,Tertiary education,2014,0.419
Total,30 to 49 years,Education unknown,2014,0.0
Total,50 to 64 years,Basic education,2014,0.303
Total,50 to 64 years,Upper secondary education,2014,0.384
Total,50 to 64 years,Tertiary education,2014,0.311
Total,50 to 64 years,Education unknown,2014,0.002
Total,65 to 74 years,Basic education,2014,0.458
Total,65 to 74 years,Upper secondary education,2014,0.348
Total,65 to 74 years,Tertiary education,2014,0.193
Total,65 to 74 years,Education unknown,2014,0.0
Total,Capital region 16-74 years,Basic education,2014,0.305
Total,Capital region 16-74 years,Upper secondary education,2014,0.35
Total,Capital region 16-74 years,Tertiary education,2014,0.345
Total,Capital region 16-74 years,Education unknown,2014,0.0
Total,Other regions 16-74 years,Basic education,2014,0.44
Total,Other regions 16-74 years,Upper secondary education,2014,0.37
Total,Other regions 16-74 years,Tertiary education,2014,0.189
Total,Other regions 16-74 years,Education unknown,2014,0.001
Total,Capital region 25-64 years,Basic education,2014,0.221
Total,Capital region 25-64 years,Upper secondary education,2014,0.336
Total,Capital region 25-64 years,Tertiary education,2014,0.442
Total,Capital region 25-64 years,Education unknown,2014,0.001
Total,Other regions 25-64 years,Basic education,2014,0.355
Total,Other regions 25-64 years,Upper secondary education,2014,0.401
Total,Other regions 25-64 years,Tertiary education,2014,0.242
Total,Other regions 25-64 years,Education unknown,2014,0.001
Males,25 to 64 years,Basic education,2014,0.26
Males,25 to 64 years,Upper secondary education,2014,0.43
Males,25 to 64 years,Tertiary education,2014,0.309
Males,25 to 64 years,Education unknown,2014,0.001
Males,20 to 24 years,Basic education,2014,0.479
Males,20 to 24 years,Upper secondary education,2014,0.489
Males,20 to 24 years,Tertiary education,2014,0.033
Males,20 to 24 years,Education unknown,2014,0.0
Males,25 to 29 years,Basic education,2014,0.35
Males,25 to 29 years,Upper secondary education,2014,0.367
Males,25 to 29 years,Tertiary education,2014,0.283
Males,25 to 29 years,Education unknown,2014,0.0
Males,30 to 49 years,Basic education,2014,0.256
Males,30 to 49 years,Upper secondary education,2014,0.403
Males,30 to 49 years,Tertiary education,2014,0.341
Males,30 to 49 years,Education unknown,2014,0.0
Males,50 to 64 years,Basic education,2014,0.234
Males,50 to 64 years,Upper secondary education,2014,0.491
Males,50 to 64 years,Tertiary education,2014,0.271
Males,50 to 64 years,Education unknown,2014,0.004
Males,65 to 74 years,Basic education,2014,0.315
Males,65 to 74 years,Upper secondary education,2014,0.482
Males,65 to 74 years,Tertiary education,2014,0.202
Males,65 to 74 years,Education unknown,2014,0.0
Males,Capital region 16-74 years,Basic education,2014,0.305
Males,Capital region 16-74 years,Upper secondary education,2014,0.391
Males,Capital region 16-74 years,Tertiary education,2014,0.303
Males,Capital region 16-74 years,Education unknown,2014,0.001
Males,Other regions 16-74 years,Basic education,2014,0.409
Males,Other regions 16-74 years,Upper secondary education,2014,0.446
Males,Other regions 16-74 years,Tertiary education,2014,0.144
Males,Other regions 16-74 years,Education unknown,2014,0.001
Males,Capital region 25-64 years,Basic education,2014,0.223
Males,Capital region 25-64 years,Upper secondary education,2014,0.393
Males,Capital region 25-64 years,Tertiary education,2014,0.383
Males,Capital region 25-64 years,Education unknown,2014,0.001
Males,Other regions 25-64 years,Basic education,2014,0.324
Males,Other regions 25-64 years,Upper secondary education,2014,0.494
Males,Other regions 25-64 years,Tertiary education,2014,0.18
Males,Other regions 25-64 years,Education unknown,2014,0.001
Females,25 to 64 years,Basic education,2014,0.277
Females,25 to 64 years,Upper secondary education,2014,0.288
Females,25 to 64 years,Tertiary education,2014,0.434
Females,25 to 64 years,Education unknown,2014,0.0
Females,20 to 24 years,Basic education,2014,0.299
Females,20 to 24 years,Upper secondary education,2014,0.666
Females,20 to 24 years,Tertiary education,2014,0.035
Females,20 to 24 years,Education unknown,2014,0.0
Females,25 to 29 years,Basic education,2014,0.201
Females,25 to 29 years,Upper secondary education,2014,0.385
Females,25 to 29 years,Tertiary education,2014,0.414
Females,25 to 29 years,Education unknown,2014,0.0
Females,30 to 49 years,Basic education,2014,0.229
Females,30 to 49 years,Upper secondary education,2014,0.274
Females,30 to 49 years,Tertiary education,2014,0.496
Females,30 to 49 years,Education unknown,2014,0.001
Females,50 to 64 years,Basic education,2014,0.373
Females,50 to 64 years,Upper secondary education,2014,0.276
Females,50 to 64 years,Tertiary education,2014,0.35
Females,50 to 64 years,Education unknown,2014,0.0
Females,65 to 74 years,Basic education,2014,0.598
Females,65 to 74 years,Upper secondary education,2014,0.218
Females,65 to 74 years,Tertiary education,2014,0.185
Females,65 to 74 years,Education unknown,2014,0.0
Females,Capital region 16-74 years,Basic education,2014,0.305
Females,Capital region 16-74 years,Upper secondary education,2014,0.31
Females,Capital region 16-74 years,Tertiary education,2014,0.385
Females,Capital region 16-74 years,Education unknown,2014,0.0
Females,Other regions 16-74 years,Basic education,2014,0.475
Females,Other regions 16-74 years,Upper secondary education,2014,0.287
Females,Other regions 16-74 years,Tertiary education,2014,0.237
Females,Other regions 16-74 years,Education unknown,2014,0.001
Females,Capital region 25-64 years,Basic education,2014,0.219
Females,Capital region 25-64 years,Upper secondary education,2014,0.281
Females,Capital region 25-64 years,Tertiary education,2014,0.501
Females,Capital region 25-64 years,Education unknown,2014,0.0
Females,Other regions 25-64 years,Basic education,2014,0.388
Females,Other regions 25-64 years,Upper secondary education,2014,0.303
Females,Other regions 25-64 years,Tertiary education,2014,0.308
Females,Other regions 25-64 years,Education unknown,2014,0.001
Total,25 to 64 years,Basic education,2015,0.254
Total,25 to 64 years,Upper secondary education,2015,0.359
Total,25 to 64 years,Tertiary education,2015,0.387
Total,25 to 64 years,Education unknown,2015,0.0
Total,20 to 24 years,Basic education,2015,0.377
Total,20 to 24 years,Upper secondary education,2015,0.59
Total,20 to 24 years,Tertiary education,2015,0.033
Total,20 to 24 years,Education unknown,2015,0.001
Total,25 to 29 years,Basic education,2015,0.27
Total,25 to 29 years,Upper secondary education,2015,0.394
Total,25 to 29 years,Tertiary education,2015,0.336
Total,25 to 29 years,Education unknown,2015,0.0
Total,30 to 49 years,Basic education,2015,0.22
Total,30 to 49 years,Upper secondary education,2015,0.336
Total,30 to 49 years,Tertiary education,2015,0.444
Total,30 to 49 years,Education unknown,2015,0.0
Total,50 to 64 years,Basic education,2015,0.295
Total,50 to 64 years,Upper secondary education,2015,0.381
Total,50 to 64 years,Tertiary education,2015,0.323
Total,50 to 64 years,Education unknown,2015,0.001
Total,65 to 74 years,Basic education,2015,0.446
Total,65 to 74 years,Upper secondary education,2015,0.357
Total,65 to 74 years,Tertiary education,2015,0.196
Total,65 to 74 years,Education unknown,2015,0.0
Total,Capital region 16-74 years,Basic education,2015,0.287
Total,Capital region 16-74 years,Upper secondary education,2015,0.352
Total,Capital region 16-74 years,Tertiary education,2015,0.361
Total,Capital region 16-74 years,Education unknown,2015,0.001
Total,Other regions 16-74 years,Basic education,2015,0.435
Total,Other regions 16-74 years,Upper secondary education,2015,0.369
Total,Other regions 16-74 years,Tertiary education,2015,0.197
Total,Other regions 16-74 years,Education unknown,2015,0.0
Total,Capital region 25-64 years,Basic education,2015,0.198
Total,Capital region 25-64 years,Upper secondary education,2015,0.338
Total,Capital region 25-64 years,Tertiary education,2015,0.463
Total,Capital region 25-64 years,Education unknown,2015,0.001
Total,Other regions 25-64 years,Basic education,2015,0.351
Total,Other regions 25-64 years,Upper secondary education,2015,0.397
Total,Other regions 25-64 years,Tertiary education,2015,0.251
Total,Other regions 25-64 years,Education unknown,2015,0.0
Males,25 to 64 years,Basic education,2015,0.255
Males,25 to 64 years,Upper secondary education,2015,0.431
Males,25 to 64 years,Tertiary education,2015,0.313
Males,25 to 64 years,Education unknown,2015,0.001
Males,20 to 24 years,Basic education,2015,0.455
Males,20 to 24 years,Upper secondary education,2015,0.514
Males,20 to 24 years,Tertiary education,2015,0.029
Males,20 to 24 years,Education unknown,2015,0.002
Males,25 to 29 years,Basic education,2015,0.354
Males,25 to 29 years,Upper secondary education,2015,0.389
Males,25 to 29 years,Tertiary education,2015,0.257
Males,25 to 29 years,Education unknown,2015,0.0
Males,30 to 49 years,Basic education,2015,0.246
Males,30 to 49 years,Upper secondary education,2015,0.409
Males,30 to 49 years,Tertiary education,2015,0.345
Males,30 to 49 years,Education unknown,2015,0.0
Males,50 to 64 years,Basic education,2015,0.232
Males,50 to 64 years,Upper secondary education,2015,0.479
Males,50 to 64 years,Tertiary education,2015,0.287
Males,50 to 64 years,Education unknown,2015,0.002
Males,65 to 74 years,Basic education,2015,0.307
Males,65 to 74 years,Upper secondary education,2015,0.489
Males,65 to 74 years,Tertiary education,2015,0.204
Males,65 to 74 years,Education unknown,2015,0.0
Males,Capital region 16-74 years,Basic education,2015,0.291
Males,Capital region 16-74 years,Upper secondary education,2015,0.396
Males,Capital region 16-74 years,Tertiary education,2015,0.313
Males,Capital region 16-74 years,Education unknown,2015,0.001
Males,Other regions 16-74 years,Basic education,2015,0.407
Males,Other regions 16-74 years,Upper secondary education,2015,0.45
Males,Other regions 16-74 years,Tertiary education,2015,0.143
Males,Other regions 16-74 years,Education unknown,2015,0.0
Males,Capital region 25-64 years,Basic education,2015,0.211
Males,Capital region 25-64 years,Upper secondary education,2015,0.393
Males,Capital region 25-64 years,Tertiary education,2015,0.395
Males,Capital region 25-64 years,Education unknown,2015,0.001
Males,Other regions 25-64 years,Basic education,2015,0.329
Males,Other regions 25-64 years,Upper secondary education,2015,0.494
Males,Other regions 25-64 years,Tertiary education,2015,0.177
Males,Other regions 25-64 years,Education unknown,2015,0.0
Females,25 to 64 years,Basic education,2015,0.252
Females,25 to 64 years,Upper secondary education,2015,0.287
Females,25 to 64 years,Tertiary education,2015,0.462
Females,25 to 64 years,Education unknown,2015,0.0
Females,20 to 24 years,Basic education,2015,0.296
Females,20 to 24 years,Upper secondary education,2015,0.668
Females,20 to 24 years,Tertiary education,2015,0.036
Females,20 to 24 years,Education unknown,2015,0.0
Females,25 to 29 years,Basic education,2015,0.181
Females,25 to 29 years,Upper secondary education,2015,0.4
Females,25 to 29 years,Tertiary education,2015,0.419
Females,25 to 29 years,Education unknown,2015,0.0
Females,30 to 49 years,Basic education,2015,0.194
Females,30 to 49 years,Upper secondary education,2015,0.262
Females,30 to 49 years,Tertiary education,2015,0.544
Females,30 to 49 years,Education unknown,2015,0.0
Females,50 to 64 years,Basic education,2015,0.358
Females,50 to 64 years,Upper secondary education,2015,0.282
Females,50 to 64 years,Tertiary education,2015,0.36
Females,50 to 64 years,Education unknown,2015,0.0
Females,65 to 74 years,Basic education,2015,0.583
Females,65 to 74 years,Upper secondary education,2015,0.228
Females,65 to 74 years,Tertiary education,2015,0.189
Females,65 to 74 years,Education unknown,2015,0.0
Females,Capital region 16-74 years,Basic education,2015,0.284
Females,Capital region 16-74 years,Upper secondary education,2015,0.31
Females,Capital region 16-74 years,Tertiary education,2015,0.406
Females,Capital region 16-74 years,Education unknown,2015,0.0
Females,Other regions 16-74 years,Basic education,2015,0.466
Females,Other regions 16-74 years,Upper secondary education,2015,0.277
Females,Other regions 16-74 years,Tertiary education,2015,0.257
Females,Other regions 16-74 years,Education unknown,2015,0.0
Females,Capital region 25-64 years,Basic education,2015,0.186
Females,Capital region 25-64 years,Upper secondary education,2015,0.285
Females,Capital region 25-64 years,Tertiary education,2015,0.529
Females,Capital region 25-64 years,Education unknown,2015,0.0
Females,Other regions 25-64 years,Basic education,2015,0.376
Females,Other regions 25-64 years,Upper secondary education,2015,0.29
Females,Other regions 25-64 years,Tertiary education,2015,0.333
Females,Other regions 25-64 years,Education unknown,2015,0.0
Total,25 to 64 years,Basic education,2016,0.22
Total,25 to 64 years,Upper secondary education,2016,0.376
Total,25 to 64 years,Tertiary education,2016,0.404
Total,25 to 64 years,Education unknown,2016,0.0
Total,20 to 24 years,Basic education,2016,0.347
Total,20 to 24 years,Upper secondary education,2016,0.598
Total,20 to 24 years,Tertiary education,2016,0.055
Total,20 to 24 years,Education unknown,2016,0.0
Total,25 to 29 years,Basic education,2016,0.243
Total,25 to 29 years,Upper secondary education,2016,0.373
Total,25 to 29 years,Tertiary education,2016,0.384
Total,25 to 29 years,Education unknown,2016,0.0
Total,30 to 49 years,Basic education,2016,0.182
Total,30 to 49 years,Upper secondary education,2016,0.348
Total,30 to 49 years,Tertiary education,2016,0.47
Total,30 to 49 years,Education unknown,2016,0.0
Total,50 to 64 years,Basic education,2016,0.265
Total,50 to 64 years,Upper secondary education,2016,0.415
Total,50 to 64 years,Tertiary education,2016,0.319
Total,50 to 64 years,Education unknown,2016,0.0
Total,65 to 74 years,Basic education,2016,0.375
Total,65 to 74 years,Upper secondary education,2016,0.418
Total,65 to 74 years,Tertiary education,2016,0.207
Total,65 to 74 years,Education unknown,2016,0.0
Total,Capital region 16-74 years,Basic education,2016,0.246
Total,Capital region 16-74 years,Upper secondary education,2016,0.382
Total,Capital region 16-74 years,Tertiary education,2016,0.372
Total,Capital region 16-74 years,Education unknown,2016,0.0
Total,Other regions 16-74 years,Basic education,2016,0.403
Total,Other regions 16-74 years,Upper secondary education,2016,0.372
Total,Other regions 16-74 years,Tertiary education,2016,0.225
Total,Other regions 16-74 years,Education unknown,2016,0.0
Total,Capital region 25-64 years,Basic education,2016,0.158
Total,Capital region 25-64 years,Upper secondary education,2016,0.368
Total,Capital region 25-64 years,Tertiary education,2016,0.474
Total,Capital region 25-64 years,Education unknown,2016,0.0
Total,Other regions 25-64 years,Basic education,2016,0.327
Total,Other regions 25-64 years,Upper secondary education,2016,0.388
Total,Other regions 25-64 years,Tertiary education,2016,0.285
Total,Other regions 25-64 years,Education unknown,2016,0.0
Males,25 to 64 years,Basic education,2016,0.223
Males,25 to 64 years,Upper secondary education,2016,0.448
Males,25 to 64 years,Tertiary education,2016,0.329
Males,25 to 64 years,Education unknown,2016,0.0
Males,20 to 24 years,Basic education,2016,0.42
Males,20 to 24 years,Upper secondary education,2016,0.538
Males,20 to 24 years,Tertiary education,2016,0.041
Males,20 to 24 years,Education unknown,2016,0.0
Males,25 to 29 years,Basic education,2016,0.319
Males,25 to 29 years,Upper secondary education,2016,0.397
Males,25 to 29 years,Tertiary education,2016,0.284
Males,25 to 29 years,Education unknown,2016,0.0
Males,30 to 49 years,Basic education,2016,0.203
Males,30 to 49 years,Upper secondary education,2016,0.412
Males,30 to 49 years,Tertiary education,2016,0.385
Males,30 to 49 years,Education unknown,2016,0.0
Males,50 to 64 years,Basic education,2016,0.215
Males,50 to 64 years,Upper secondary education,2016,0.521
Males,50 to 64 years,Tertiary education,2016,0.264
Males,50 to 64 years,Education unknown,2016,0.0
Males,65 to 74 years,Basic education,2016,0.24
Males,65 to 74 years,Upper secondary education,2016,0.54
Males,65 to 74 years,Tertiary education,2016,0.22
Males,65 to 74 years,Education unknown,2016,0.0
Males,Capital region 16-74 years,Basic education,2016,0.244
Males,Capital region 16-74 years,Upper secondary education,2016,0.427
Males,Capital region 16-74 years,Tertiary education,2016,0.329
Males,Capital region 16-74 years,Education unknown,2016,0.0
Males,Other regions 16-74 years,Basic education,2016,0.393
Males,Other regions 16-74 years,Upper secondary education,2016,0.457
Males,Other regions 16-74 years,Tertiary education,2016,0.15
