"Income and taxes","Unit","Education","Sex","Age","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Taxes","Mean - total","Basic education","Men","16 - 24 years",83,86,72,77,80,86,100,111,130,149,171,196,182,170,187,210,234,234,234,180,175,202,222,236,239,275,327,369,415
"Taxes","Mean - total","Basic education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Basic education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Basic education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Basic education","Men","75 years and over",34,39,43,55,52,49,74,92,104,121,144,177,196,210,240,249,295,315,399,339,323,380,406,448,521,529,614,866,950
"Taxes","Mean - total","Basic education","Women","Total",61,70,71,82,86,88,107,117,134,159,182,229,246,262,298,312,353,378,454,440,411,476,508,539,583,603,679,786,874
"Taxes","Mean - total","Basic education","Women","16 - 24 years",20,22,19,22,21,24,29,32,41,53,63,80,75,76,84,86,100,102,114,90,83,105,113,120,124,149,186,212,233
"Taxes","Mean - total","Basic education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Basic education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Basic education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Basic education","Women","75 years and over",25,30,33,47,46,42,66,79,90,109,131,169,189,207,241,231,266,291,384,329,321,385,419,451,506,526,588,801,929
"Taxes","Mean - total","Upper secondary education","Total","Total",246,268,267,287,294,306,350,377,418,463,513,587,618,614,662,708,792,840,941,876,883,981,1038,1087,1149,1209,1334,1437,1522
"Taxes","Mean - total","Upper secondary education","Total","16 - 24 years",66,67,58,63,62,68,85,99,118,145,167,186,171,165,177,196,225,231,254,185,178,209,232,253,281,349,425,462,513
"Taxes","Mean - total","Upper secondary education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Upper secondary education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Upper secondary education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Upper secondary education","Total","75 years and over",85,100,112,146,130,116,184,188,184,226,260,313,349,355,416,414,459,498,641,530,518,592,661,714,899,780,917,1160,1230
"Taxes","Mean - total","Upper secondary education","Men","Total",336,366,366,392,400,417,470,504,559,612,673,763,795,780,839,892,990,1045,1149,1077,1106,1234,1311,1368,1428,1503,1639,1746,1854
"Taxes","Mean - total","Upper secondary education","Men","16 - 24 years",100,103,90,95,92,103,125,143,174,211,235,259,230,221,240,271,310,315,335,237,239,271,295,316,340,413,495,538,597
"Taxes","Mean - total","Upper secondary education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Upper secondary education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Upper secondary education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Upper secondary education","Men","75 years and over",94,112,129,161,137,121,193,193,183,222,254,306,335,337,388,390,448,479,598,513,491,564,645,690,851,733,888,1153,1206
"Taxes","Mean - total","Upper secondary education","Women","Total",102,113,112,126,133,140,168,185,210,246,285,338,369,383,420,454,517,556,655,602,580,640,674,715,783,821,932,1027,1082
"Taxes","Mean - total","Upper secondary education","Women","16 - 24 years",36,37,32,37,38,40,52,62,73,90,111,128,122,119,126,135,158,165,190,142,127,158,180,201,233,297,367,398,443
"Taxes","Mean - total","Upper secondary education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Upper secondary education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Upper secondary education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Upper secondary education","Women","75 years and over",64,68,70,106,113,106,163,176,185,234,275,331,384,399,481,470,486,544,741,572,579,659,698,772,1010,886,983,1174,1281
"Taxes","Mean - total","- Vocational education at the upper secondary level","Total","Total",289,317,317,343,352,368,417,445,494,542,596,682,721,714,768,815,909,952,1074,1028,1043,1162,1239,1296,1365,1433,1565,1696,1798
"Taxes","Mean - total","- Vocational education at the upper secondary level","Total","16 - 24 years",113,118,109,115,116,138,159,171,206,236,262,298,279,282,306,351,383,399,427,341,349,382,426,448,472,555,651,752,875
"Taxes","Mean - total","- Vocational education at the upper secondary level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Vocational education at the upper secondary level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Vocational education at the upper secondary level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Vocational education at the upper secondary level","Total","75 years and over",84,97,111,145,128,114,179,183,178,218,250,300,334,342,399,396,437,478,607,503,483,554,632,678,817,745,879,1136,1208
"Taxes","Mean - total","- Vocational education at the upper secondary level","Men","Total",367,401,402,431,442,459,516,550,607,660,721,821,859,839,899,957,1062,1110,1233,1190,1228,1375,1470,1533,1604,1682,1821,1950,2071
"Taxes","Mean - total","- Vocational education at the upper secondary level","Men","16 - 24 years",167,171,159,165,167,193,221,233,277,318,349,398,362,365,395,460,509,520,552,434,454,509,555,569,597,696,774,853,975
"Taxes","Mean - total","- Vocational education at the upper secondary level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Vocational education at the upper secondary level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Vocational education at the upper secondary level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Vocational education at the upper secondary level","Men","75 years and over",92,109,127,160,136,119,191,189,178,217,247,297,326,328,378,378,428,466,583,496,473,543,631,670,833,714,865,1143,1195
"Taxes","Mean - total","- Vocational education at the upper secondary level","Women","Total",115,128,129,147,154,164,197,210,241,282,321,382,424,444,489,516,588,626,747,700,672,740,781,830,902,949,1066,1196,1255
"Taxes","Mean - total","- Vocational education at the upper secondary level","Women","16 - 24 years",45,49,44,48,51,58,68,72,85,104,123,142,146,141,156,175,191,216,232,192,177,185,227,249,274,327,418,542,644
"Taxes","Mean - total","- Vocational education at the upper secondary level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Vocational education at the upper secondary level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Vocational education at the upper secondary level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Vocational education at the upper secondary level","Women","75 years and over",64,69,71,105,110,102,151,167,177,222,257,308,354,378,452,442,461,512,671,523,511,581,635,700,776,826,915,1117,1241
"Taxes","Mean - total","- General education at the upper secondary level","Total","Total",123,135,133,146,153,160,191,218,247,291,339,390,406,414,458,498,564,627,702,600,595,662,693,737,797,845,968,1043,1118
"Taxes","Mean - total","- General education at the upper secondary level","Total","16 - 24 years",42,43,36,42,42,45,62,76,92,117,136,148,134,126,137,149,177,177,198,136,128,163,184,209,240,308,379,410,451
"Taxes","Mean - total","- General education at the upper secondary level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- General education at the upper secondary level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- General education at the upper secondary level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- General education at the upper secondary level","Total","75 years and over",156,204,172,174,199,214,377,359,380,432,522,640,683,636,734,709,778,800,1121,884,966,1079,1014,1137,1829,1162,1339,1422,1462
"Taxes","Mean - total","- General education at the upper secondary level","Men","Total",181,199,201,218,226,239,280,318,366,427,491,554,564,569,637,673,756,847,909,750,763,847,883,936,987,1058,1198,1277,1379
"Taxes","Mean - total","- General education at the upper secondary level","Men","16 - 24 years",55,57,47,55,54,59,81,98,125,160,177,186,163,147,164,184,218,215,229,149,149,184,205,230,260,330,406,445,491
"Taxes","Mean - total","- General education at the upper secondary level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- General education at the upper secondary level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- General education at the upper secondary level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- General education at the upper secondary level","Men","75 years and over",213,291,257,222,206,235,346,385,473,469,534,692,664,672,731,747,976,848,984,933,968,1068,995,1149,1257,1155,1400,1382,1465
"Taxes","Mean - total","- General education at the upper secondary level","Women","Total",82,91,88,98,104,108,132,152,172,204,242,287,305,316,344,384,435,480,559,494,476,528,554,590,656,684,792,864,916
"Taxes","Mean - total","- General education at the upper secondary level","Women","16 - 24 years",33,33,29,34,35,36,48,60,70,88,109,123,116,113,120,127,150,153,178,127,113,148,170,193,226,293,361,384,423
"Taxes","Mean - total","- General education at the upper secondary level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- General education at the upper secondary level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- General education at the upper secondary level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- General education at the upper secondary level","Women","75 years and over",64,53,57,108,190,190,406,337,316,404,512,599,697,610,737,682,644,768,1217,851,965,1086,1025,1129,2172,1166,1304,1445,1460
"Taxes","Mean - total","Tertiary education","Total","Total",445,476,486,515,533,548,616,649,729,817,907,1031,1094,1128,1212,1285,1409,1548,1714,1558,1570,1678,1774,1876,1981,2031,2177,2311,2406
"Taxes","Mean - total","Tertiary education","Total","16 - 24 years",69,72,64,66,88,97,116,123,194,252,322,320,301,246,281,315,316,385,385,243,224,281,314,347,322,381,500,577,616
"Taxes","Mean - total","Tertiary education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Tertiary education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Tertiary education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Tertiary education","Total","75 years and over",305,302,312,354,351,340,463,473,485,612,649,770,856,867,1014,1020,1023,1152,1571,1199,1259,1398,1560,1714,1899,1723,1825,1908,2009
"Taxes","Mean - total","Tertiary education","Men","Total",628,675,698,738,752,778,867,919,1007,1119,1245,1380,1450,1496,1609,1717,1875,2115,2263,2018,2050,2202,2328,2450,2579,2611,2775,2908,2990
"Taxes","Mean - total","Tertiary education","Men","16 - 24 years",94,97,90,88,109,136,175,171,226,344,430,382,345,286,312,326,366,457,439,279,271,335,378,417,358,461,587,643,681
"Taxes","Mean - total","Tertiary education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Tertiary education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Tertiary education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Tertiary education","Men","75 years and over",329,329,337,385,383,383,507,515,527,690,715,828,942,954,1103,1139,1106,1291,1789,1353,1428,1631,1839,1986,2173,1955,2077,2150,2249
"Taxes","Mean - total","Tertiary education","Women","Total",216,237,241,267,293,302,355,378,452,524,584,704,768,798,865,918,1019,1087,1275,1196,1201,1281,1360,1453,1545,1611,1748,1885,1992
"Taxes","Mean - total","Tertiary education","Women","16 - 24 years",51,51,43,49,69,65,71,90,159,173,230,262,259,214,258,309,277,329,349,221,191,242,265,298,296,322,440,537,578
"Taxes","Mean - total","Tertiary education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Tertiary education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Tertiary education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Tertiary education","Women","75 years and over",180,170,172,185,208,176,293,314,332,326,420,583,577,603,779,730,824,827,1076,856,900,938,1015,1201,1409,1328,1417,1537,1650
"Taxes","Mean - total","- Short-cycle tertiary education","Total","Total",246,257,249,275,308,324,375,394,472,556,630,760,804,830,893,982,1092,1157,1321,1307,1311,1430,1493,1595,1676,1745,1909,2089,2138
"Taxes","Mean - total","- Short-cycle tertiary education","Total","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","- Short-cycle tertiary education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Short-cycle tertiary education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Short-cycle tertiary education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Short-cycle tertiary education","Total","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","- Short-cycle tertiary education","Men","Total",435,445,431,442,461,495,584,641,717,810,906,1047,1067,1094,1155,1261,1373,1450,1609,1598,1653,1814,1890,1981,2103,2190,2404,2595,2647
"Taxes","Mean - total","- Short-cycle tertiary education","Men","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","- Short-cycle tertiary education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Short-cycle tertiary education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Short-cycle tertiary education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Short-cycle tertiary education","Men","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","- Short-cycle tertiary education","Women","Total",163,171,164,194,229,238,270,275,343,414,471,587,644,668,733,808,910,961,1123,1104,1071,1160,1212,1318,1365,1421,1545,1711,1748
"Taxes","Mean - total","- Short-cycle tertiary education","Women","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","- Short-cycle tertiary education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Short-cycle tertiary education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Short-cycle tertiary education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Short-cycle tertiary education","Women","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","- Bachelor�s or equivalent level","Total","Total",347,375,379,405,426,443,520,564,641,722,801,924,967,996,1070,1139,1261,1386,1502,1362,1358,1457,1529,1607,1706,1749,1889,2031,2129
"Taxes","Mean - total","- Bachelor�s or equivalent level","Total","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","- Bachelor�s or equivalent level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Bachelor�s or equivalent level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Bachelor�s or equivalent level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Bachelor�s or equivalent level","Total","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","- Bachelor�s or equivalent level","Men","Total",516,558,566,601,623,653,758,836,920,1034,1163,1300,1333,1382,1500,1620,1810,2059,2097,1854,1856,2017,2120,2197,2293,2306,2470,2623,2694
"Taxes","Mean - total","- Bachelor�s or equivalent level","Men","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","- Bachelor�s or equivalent level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Bachelor�s or equivalent level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Bachelor�s or equivalent level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Bachelor�s or equivalent level","Men","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","- Bachelor�s or equivalent level","Women","Total",203,224,228,252,275,283,343,367,439,506,559,675,730,753,805,852,938,998,1165,1085,1083,1149,1204,1279,1376,1431,1554,1689,1799
"Taxes","Mean - total","- Bachelor�s or equivalent level","Women","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","- Bachelor�s or equivalent level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Bachelor�s or equivalent level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Bachelor�s or equivalent level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Bachelor�s or equivalent level","Women","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","- Master�s or equivalent level","Total","Total",717,772,822,871,875,891,960,995,1084,1196,1310,1445,1545,1600,1712,1792,1925,2134,2388,2096,2114,2222,2337,2457,2565,2594,2734,2850,2944
"Taxes","Mean - total","- Master�s or equivalent level","Total","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","- Master�s or equivalent level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Master�s or equivalent level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Master�s or equivalent level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Master�s or equivalent level","Total","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","- Master�s or equivalent level","Men","Total",816,880,942,1003,1010,1036,1119,1153,1251,1382,1517,1660,1780,1845,1978,2085,2246,2570,2842,2452,2500,2652,2804,2963,3145,3154,3322,3444,3536
"Taxes","Mean - total","- Master�s or equivalent level","Men","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","- Master�s or equivalent level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Master�s or equivalent level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Master�s or equivalent level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Master�s or equivalent level","Men","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","- Master�s or equivalent level","Women","Total",366,404,434,465,484,491,546,596,690,779,862,1004,1091,1143,1245,1308,1428,1509,1776,1645,1654,1740,1842,1951,2017,2086,2224,2349,2464
"Taxes","Mean - total","- Master�s or equivalent level","Women","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","- Master�s or equivalent level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Master�s or equivalent level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Master�s or equivalent level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","- Master�s or equivalent level","Women","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","Doctoral or equivalent level","Total","Total",740,808,837,918,948,998,1094,1115,1317,1425,1588,1757,1962,1979,2042,2132,2248,2433,2886,2677,2804,2964,3185,3590,3626,3656,3795,3835,4014
"Taxes","Mean - total","Doctoral or equivalent level","Total","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","Doctoral or equivalent level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Doctoral or equivalent level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Doctoral or equivalent level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Doctoral or equivalent level","Total","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","Doctoral or equivalent level","Men","Total",775,845,881,977,1016,1066,1158,1189,1416,1529,1698,1893,2094,2119,2206,2294,2396,2589,3061,2930,3105,3275,3452,3972,4078,4186,4227,4265,4527
"Taxes","Mean - total","Doctoral or equivalent level","Men","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","Doctoral or equivalent level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Doctoral or equivalent level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Doctoral or equivalent level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
