"Year","Economic activity","Occupational group","Sex","Earnings and working hours","Mean","10%","20%","25% (1st quartile)","30%","40%","50% (median)","60%","70%","75% (3rd quartile)","80%","90%","Observations","Weighted bservations"
"2016","Total","Craft and related trades workers (7)","Men","Total earnings",699,467,528,553,579,626,678,722,773,809,854,989,2110,4630
"2016","Total","Craft and related trades workers (7)","Men","Hours paid",198.6,171.4,175.8,179.7,183.9,190.7,195.2,200.6,207.0,211.5,216.5,231.7,2110.0,4630.0
"2016","Total","Craft and related trades workers (7)","Women","Total earnings",465,302,341,360,385,406,435,477,519,536,575,615,330,620
"2016","Total","Craft and related trades workers (7)","Women","Hours paid",187.5,166.4,173.0,173.3,174.1,174.8,178.6,187.3,194.5,201.1,205.2,212.8,330.0,620.0
"2016","Total","Plant and machine operators and assemblers (8)","Total","Total earnings",560,388,428,456,476,519,558,590,625,642,662,737,2390,3890
"2016","Total","Plant and machine operators and assemblers (8)","Total","Hours paid",199.4,170.6,174.4,177.0,180.2,184.7,190.4,199.6,209.9,215.0,222.8,244.0,2390.0,3890.0
"2016","Total","Plant and machine operators and assemblers (8)","Men","Total earnings",568,400,443,468,489,533,567,598,631,646,669,742,2100,3510
"2016","Total","Plant and machine operators and assemblers (8)","Men","Hours paid",201.0,170.6,174.9,177.9,181.5,185.6,193.2,203.3,212.2,218.5,225.6,245.9,2100.0,3510.0
"2016","Total","Plant and machine operators and assemblers (8)","Women","Total earnings",481,331,378,393,402,425,452,480,529,559,585,648,290,380
"2016","Total","Plant and machine operators and assemblers (8)","Women","Hours paid",184.1,168.6,173.0,173.5,174.7,178.1,181.8,183.6,187.3,189.0,191.8,200.1,290.0,380.0
"2016","Total","Elementary occupations (9)","Total","Total earnings",472,329,369,387,401,426,449,483,521,541,562,639,2510,3970
"2016","Total","Elementary occupations (9)","Total","Hours paid",196.5,171.6,176.3,179.6,182.4,187.3,192.4,198.8,206.0,209.2,212.9,225.2,2510.0,3970.0
"2016","Total","Elementary occupations (9)","Men","Total earnings",495,351,394,408,422,444,474,512,545,563,593,660,1740,2910
"2016","Total","Elementary occupations (9)","Men","Hours paid",200.6,173.4,181.0,183.9,186.7,191.6,197.9,203.7,209.6,212.4,215.7,230.4,1740.0,2910.0
"2016","Total","Elementary occupations (9)","Women","Total earnings",409,302,328,340,350,380,399,419,441,462,480,537,770,1060
"2016","Total","Elementary occupations (9)","Women","Hours paid",185.2,165.7,172.1,173.4,174.5,178.3,181.7,185.9,190.3,192.6,197.1,207.0,770.0,1060.0
"2016","Total","Craft workers","Total","Total earnings",723,503,566,581,601,652,703,733,793,827,878,1007,1640,3780
"2016","Total","Craft workers","Total","Hours paid",196.5,171.2,174.8,178.3,182.9,189.5,193.6,199.2,205.7,209.2,213.1,228.8,1640.0,3780.0
"2016","Total","Craft workers","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Total","Craft workers","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Total","Craft workers","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Total","Craft workers","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Total","General, machine and specialized workers","Total","Total earnings",519,346,396,411,425,460,501,539,582,608,633,708,5710,9330
"2016","Total","General, machine and specialized workers","Total","Hours paid",198.1,171.1,174.8,177.9,180.8,185.7,191.7,199.3,207.6,211.6,217.5,235.2,5710.0,9330.0
"2016","Total","General, machine and specialized workers","Men","Total earnings",543,371,415,431,448,489,527,564,608,628,652,726,4350,7380
"2016","Total","General, machine and specialized workers","Men","Hours paid",201.5,172.1,177.5,181.1,183.5,189.4,196.4,203.8,211.0,215.2,222.1,240.4,4350.0,7380.0
"2016","Total","General, machine and specialized workers","Women","Total earnings",429,303,334,350,364,392,412,437,467,488,512,574,1350,1960
"2016","Total","General, machine and specialized workers","Women","Hours paid",185.3,166.3,172.7,173.3,174.3,176.7,180.8,184.9,190.3,192.6,197.1,207.9,1350.0,1960.0
"2016","Manufacturing (C)","Total","Total","Total earnings",645,382,431,459,482,535,586,639,700,743,791,949,5180,9350
"2016","Manufacturing (C)","Total","Total","Hours paid",186.3,162.5,168.9,171.8,173.3,173.4,178.2,183.6,191.6,196.4,202.5,219.3,5180.0,9350.0
"2016","Manufacturing (C)","Total","Men","Total earnings",675,402,461,486,516,569,620,662,733,774,819,981,3680,7070
"2016","Manufacturing (C)","Total","Men","Hours paid",188.9,162.5,170.6,173.2,173.3,175.2,181.7,187.3,195.8,200.3,207.4,225.7,3680.0,7070.0
"2016","Manufacturing (C)","Total","Women","Total earnings",553,352,392,405,423,451,490,535,590,624,660,818,1500,2280
"2016","Manufacturing (C)","Total","Women","Hours paid",178.1,162.5,165.0,167.7,171.1,173.3,173.4,176.1,180.8,183.7,187.9,199.8,1500.0,2280.0
"2016","Manufacturing (C)","Managers (1)","Total","Total earnings",1155,674,761,801,826,919,998,1084,1202,1366,1471,1738,440,920
"2016","Manufacturing (C)","Managers (1)","Total","Hours paid",169.7,158.8,162.5,162.5,162.5,162.5,172.5,173.3,173.3,173.4,173.4,176.0,440.0,920.0
"2016","Manufacturing (C)","Managers (1)","Men","Total earnings",1174,679,761,801,814,919,1001,1095,1239,1403,1484,1807,340,750
"2016","Manufacturing (C)","Managers (1)","Men","Hours paid",169.9,156.0,162.5,162.5,162.5,162.5,171.9,173.3,173.3,173.4,173.4,179.8,340.0,750.0
"2016","Manufacturing (C)","Managers (1)","Women","Total earnings",1075,670,710,800,867,919,973,1053,1170,1197,1246,1492,100,170
"2016","Manufacturing (C)","Managers (1)","Women","Hours paid",169.1,160.7,162.5,162.5,162.5,165.0,172.6,173.3,173.4,173.4,173.4,176.0,100.0,170.0
"2016","Manufacturing (C)","Professionals (2)","Total","Total earnings",827,569,645,668,699,741,782,847,924,955,991,1090,570,640
"2016","Manufacturing (C)","Professionals (2)","Total","Hours paid",170.3,159.0,162.5,162.5,162.5,168.7,173.0,173.3,173.4,173.4,173.4,175.7,570.0,640.0
"2016","Manufacturing (C)","Professionals (2)","Men","Total earnings",891,660,714,732,756,800,852,922,969,999,1060,1139,310,390
"2016","Manufacturing (C)","Professionals (2)","Men","Hours paid",169.9,156.1,162.5,162.5,162.5,164.9,170.8,173.2,173.3,173.4,173.4,178.3,310.0,390.0
"2016","Manufacturing (C)","Professionals (2)","Women","Total earnings",730,531,586,612,626,660,688,741,799,824,859,969,260,250
"2016","Manufacturing (C)","Professionals (2)","Women","Hours paid",170.9,159.7,162.5,165.8,170.9,173.0,173.4,173.4,173.4,173.4,173.4,174.6,260.0,250.0
"2016","Manufacturing (C)","Technicians and associate professionals (3)","Total","Total earnings",647,461,520,529,544,574,623,654,699,732,776,885,440,790
"2016","Manufacturing (C)","Technicians and associate professionals (3)","Total","Hours paid",174.9,162.5,162.9,168.3,170.9,173.3,173.3,173.4,173.9,176.3,178.2,188.9,440.0,790.0
"2016","Manufacturing (C)","Technicians and associate professionals (3)","Men","Total earnings",681,469,529,547,565,622,645,679,754,780,825,930,280,540
"2016","Manufacturing (C)","Technicians and associate professionals (3)","Men","Hours paid",176.5,162.5,168.7,170.9,173.2,173.3,173.3,173.4,177.8,178.2,181.2,189.8,280.0,540.0
"2016","Manufacturing (C)","Technicians and associate professionals (3)","Women","Total earnings",575,427,461,482,514,542,552,575,624,645,677,746,160,250
"2016","Manufacturing (C)","Technicians and associate professionals (3)","Women","Hours paid",171.3,159.3,162.5,162.5,163.0,170.2,172.8,173.3,173.4,173.4,173.4,175.8,160.0,250.0
"2016","Manufacturing (C)","Clerks (4)","Total","Total earnings",530,382,400,422,440,470,512,536,598,627,657,735,180,410
"2016","Manufacturing (C)","Clerks (4)","Total","Hours paid",171.3,161.0,162.5,162.5,162.5,166.0,169.7,173.3,173.5,174.5,175.6,184.2,180.0,410.0
"2016","Manufacturing (C)","Clerks (4)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Manufacturing (C)","Clerks (4)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Manufacturing (C)","Clerks (4)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Manufacturing (C)","Clerks (4)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Manufacturing (C)","Service workers and shop and market sales workers (5)","Total","Total earnings",509,362,420,425,436,464,479,521,572,576,620,668,160,420
"2016","Manufacturing (C)","Service workers and shop and market sales workers (5)","Total","Hours paid",176.6,162.5,164.1,167.2,168.3,171.5,173.6,174.8,180.2,181.7,182.6,197.4,160.0,420.0
"2016","Manufacturing (C)","Service workers and shop and market sales workers (5)","Men","Total earnings",527,348,425,449,462,479,506,552,584,620,621,668,100,290
"2016","Manufacturing (C)","Service workers and shop and market sales workers (5)","Men","Hours paid",177.6,162.5,165.2,168.2,170.3,173.3,174.1,175.0,180.4,181.7,182.6,200.2,100.0,290.0
"2016","Manufacturing (C)","Service workers and shop and market sales workers (5)","Women","Total earnings",473,362,401,410,421,433,449,477,507,517,539,589,50,140
"2016","Manufacturing (C)","Service workers and shop and market sales workers (5)","Women","Hours paid",174.5,161.8,162.7,163.6,165.2,170.4,173.2,173.9,176.8,179.8,182.7,196.7,50.0,140.0
"2016","Manufacturing (C)","Craft and related trades workers (7)","Total","Total earnings",645,411,466,491,513,575,632,676,741,781,818,918,1190,2380
"2016","Manufacturing (C)","Craft and related trades workers (7)","Total","Hours paid",196.5,170.4,173.3,175.2,177.7,183.2,191.0,197.0,206.3,211.1,214.6,232.0,1190.0,2380.0
"2016","Manufacturing (C)","Craft and related trades workers (7)","Men","Total earnings",674,430,496,525,560,616,661,705,773,804,843,932,920,1990
"2016","Manufacturing (C)","Craft and related trades workers (7)","Men","Hours paid",197.3,170.5,173.3,175.2,178.2,184.0,191.4,198.3,208.5,212.1,216.0,233.3,920.0,1990.0
"2016","Manufacturing (C)","Craft and related trades workers (7)","Women","Total earnings",498,373,399,406,423,444,476,506,529,541,577,644,270,390
"2016","Manufacturing (C)","Craft and related trades workers (7)","Women","Hours paid",191.9,168.7,173.3,174.8,176.9,180.9,187.4,192.9,201.4,204.6,206.7,217.5,270.0,390.0
"2016","Manufacturing (C)","Plant and machine operators and assemblers (8)","Total","Total earnings",559,392,425,454,472,518,558,589,624,639,657,729,1470,2540
"2016","Manufacturing (C)","Plant and machine operators and assemblers (8)","Total","Hours paid",192.5,167.4,173.1,174.1,176.2,181.2,183.9,189.5,198.0,204.2,211.1,233.9,1470.0,2540.0
"2016","Manufacturing (C)","Plant and machine operators and assemblers (8)","Men","Total earnings",571,404,448,470,489,536,569,598,631,646,667,741,1230,2200
"2016","Manufacturing (C)","Plant and machine operators and assemblers (8)","Men","Hours paid",194.1,167.2,173.3,174.5,176.9,182.0,184.9,192.2,202.7,207.0,214.8,237.1,1230.0,2200.0
"2016","Manufacturing (C)","Plant and machine operators and assemblers (8)","Women","Total earnings",481,335,380,393,404,425,452,481,529,559,585,642,240,330
"2016","Manufacturing (C)","Plant and machine operators and assemblers (8)","Women","Hours paid",181.9,167.8,172.8,173.3,174.1,176.9,180.6,183.2,185.4,187.3,190.3,195.3,240.0,330.0
"2016","Manufacturing (C)","Elementary occupations (9)","Total","Total earnings",431,305,337,348,362,390,415,436,466,489,516,590,680,1250
"2016","Manufacturing (C)","Elementary occupations (9)","Total","Hours paid",190.1,167.9,173.4,176.1,178.4,182.8,186.9,191.6,198.0,200.8,204.4,214.9,680.0,1250.0
"2016","Manufacturing (C)","Elementary occupations (9)","Men","Total earnings",451,312,348,365,379,402,426,454,494,516,544,624,430,840
"2016","Manufacturing (C)","Elementary occupations (9)","Men","Hours paid",193.9,169.5,176.3,179.2,182.8,186.7,190.9,196.4,200.8,205.4,207.8,219.8,430.0,840.0
"2016","Manufacturing (C)","Elementary occupations (9)","Women","Total earnings",392,294,307,320,337,361,383,409,430,440,463,511,250,410
"2016","Manufacturing (C)","Elementary occupations (9)","Women","Hours paid",182.2,161.9,168.8,172.8,173.5,177.5,180.8,183.4,188.2,190.7,194.3,202.2,250.0,410.0
"2016","Manufacturing (C)","Craft workers","Total","Total earnings",707,473,548,578,601,652,692,738,804,829,856,955,620,1460
"2016","Manufacturing (C)","Craft workers","Total","Hours paid",192.6,168.9,173.3,173.3,175.2,181.2,186.9,194.0,201.0,207.1,211.8,227.2,620.0,1460.0
"2016","Manufacturing (C)","Craft workers","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Manufacturing (C)","Craft workers","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Manufacturing (C)","Craft workers","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Manufacturing (C)","Craft workers","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Manufacturing (C)","General, machine and specialized workers","Total","Total earnings",522,353,396,411,425,462,505,548,591,615,639,713,2730,4700
"2016","Manufacturing (C)","General, machine and specialized workers","Total","Hours paid",193.8,168.2,173.3,175.6,178.0,182.5,186.9,193.0,200.8,205.8,210.7,231.0,2730.0,4700.0
"2016","Manufacturing (C)","General, machine and specialized workers","Men","Total earnings",545,366,412,425,447,489,536,576,616,637,655,742,1980,3620
"2016","Manufacturing (C)","General, machine and specialized workers","Men","Hours paid",196.4,169.1,173.6,176.6,179.3,183.4,189.3,196.3,204.9,209.7,215.5,235.2,1980.0,3620.0
"2016","Manufacturing (C)","General, machine and specialized workers","Women","Total earnings",447,310,356,368,383,405,430,453,491,512,530,596,740,1080
"2016","Manufacturing (C)","General, machine and specialized workers","Women","Hours paid",185.4,165.8,172.8,173.4,175.1,178.4,181.7,185.0,190.7,192.9,196.8,207.3,740.0,1080.0
"2016","Electricity, gas, steam, and air conditioning supply (D)","Total","Total","Total earnings",900,507,621,677,715,791,868,954,1021,1061,1104,1316,880,1160
"2016","Electricity, gas, steam, and air conditioning supply (D)","Total","Total","Hours paid",188.4,171.6,171.6,171.6,171.9,173.4,173.4,187.3,198.5,204.4,211.0,224.0,880.0,1160.0
"2016","Electricity, gas, steam, and air conditioning supply (D)","Total","Men","Total earnings",953,607,715,751,780,848,930,977,1053,1084,1142,1323,650,850
"2016","Electricity, gas, steam, and air conditioning supply (D)","Total","Men","Hours paid",192.6,171.6,171.6,173.3,173.4,173.4,186.6,196.3,205.8,211.7,216.6,227.4,650.0,850.0
"2016","Electricity, gas, steam, and air conditioning supply (D)","Total","Women","Total earnings",756,470,489,503,514,587,670,730,870,940,987,1253,220,310
"2016","Electricity, gas, steam, and air conditioning supply (D)","Total","Women","Hours paid",176.8,167.3,171.6,171.6,171.6,171.6,172.4,173.4,173.4,175.6,182.6,190.4,220.0,310.0
"2016","Electricity, gas, steam, and air conditioning supply (D)","Managers (1)","Total","Total earnings",1388,984,1087,1147,1192,1312,1361,1411,1466,1520,1562,1882,110,160
"2016","Electricity, gas, steam, and air conditioning supply (D)","Managers (1)","Total","Hours paid",178.0,171.6,171.6,171.6,173.3,173.4,173.4,173.4,173.4,181.6,189.1,196.2,110.0,160.0
"2016","Electricity, gas, steam, and air conditioning supply (D)","Managers (1)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Managers (1)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Managers (1)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Managers (1)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Professionals (2)","Total","Total earnings",992,762,843,865,882,933,967,996,1029,1070,1142,1266,200,270
"2016","Electricity, gas, steam, and air conditioning supply (D)","Professionals (2)","Total","Hours paid",174.4,166.7,171.6,171.6,171.6,171.6,173.4,173.4,173.4,173.4,173.4,185.3,200.0,270.0
"2016","Electricity, gas, steam, and air conditioning supply (D)","Professionals (2)","Men","Total earnings",1013,787,864,881,919,961,976,1020,1074,1105,1170,1289,130,190
"2016","Electricity, gas, steam, and air conditioning supply (D)","Professionals (2)","Men","Hours paid",175.7,170.1,171.6,171.6,171.6,171.6,173.4,173.4,173.4,173.4,174.3,192.8,130.0,190.0
"2016","Electricity, gas, steam, and air conditioning supply (D)","Professionals (2)","Women","Total earnings",940,728,808,828,834,882,928,959,983,1010,1029,1155,60,80
"2016","Electricity, gas, steam, and air conditioning supply (D)","Professionals (2)","Women","Hours paid",171.2,165.0,169.9,171.6,171.6,171.6,171.6,172.1,173.4,173.4,173.4,173.4,60.0,80.0
"2016","Electricity, gas, steam, and air conditioning supply (D)","Technicians and associate professionals (3)","Total","Total earnings",804,571,613,637,677,726,777,831,899,950,1006,1067,130,180
"2016","Electricity, gas, steam, and air conditioning supply (D)","Technicians and associate professionals (3)","Total","Hours paid",186.1,171.6,171.6,171.6,171.7,173.4,173.4,181.7,190.4,195.8,204.6,217.1,130.0,180.0
"2016","Electricity, gas, steam, and air conditioning supply (D)","Technicians and associate professionals (3)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Technicians and associate professionals (3)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Technicians and associate professionals (3)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Technicians and associate professionals (3)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Clerks (4)","Total","Total earnings",567,467,474,478,480,499,513,564,627,663,679,775,90,130
"2016","Electricity, gas, steam, and air conditioning supply (D)","Clerks (4)","Total","Hours paid",179.8,166.1,171.0,171.6,171.6,171.6,173.3,175.3,183.3,183.3,188.0,198.8,90.0,130.0
"2016","Electricity, gas, steam, and air conditioning supply (D)","Clerks (4)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Clerks (4)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Clerks (4)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Clerks (4)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Service workers and shop and market sales workers (5)","Total","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Service workers and shop and market sales workers (5)","Total","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Service workers and shop and market sales workers (5)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Service workers and shop and market sales workers (5)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Service workers and shop and market sales workers (5)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Service workers and shop and market sales workers (5)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Craft and related trades workers (7)","Total","Total earnings",893,657,739,760,778,823,885,960,1007,1036,1057,1122,230,300
"2016","Electricity, gas, steam, and air conditioning supply (D)","Craft and related trades workers (7)","Total","Hours paid",211.8,178.1,199.0,202.4,204.5,208.7,215.1,218.9,222.9,225.6,228.1,234.1,230.0,300.0
"2016","Electricity, gas, steam, and air conditioning supply (D)","Craft and related trades workers (7)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Craft and related trades workers (7)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Craft and related trades workers (7)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Craft and related trades workers (7)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Plant and machine operators and assemblers (8)","Total","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Plant and machine operators and assemblers (8)","Total","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Plant and machine operators and assemblers (8)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Plant and machine operators and assemblers (8)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Plant and machine operators and assemblers (8)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Plant and machine operators and assemblers (8)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Elementary occupations (9)","Total","Total earnings",542,419,488,496,507,507,514,559,587,604,637,663,80,90
"2016","Electricity, gas, steam, and air conditioning supply (D)","Elementary occupations (9)","Total","Hours paid",185.4,171.6,171.6,171.6,171.6,173.9,178.1,188.3,194.7,199.6,201.1,210.6,80.0,90.0
"2016","Electricity, gas, steam, and air conditioning supply (D)","Elementary occupations (9)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Elementary occupations (9)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Elementary occupations (9)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Elementary occupations (9)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Craft workers","Total","Total earnings",904,686,746,771,794,832,899,966,1025,1040,1064,1124,210,280
"2016","Electricity, gas, steam, and air conditioning supply (D)","Craft workers","Total","Hours paid",211.7,178.1,198.5,202.3,204.4,208.7,215.0,218.9,223.6,225.6,228.3,234.1,210.0,280.0
"2016","Electricity, gas, steam, and air conditioning supply (D)","Craft workers","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Craft workers","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Craft workers","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","Craft workers","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","General, machine and specialized workers","Total","Total earnings",573,424,489,503,507,507,524,574,637,654,663,765,100,120
"2016","Electricity, gas, steam, and air conditioning supply (D)","General, machine and specialized workers","Total","Hours paid",190.4,171.6,171.6,171.6,172.0,175.8,188.3,194.0,201.1,204.1,209.1,219.5,100.0,120.0
"2016","Electricity, gas, steam, and air conditioning supply (D)","General, machine and specialized workers","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","General, machine and specialized workers","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","General, machine and specialized workers","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Electricity, gas, steam, and air conditioning supply (D)","General, machine and specialized workers","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Total","Total","Total earnings",639,449,495,514,528,567,603,635,673,692,716,900,210,420
"2016","Water supply; sewerage, waste management etc. (E)","Total","Total","Hours paid",204.7,162.5,173.3,175.9,185.8,197.8,206.0,211.8,214.9,222.9,229.0,249.9,210.0,420.0
"2016","Water supply; sewerage, waste management etc. (E)","Total","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Total","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Total","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Total","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Managers (1)","Total","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Managers (1)","Total","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Managers (1)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Managers (1)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Managers (1)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Managers (1)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Professionals (2)","Total","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Professionals (2)","Total","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Professionals (2)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Professionals (2)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Professionals (2)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Professionals (2)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Technicians and associate professionals (3)","Total","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Technicians and associate professionals (3)","Total","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Technicians and associate professionals (3)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Technicians and associate professionals (3)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Technicians and associate professionals (3)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Water supply; sewerage, waste management etc. (E)","Technicians and associate professionals (3)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
