"ISCED level","Type of education","Degrees","Year","Narrow field of study","Total","Males","Females"
"Total","Total","Basic & first degree","2004","Life science",302,110,192
"Total","Total","Basic & first degree","2004","Physical science",210,121,89
"Total","Total","Basic & first degree","2004","Mathematics and statistics",88,62,26
"Total","Total","Basic & first degree","2004","Computing",530,439,91
"Total","Total","Basic & first degree","2004","Science, not specified",59,25,34
"Total","Total","Basic & first degree","2004","Engineering and engineering trades",573,442,131
"Total","Total","Basic & first degree","2004","Manufacturing and processing",28,8,20
"Total","Total","Basic & first degree","2004","Architecture and building",333,191,142
"Total","Total","Basic & first degree","2004","Certified trades, not specified",0,0,0
"Total","Total","Basic & first degree","2004","Agriculture, forestry and fishery",87,50,37
"Total","Total","Basic & first degree","2004","Veterinary",0,0,0
"Total","Total","Basic & first degree","2004","Health",1468,233,1235
"Total","Total","Basic & first degree","2004","Social services",211,12,199
"Total","Total","Basic & first degree","2004","Personal services",232,44,188
"Total","Total","Basic & first degree","2004","Transport services",6,3,3
"Total","Total","Basic & first degree","2004","Environmental protection",16,6,10
"Total","Total","Basic & first degree","2004","Security services",0,0,0
"Total","Total","Basic & first degree","2004","Unknown",0,0,0
"Total","Total","Basic & first degree","2005","Total",13339,4709,8630
"Total","Total","Basic & first degree","2005","Basic/broad, general programmes",0,0,0
"Total","Total","Basic & first degree","2005","Literacy and numeracy",0,0,0
"Total","Total","Basic & first degree","2005","Personal skills",0,0,0
"Total","Total","Basic & first degree","2005","Teacher training and educational science",2536,414,2122
"Total","Total","Basic & first degree","2005","Arts",424,155,269
"Total","Total","Basic & first degree","2005","Humanities",1669,558,1111
"Total","Total","Basic & first degree","2005","Social and behavioural science",1622,596,1026
"Total","Total","Basic & first degree","2005","Journalism and information",129,28,101
"Total","Total","Basic & first degree","2005","Business and administration",1823,772,1051
"Total","Total","Basic & first degree","2005","Law",961,453,508
"Total","Total","Basic & first degree","2005","Life science",317,96,221
"Total","Total","Basic & first degree","2005","Physical science",257,142,115
"Total","Total","Basic & first degree","2005","Mathematics and statistics",81,58,23
"Total","Total","Basic & first degree","2005","Computing",436,377,59
"Total","Total","Basic & first degree","2005","Science, not specified",1,1,0
"Total","Total","Basic & first degree","2005","Engineering and engineering trades",677,513,164
"Total","Total","Basic & first degree","2005","Manufacturing and processing",27,9,18
"Total","Total","Basic & first degree","2005","Architecture and building",366,209,157
"Total","Total","Basic & first degree","2005","Certified trades, not specified",0,0,0
"Total","Total","Basic & first degree","2005","Agriculture, forestry and fishery",70,42,28
"Total","Total","Basic & first degree","2005","Veterinary",0,0,0
"Total","Total","Basic & first degree","2005","Health",1405,204,1201
"Total","Total","Basic & first degree","2005","Social services",251,19,232
"Total","Total","Basic & first degree","2005","Personal services",276,57,219
"Total","Total","Basic & first degree","2005","Transport services",6,4,2
"Total","Total","Basic & first degree","2005","Environmental protection",5,2,3
"Total","Total","Basic & first degree","2005","Security services",0,0,0
"Total","Total","Basic & first degree","2005","Unknown",0,0,0
"Total","Total","Basic & first degree","2006","Total",12900,4601,8299
"Total","Total","Basic & first degree","2006","Basic/broad, general programmes",0,0,0
"Total","Total","Basic & first degree","2006","Literacy and numeracy",0,0,0
"Total","Total","Basic & first degree","2006","Personal skills",0,0,0
"Total","Total","Basic & first degree","2006","Teacher training and educational science",2284,369,1915
"Total","Total","Basic & first degree","2006","Arts",450,153,297
"Total","Total","Basic & first degree","2006","Humanities",1562,541,1021
"Total","Total","Basic & first degree","2006","Social and behavioural science",1689,587,1102
"Total","Total","Basic & first degree","2006","Journalism and information",117,26,91
"Total","Total","Basic & first degree","2006","Business and administration",1758,770,988
"Total","Total","Basic & first degree","2006","Law",925,411,514
"Total","Total","Basic & first degree","2006","Life science",298,101,197
"Total","Total","Basic & first degree","2006","Physical science",251,137,114
"Total","Total","Basic & first degree","2006","Mathematics and statistics",82,67,15
"Total","Total","Basic & first degree","2006","Computing",404,354,50
"Total","Total","Basic & first degree","2006","Science, not specified",0,0,0
"Total","Total","Basic & first degree","2006","Engineering and engineering trades",739,538,201
"Total","Total","Basic & first degree","2006","Manufacturing and processing",28,9,19
"Total","Total","Basic & first degree","2006","Architecture and building",321,185,136
"Total","Total","Basic & first degree","2006","Certified trades, not specified",0,0,0
"Total","Total","Basic & first degree","2006","Agriculture, forestry and fishery",76,44,32
"Total","Total","Basic & first degree","2006","Veterinary",0,0,0
"Total","Total","Basic & first degree","2006","Health",1408,243,1165
"Total","Total","Basic & first degree","2006","Social services",287,18,269
"Total","Total","Basic & first degree","2006","Personal services",221,48,173
"Total","Total","Basic & first degree","2006","Transport services",0,0,0
"Total","Total","Basic & first degree","2006","Environmental protection",0,0,0
"Total","Total","Basic & first degree","2006","Security services",0,0,0
"Total","Total","Basic & first degree","2006","Unknown",0,0,0
"Total","Total","Basic & first degree","2007","Total",12787,4600,8187
"Total","Total","Basic & first degree","2007","Basic/broad, general programmes",0,0,0
"Total","Total","Basic & first degree","2007","Literacy and numeracy",0,0,0
"Total","Total","Basic & first degree","2007","Personal skills",0,0,0
"Total","Total","Basic & first degree","2007","Teacher training and educational science",2287,390,1897
"Total","Total","Basic & first degree","2007","Arts",477,155,322
"Total","Total","Basic & first degree","2007","Humanities",1555,527,1028
"Total","Total","Basic & first degree","2007","Social and behavioural science",1643,566,1077
"Total","Total","Basic & first degree","2007","Journalism and information",105,21,84
"Total","Total","Basic & first degree","2007","Business and administration",1691,762,929
"Total","Total","Basic & first degree","2007","Law",816,362,454
"Total","Total","Basic & first degree","2007","Life science",289,93,196
"Total","Total","Basic & first degree","2007","Physical science",219,133,86
"Total","Total","Basic & first degree","2007","Mathematics and statistics",79,59,20
"Total","Total","Basic & first degree","2007","Computing",424,357,67
"Total","Total","Basic & first degree","2007","Science, not specified",0,0,0
"Total","Total","Basic & first degree","2007","Engineering and engineering trades",818,586,232
"Total","Total","Basic & first degree","2007","Manufacturing and processing",28,7,21
"Total","Total","Basic & first degree","2007","Architecture and building",367,210,157
"Total","Total","Basic & first degree","2007","Certified trades, not specified",0,0,0
"Total","Total","Basic & first degree","2007","Agriculture, forestry and fishery",100,49,51
"Total","Total","Basic & first degree","2007","Veterinary",0,0,0
"Total","Total","Basic & first degree","2007","Health",1347,240,1107
"Total","Total","Basic & first degree","2007","Social services",329,33,296
"Total","Total","Basic & first degree","2007","Personal services",209,47,162
"Total","Total","Basic & first degree","2007","Transport services",4,3,1
"Total","Total","Basic & first degree","2007","Environmental protection",0,0,0
"Total","Total","Basic & first degree","2007","Security services",0,0,0
"Total","Total","Basic & first degree","2007","Unknown",0,0,0
"Total","Total","Basic & first degree","2008","Total",12784,4644,8140
"Total","Total","Basic & first degree","2008","Basic/broad, general programmes",0,0,0
"Total","Total","Basic & first degree","2008","Literacy and numeracy",0,0,0
"Total","Total","Basic & first degree","2008","Personal skills",0,0,0
"Total","Total","Basic & first degree","2008","Teacher training and educational science",2163,377,1786
"Total","Total","Basic & first degree","2008","Arts",543,171,372
"Total","Total","Basic & first degree","2008","Humanities",1414,495,919
"Total","Total","Basic & first degree","2008","Social and behavioural science",1620,560,1060
"Total","Total","Basic & first degree","2008","Journalism and information",96,21,75
"Total","Total","Basic & first degree","2008","Business and administration",1790,772,1018
"Total","Total","Basic & first degree","2008","Law",845,361,484
"Total","Total","Basic & first degree","2008","Life science",259,85,174
"Total","Total","Basic & first degree","2008","Physical science",227,134,93
"Total","Total","Basic & first degree","2008","Mathematics and statistics",89,58,31
"Total","Total","Basic & first degree","2008","Computing",436,372,64
"Total","Total","Basic & first degree","2008","Science, not specified",0,0,0
"Total","Total","Basic & first degree","2008","Engineering and engineering trades",929,628,301
"Total","Total","Basic & first degree","2008","Manufacturing and processing",14,3,11
"Total","Total","Basic & first degree","2008","Architecture and building",418,262,156
"Total","Total","Basic & first degree","2008","Certified trades, not specified",0,0,0
"Total","Total","Basic & first degree","2008","Agriculture, forestry and fishery",74,34,40
"Total","Total","Basic & first degree","2008","Veterinary",0,0,0
"Total","Total","Basic & first degree","2008","Health",1373,229,1144
"Total","Total","Basic & first degree","2008","Social services",292,27,265
"Total","Total","Basic & first degree","2008","Personal services",202,55,147
"Total","Total","Basic & first degree","2008","Transport services",0,0,0
"Total","Total","Basic & first degree","2008","Environmental protection",0,0,0
"Total","Total","Basic & first degree","2008","Security services",0,0,0
"Total","Total","Basic & first degree","2008","Unknown",0,0,0
"Total","Total","Basic & first degree","2009","Total",13508,4999,8509
"Total","Total","Basic & first degree","2009","Basic/broad, general programmes",0,0,0
"Total","Total","Basic & first degree","2009","Literacy and numeracy",0,0,0
"Total","Total","Basic & first degree","2009","Personal skills",0,0,0
"Total","Total","Basic & first degree","2009","Teacher training and educational science",2139,414,1725
"Total","Total","Basic & first degree","2009","Arts",574,184,390
"Total","Total","Basic & first degree","2009","Humanities",1642,601,1041
"Total","Total","Basic & first degree","2009","Social and behavioural science",1851,673,1178
"Total","Total","Basic & first degree","2009","Journalism and information",99,28,71
"Total","Total","Basic & first degree","2009","Business and administration",1538,690,848
"Total","Total","Basic & first degree","2009","Law",930,417,513
"Total","Total","Basic & first degree","2009","Life science",364,140,224
"Total","Total","Basic & first degree","2009","Physical science",280,164,116
"Total","Total","Basic & first degree","2009","Mathematics and statistics",93,60,33
"Total","Total","Basic & first degree","2009","Computing",443,380,63
"Total","Total","Basic & first degree","2009","Science, not specified",0,0,0
"Total","Total","Basic & first degree","2009","Engineering and engineering trades",929,642,287
"Total","Total","Basic & first degree","2009","Manufacturing and processing",10,2,8
"Total","Total","Basic & first degree","2009","Architecture and building",410,252,158
"Total","Total","Basic & first degree","2009","Certified trades, not specified",0,0,0
"Total","Total","Basic & first degree","2009","Agriculture, forestry and fishery",96,37,59
"Total","Total","Basic & first degree","2009","Veterinary",0,0,0
"Total","Total","Basic & first degree","2009","Health",1474,217,1257
"Total","Total","Basic & first degree","2009","Social services",392,31,361
"Total","Total","Basic & first degree","2009","Personal services",238,62,176
"Total","Total","Basic & first degree","2009","Transport services",6,5,1
"Total","Total","Basic & first degree","2009","Environmental protection",0,0,0
"Total","Total","Basic & first degree","2009","Security services",0,0,0
"Total","Total","Basic & first degree","2009","Unknown",0,0,0
"Total","Total","Basic & first degree","2010","Total",13956,5442,8514
"Total","Total","Basic & first degree","2010","Basic/broad, general programmes",0,0,0
"Total","Total","Basic & first degree","2010","Literacy and numeracy",0,0,0
"Total","Total","Basic & first degree","2010","Personal skills",0,0,0
"Total","Total","Basic & first degree","2010","Teacher training and educational science",2032,462,1570
"Total","Total","Basic & first degree","2010","Arts",629,217,412
"Total","Total","Basic & first degree","2010","Humanities",1627,629,998
"Total","Total","Basic & first degree","2010","Social and behavioural science",2025,708,1317
"Total","Total","Basic & first degree","2010","Journalism and information",106,31,75
"Total","Total","Basic & first degree","2010","Business and administration",1522,718,804
"Total","Total","Basic & first degree","2010","Law",971,461,510
"Total","Total","Basic & first degree","2010","Life science",391,164,227
"Total","Total","Basic & first degree","2010","Physical science",325,199,126
"Total","Total","Basic & first degree","2010","Mathematics and statistics",71,49,22
"Total","Total","Basic & first degree","2010","Computing",492,429,63
"Total","Total","Basic & first degree","2010","Science, not specified",0,0,0
"Total","Total","Basic & first degree","2010","Engineering and engineering trades",973,708,265
"Total","Total","Basic & first degree","2010","Manufacturing and processing",15,4,11
"Total","Total","Basic & first degree","2010","Architecture and building",380,247,133
"Total","Total","Basic & first degree","2010","Certified trades, not specified",0,0,0
"Total","Total","Basic & first degree","2010","Agriculture, forestry and fishery",138,51,87
"Total","Total","Basic & first degree","2010","Veterinary",0,0,0
"Total","Total","Basic & first degree","2010","Health",1548,238,1310
"Total","Total","Basic & first degree","2010","Social services",380,34,346
"Total","Total","Basic & first degree","2010","Personal services",322,84,238
"Total","Total","Basic & first degree","2010","Transport services",9,9,0
"Total","Total","Basic & first degree","2010","Environmental protection",0,0,0
"Total","Total","Basic & first degree","2010","Security services",0,0,0
"Total","Total","Basic & first degree","2010","Unknown",0,0,0
"Total","Total","Basic & first degree","2011","Total",14269,5586,8683
"Total","Total","Basic & first degree","2011","Basic/broad, general programmes",0,0,0
"Total","Total","Basic & first degree","2011","Literacy and numeracy",0,0,0
"Total","Total","Basic & first degree","2011","Personal skills",0,0,0
"Total","Total","Basic & first degree","2011","Teacher training and educational science",1488,329,1159
"Total","Total","Basic & first degree","2011","Arts",611,218,393
"Total","Total","Basic & first degree","2011","Humanities",1841,698,1143
"Total","Total","Basic & first degree","2011","Social and behavioural science",2220,743,1477
"Total","Total","Basic & first degree","2011","Journalism and information",124,38,86
"Total","Total","Basic & first degree","2011","Business and administration",1594,766,828
"Total","Total","Basic & first degree","2011","Law",966,436,530
"Total","Total","Basic & first degree","2011","Life science",413,170,243
"Total","Total","Basic & first degree","2011","Physical science",390,231,159
"Total","Total","Basic & first degree","2011","Mathematics and statistics",67,44,23
"Total","Total","Basic & first degree","2011","Computing",615,522,93
"Total","Total","Basic & first degree","2011","Science, not specified",0,0,0
"Total","Total","Basic & first degree","2011","Engineering and engineering trades",990,722,268
"Total","Total","Basic & first degree","2011","Manufacturing and processing",14,6,8
"Total","Total","Basic & first degree","2011","Architecture and building",311,198,113
"Total","Total","Basic & first degree","2011","Certified trades, not specified",0,0,0
"Total","Total","Basic & first degree","2011","Agriculture, forestry and fishery",177,76,101
"Total","Total","Basic & first degree","2011","Veterinary",0,0,0
"Total","Total","Basic & first degree","2011","Health",1627,235,1392
"Total","Total","Basic & first degree","2011","Social services",418,34,384
"Total","Total","Basic & first degree","2011","Personal services",392,110,282
"Total","Total","Basic & first degree","2011","Transport services",6,6,0
"Total","Total","Basic & first degree","2011","Environmental protection",5,4,1
"Total","Total","Basic & first degree","2011","Security services",0,0,0
"Total","Total","Basic & first degree","2011","Unknown",0,0,0
"Total","Total","Basic & first degree","2012","Total",14148,5604,8544
"Total","Total","Basic & first degree","2012","Basic/broad, general programmes",0,0,0
"Total","Total","Basic & first degree","2012","Literacy and numeracy",0,0,0
"Total","Total","Basic & first degree","2012","Personal skills",0,0,0
"Total","Total","Basic & first degree","2012","Teacher training and educational science",1408,333,1075
"Total","Total","Basic & first degree","2012","Arts",611,228,383
"Total","Total","Basic & first degree","2012","Humanities",1630,574,1056
"Total","Total","Basic & first degree","2012","Social and behavioural science",2238,723,1515
"Total","Total","Basic & first degree","2012","Journalism and information",123,38,85
"Total","Total","Basic & first degree","2012","Business and administration",1674,771,903
"Total","Total","Basic & first degree","2012","Law",926,441,485
"Total","Total","Basic & first degree","2012","Life science",393,144,249
"Total","Total","Basic & first degree","2012","Physical science",381,226,155
"Total","Total","Basic & first degree","2012","Mathematics and statistics",62,44,18
"Total","Total","Basic & first degree","2012","Computing",783,648,135
"Total","Total","Basic & first degree","2012","Science, not specified",1,0,1
"Total","Total","Basic & first degree","2012","Engineering and engineering trades",1066,779,287
"Total","Total","Basic & first degree","2012","Manufacturing and processing",26,18,8
"Total","Total","Basic & first degree","2012","Architecture and building",265,173,92
"Total","Total","Basic & first degree","2012","Certified trades, not specified",0,0,0
"Total","Total","Basic & first degree","2012","Agriculture, forestry and fishery",182,89,93
"Total","Total","Basic & first degree","2012","Veterinary",0,0,0
"Total","Total","Basic & first degree","2012","Health",1585,220,1365
"Total","Total","Basic & first degree","2012","Social services",387,30,357
"Total","Total","Basic & first degree","2012","Personal services",392,115,277
"Total","Total","Basic & first degree","2012","Transport services",9,7,2
"Total","Total","Basic & first degree","2012","Environmental protection",6,3,3
"Total","Total","Basic & first degree","2012","Security services",0,0,0
"Total","Total","Basic & first degree","2012","Unknown",0,0,0
"Total","Total","Basic & first degree","2013","Total",14379,5662,8717
"Total","Total","Basic & first degree","2013","Basic/broad, general programmes",0,0,0
"Total","Total","Basic & first degree","2013","Literacy and numeracy",0,0,0
"Total","Total","Basic & first degree","2013","Personal skills",0,0,0
"Total","Total","Basic & first degree","2013","Teacher training and educational science",1312,300,1012
"Total","Total","Basic & first degree","2013","Arts",526,186,340
"Total","Total","Basic & first degree","2013","Humanities",1559,526,1033
"Total","Total","Basic & first degree","2013","Social and behavioural science",2339,717,1622
"Total","Total","Basic & first degree","2013","Journalism and information",110,37,73
"Total","Total","Basic & first degree","2013","Business and administration",1719,797,922
"Total","Total","Basic & first degree","2013","Law",883,404,479
"Total","Total","Basic & first degree","2013","Life science",378,112,266
"Total","Total","Basic & first degree","2013","Physical science",368,221,147
"Total","Total","Basic & first degree","2013","Mathematics and statistics",66,48,18
"Total","Total","Basic & first degree","2013","Computing",1053,848,205
"Total","Total","Basic & first degree","2013","Science, not specified",0,0,0
"Total","Total","Basic & first degree","2013","Engineering and engineering trades",1190,839,351
"Total","Total","Basic & first degree","2013","Manufacturing and processing",29,13,16
"Total","Total","Basic & first degree","2013","Architecture and building",252,150,102
"Total","Total","Basic & first degree","2013","Certified trades, not specified",0,0,0
"Total","Total","Basic & first degree","2013","Agriculture, forestry and fishery",191,97,94
"Total","Total","Basic & first degree","2013","Veterinary",0,0,0
"Total","Total","Basic & first degree","2013","Health",1628,215,1413
"Total","Total","Basic & first degree","2013","Social services",346,30,316
"Total","Total","Basic & first degree","2013","Personal services",412,112,300
"Total","Total","Basic & first degree","2013","Transport services",10,8,2
"Total","Total","Basic & first degree","2013","Environmental protection",8,2,6
"Total","Total","Basic & first degree","2013","Security services",0,0,0
"Total","Total","Basic & first degree","2013","Unknown",0,0,0
"Total","Total","Basic & first degree","2014","Total",13807,5362,8445
"Total","Total","Basic & first degree","2014","Basic/broad, general programmes",0,0,0
"Total","Total","Basic & first degree","2014","Literacy and numeracy",0,0,0
"Total","Total","Basic & first degree","2014","Personal skills",0,0,0
"Total","Total","Basic & first degree","2014","Teacher training and educational science",1282,296,986
"Total","Total","Basic & first degree","2014","Arts",530,190,340
"Total","Total","Basic & first degree","2014","Humanities",1344,449,895
"Total","Total","Basic & first degree","2014","Social and behavioural science",2209,638,1571
"Total","Total","Basic & first degree","2014","Journalism and information",123,40,83
"Total","Total","Basic & first degree","2014","Business and administration",1767,786,981
"Total","Total","Basic & first degree","2014","Law",722,327,395
"Total","Total","Basic & first degree","2014","Life science",302,95,207
"Total","Total","Basic & first degree","2014","Physical science",318,173,145
"Total","Total","Basic & first degree","2014","Mathematics and statistics",69,46,23
"Total","Total","Basic & first degree","2014","Computing",1160,918,242
"Total","Total","Basic & first degree","2014","Science, not specified",0,0,0
"Total","Total","Basic & first degree","2014","Engineering and engineering trades",1169,785,384
"Total","Total","Basic & first degree","2014","Manufacturing and processing",38,16,22
"Total","Total","Basic & first degree","2014","Architecture and building",248,142,106
"Total","Total","Basic & first degree","2014","Certified trades, not specified",0,0,0
"Total","Total","Basic & first degree","2014","Agriculture, forestry and fishery",193,90,103
"Total","Total","Basic & first degree","2014","Veterinary",0,0,0
"Total","Total","Basic & first degree","2014","Health",1573,212,1361
"Total","Total","Basic & first degree","2014","Social services",301,27,274
"Total","Total","Basic & first degree","2014","Personal services",449,122,327
"Total","Total","Basic & first degree","2014","Transport services",8,8,0
"Total","Total","Basic & first degree","2014","Environmental protection",2,2,0
"Total","Total","Basic & first degree","2014","Security services",0,0,0
"Total","Total","Basic & first degree","2014","Unknown",0,0,0
"Total","Total","Basic & first degree","2015","Total",13455,5135,8320
"Total","Total","Basic & first degree","2015","Basic/broad, general programmes",0,0,0
"Total","Total","Basic & first degree","2015","Literacy and numeracy",0,0,0
"Total","Total","Basic & first degree","2015","Personal skills",0,0,0
"Total","Total","Basic & first degree","2015","Teacher training and educational science",1343,285,1058
"Total","Total","Basic & first degree","2015","Arts",498,173,325
"Total","Total","Basic & first degree","2015","Humanities",1217,440,777
"Total","Total","Basic & first degree","2015","Social and behavioural science",2144,605,1539
"Total","Total","Basic & first degree","2015","Journalism and information",141,50,91
"Total","Total","Basic & first degree","2015","Business and administration",1764,816,948
"Total","Total","Basic & first degree","2015","Law",628,281,347
"Total","Total","Basic & first degree","2015","Life science",307,89,218
"Total","Total","Basic & first degree","2015","Physical science",256,148,108
"Total","Total","Basic & first degree","2015","Mathematics and statistics",73,52,21
"Total","Total","Basic & first degree","2015","Computing",1145,875,270
"Total","Total","Basic & first degree","2015","Science, not specified",0,0,0
"Total","Total","Basic & first degree","2015","Engineering and engineering trades",1095,716,379
"Total","Total","Basic & first degree","2015","Manufacturing and processing",30,11,19
"Total","Total","Basic & first degree","2015","Architecture and building",223,126,97
"Total","Total","Basic & first degree","2015","Certified trades, not specified",0,0,0
"Total","Total","Basic & first degree","2015","Agriculture, forestry and fishery",224,104,120
"Total","Total","Basic & first degree","2015","Veterinary",0,0,0
"Total","Total","Basic & first degree","2015","Health",1593,229,1364
"Total","Total","Basic & first degree","2015","Social services",330,22,308
"Total","Total","Basic & first degree","2015","Personal services",433,106,327
"Total","Total","Basic & first degree","2015","Transport services",8,5,3
"Total","Total","Basic & first degree","2015","Environmental protection",3,2,1
"Total","Total","Basic & first degree","2015","Security services",0,0,0
"Total","Total","Basic & first degree","2015","Unknown",0,0,0
"Total","Total","Basic & first degree","2016","Total",13012,4925,8087
"Total","Total","Basic & first degree","2016","Basic/broad, general programmes",0,0,0
"Total","Total","Basic & first degree","2016","Literacy and numeracy",0,0,0
"Total","Total","Basic & first degree","2016","Personal skills",0,0,0
"Total","Total","Basic & first degree","2016","Teacher training and educational science",1292,288,1004
"Total","Total","Basic & first degree","2016","Arts",475,176,299
"Total","Total","Basic & first degree","2016","Humanities",1180,426,754
"Total","Total","Basic & first degree","2016","Social and behavioural science",1939,545,1394
"Total","Total","Basic & first degree","2016","Journalism and information",153,58,95
"Total","Total","Basic & first degree","2016","Business and administration",1660,741,919
"Total","Total","Basic & first degree","2016","Law",526,225,301
"Total","Total","Basic & first degree","2016","Life science",290,92,198
"Total","Total","Basic & first degree","2016","Physical science",234,133,101
"Total","Total","Basic & first degree","2016","Mathematics and statistics",84,63,21
"Total","Total","Basic & first degree","2016","Computing",1098,824,274
"Total","Total","Basic & first degree","2016","Science, not specified",0,0,0
"Total","Total","Basic & first degree","2016","Engineering and engineering trades",1073,704,369
"Total","Total","Basic & first degree","2016","Manufacturing and processing",29,9,20
"Total","Total","Basic & first degree","2016","Architecture and building",231,120,111
"Total","Total","Basic & first degree","2016","Certified trades, not specified",0,0,0
"Total","Total","Basic & first degree","2016","Agriculture, forestry and fishery",216,93,123
"Total","Total","Basic & first degree","2016","Veterinary",0,0,0
"Total","Total","Basic & first degree","2016","Health",1672,237,1435
"Total","Total","Basic & first degree","2016","Social services",309,26,283
"Total","Total","Basic & first degree","2016","Personal services",429,101,328
"Total","Total","Basic & first degree","2016","Transport services",1,1,0
"Total","Total","Basic & first degree","2016","Environmental protection",3,1,2
"Total","Total","Basic & first degree","2016","Security services",118,62,56
"Total","Total","Basic & first degree","2016","Unknown",0,0,0
"Total","Total","Basic & first degree","2017","Total",12683,4802,7881
"Total","Total","Basic & first degree","2017","Basic/broad, general programmes",0,0,0
"Total","Total","Basic & first degree","2017","Literacy and numeracy",0,0,0
"Total","Total","Basic & first degree","2017","Personal skills",0,0,0
"Total","Total","Basic & first degree","2017","Teacher training and educational science",1328,292,1036
"Total","Total","Basic & first degree","2017","Arts",423,153,270
"Total","Total","Basic & first degree","2017","Humanities",1069,398,671
"Total","Total","Basic & first degree","2017","Social and behavioural science",1981,565,1416
"Total","Total","Basic & first degree","2017","Journalism and information",144,54,90
"Total","Total","Basic & first degree","2017","Business and administration",1644,737,907
"Total","Total","Basic & first degree","2017","Law",489,196,293
"Total","Total","Basic & first degree","2017","Life science",276,97,179
"Total","Total","Basic & first degree","2017","Physical science",188,87,101
"Total","Total","Basic & first degree","2017","Mathematics and statistics",89,61,28
"Total","Total","Basic & first degree","2017","Computing",1035,776,259
"Total","Total","Basic & first degree","2017","Science, not specified",0,0,0
"Total","Total","Basic & first degree","2017","Engineering and engineering trades",1070,703,367
"Total","Total","Basic & first degree","2017","Manufacturing and processing",19,5,14
"Total","Total","Basic & first degree","2017","Architecture and building",221,130,91
"Total","Total","Basic & first degree","2017","Certified trades, not specified",0,0,0
"Total","Total","Basic & first degree","2017","Agriculture, forestry and fishery",209,88,121
"Total","Total","Basic & first degree","2017","Veterinary",0,0,0
"Total","Total","Basic & first degree","2017","Health",1654,226,1428
"Total","Total","Basic & first degree","2017","Social services",264,20,244
"Total","Total","Basic & first degree","2017","Personal services",355,98,257
"Total","Total","Basic & first degree","2017","Transport services",0,0,0
"Total","Total","Basic & first degree","2017","Environmental protection",4,2,2
"Total","Total","Basic & first degree","2017","Security services",221,114,107
"Total","Total","Basic & first degree","2017","Unknown",0,0,0
"Total","Total","Basic & first degree","2018","Total",12959,4796,8163
"Total","Total","Basic & first degree","2018","Basic/broad, general programmes",0,0,0
"Total","Total","Basic & first degree","2018","Literacy and numeracy",0,0,0
"Total","Total","Basic & first degree","2018","Personal skills",0,0,0
"Total","Total","Basic & first degree","2018","Teacher training and educational science",1457,305,1152
"Total","Total","Basic & first degree","2018","Arts",413,144,269
"Total","Total","Basic & first degree","2018","Humanities",1083,375,708
"Total","Total","Basic & first degree","2018","Social and behavioural science",2118,637,1481
"Total","Total","Basic & first degree","2018","Journalism and information",159,55,104
"Total","Total","Basic & first degree","2018","Business and administration",1528,666,862
"Total","Total","Basic & first degree","2018","Law",518,206,312
"Total","Total","Basic & first degree","2018","Life science",279,93,186
"Total","Total","Basic & first degree","2018","Physical science",205,110,95
"Total","Total","Basic & first degree","2018","Mathematics and statistics",89,57,32
"Total","Total","Basic & first degree","2018","Computing",1002,750,252
"Total","Total","Basic & first degree","2018","Science, not specified",0,0,0
"Total","Total","Basic & first degree","2018","Engineering and engineering trades",1103,698,405
"Total","Total","Basic & first degree","2018","Manufacturing and processing",25,8,17
"Total","Total","Basic & first degree","2018","Architecture and building",233,125,108
"Total","Total","Basic & first degree","2018","Certified trades, not specified",0,0,0
"Total","Total","Basic & first degree","2018","Agriculture, forestry and fishery",198,86,112
"Total","Total","Basic & first degree","2018","Veterinary",0,0,0
"Total","Total","Basic & first degree","2018","Health",1699,239,1460
"Total","Total","Basic & first degree","2018","Social services",240,23,217
"Total","Total","Basic & first degree","2018","Personal services",304,85,219
"Total","Total","Basic & first degree","2018","Transport services",2,1,1
"Total","Total","Basic & first degree","2018","Environmental protection",2,1,1
"Total","Total","Basic & first degree","2018","Security services",302,132,170
"Total","Total","Basic & first degree","2018","Unknown",0,0,0
"Total","Total","Basic & first degree","2019","Total",13598,4973,8625
"Total","Total","Basic & first degree","2019","Basic/broad, general programmes",0,0,0
"Total","Total","Basic & first degree","2019","Literacy and numeracy",0,0,0
"Total","Total","Basic & first degree","2019","Personal skills",0,0,0
"Total","Total","Basic & first degree","2019","Teacher training and educational science",1713,413,1300
"Total","Total","Basic & first degree","2019","Arts",425,154,271
"Total","Total","Basic & first degree","2019","Humanities",1066,374,692
"Total","Total","Basic & first degree","2019","Social and behavioural science",2285,700,1585
"Total","Total","Basic & first degree","2019","Journalism and information",157,47,110
"Total","Total","Basic & first degree","2019","Business and administration",1582,713,869
"Total","Total","Basic & first degree","2019","Law",531,205,326
"Total","Total","Basic & first degree","2019","Life science",292,96,196
"Total","Total","Basic & first degree","2019","Physical science",194,93,101
"Total","Total","Basic & first degree","2019","Mathematics and statistics",87,54,33
"Total","Total","Basic & first degree","2019","Computing",961,714,247
"Total","Total","Basic & first degree","2019","Science, not specified",0,0,0
"Total","Total","Basic & first degree","2019","Engineering and engineering trades",1064,711,353
"Total","Total","Basic & first degree","2019","Manufacturing and processing",26,8,18
"Total","Total","Basic & first degree","2019","Architecture and building",264,122,142
"Total","Total","Basic & first degree","2019","Certified trades, not specified",0,0,0
"Total","Total","Basic & first degree","2019","Agriculture, forestry and fishery",193,69,124
"Total","Total","Basic & first degree","2019","Veterinary",0,0,0
"Total","Total","Basic & first degree","2019","Health",1895,258,1637
