Year,Sex,Age,Education,Income and taxes,Unit,Value
2006,Men,16 - 24 years,Upper secondary education: vocational,Total annual income,Number - total,1385000.0
2006,Men,75 years and over,Upper secondary education: vocational,Total annual income,Number - total,3111000.0
2006,Women,Total,Upper secondary education: vocational,Total annual income,Number - total,15275000.0
2006,Women,16 - 24 years,Upper secondary education: vocational,Total annual income,Number - total,911000.0
2006,Women,75 years and over,Upper secondary education: vocational,Total annual income,Number - total,1187000.0
2006,Total,Total,Upper secondary education: general,Total annual income,Number - total,22940000.0
2006,Total,16 - 24 years,Upper secondary education: general,Total annual income,Number - total,8001000.0
2006,Total,75 years and over,Upper secondary education: general,Total annual income,Number - total,262000.0
2006,Men,Total,Upper secondary education: general,Total annual income,Number - total,9170000.0
2006,Men,16 - 24 years,Upper secondary education: general,Total annual income,Number - total,3152000.0
2006,Men,75 years and over,Upper secondary education: general,Total annual income,Number - total,106000.0
2006,Women,Total,Upper secondary education: general,Total annual income,Number - total,13770000.0
2006,Women,16 - 24 years,Upper secondary education: general,Total annual income,Number - total,4849000.0
2006,Women,75 years and over,Upper secondary education: general,Total annual income,Number - total,156000.0
2006,Total,Total,Tertiary education,Total annual income,Number - total,41468000.0
2006,Total,16 - 24 years,Tertiary education,Total annual income,Number - total,767000.0
2006,Total,75 years and over,Tertiary education,Total annual income,Number - total,959000.0
2006,Men,Total,Tertiary education,Total annual income,Number - total,18877000.0
2006,Men,16 - 24 years,Tertiary education,Total annual income,Number - total,332000.0
2006,Men,75 years and over,Tertiary education,Total annual income,Number - total,677000.0
2006,Women,Total,Tertiary education,Total annual income,Number - total,22591000.0
2006,Women,16 - 24 years,Tertiary education,Total annual income,Number - total,435000.0
2006,Women,75 years and over,Tertiary education,Total annual income,Number - total,282000.0
2006,Total,Total,Short-cycle tertiary education,Total annual income,Number - total,4599000.0
2006,Men,Total,Short-cycle tertiary education,Total annual income,Number - total,1805000.0
2006,Women,Total,Short-cycle tertiary education,Total annual income,Number - total,2794000.0
2006,Total,Total,Bachelor's or equivalent level,Total annual income,Number - total,22855000.0
2006,Men,Total,Bachelor's or equivalent level,Total annual income,Number - total,8473000.0
2006,Women,Total,Bachelor's or equivalent level,Total annual income,Number - total,14382000.0
2006,Total,Total,Master's or equivalent level,Total annual income,Number - total,9905000.0
2006,Men,Total,Master's or equivalent level,Total annual income,Number - total,6020000.0
2006,Women,Total,Master's or equivalent level,Total annual income,Number - total,3885000.0
2006,Total,Total,Doctoral or equivalent level,Total annual income,Number - total,1298000.0
2006,Men,Total,Doctoral or equivalent level,Total annual income,Number - total,965000.0
2006,Women,Total,Doctoral or equivalent level,Total annual income,Number - total,333000.0
2006,Total,Total,Total,Total annual income,Standard deviation - total,11363000.0
2006,Total,16 - 24 years,Total,Total annual income,Standard deviation - total,1463000.0
2006,Total,75 years and over,Total,Total annual income,Standard deviation - total,6298000.0
2006,Men,Total,Total,Total annual income,Standard deviation - total,11587000.0
2006,Men,16 - 24 years,Total,Total annual income,Standard deviation - total,1750000.0
2006,Men,75 years and over,Total,Total annual income,Standard deviation - total,7963000.0
2006,Women,Total,Total,Total annual income,Standard deviation - total,11094000.0
2006,Women,16 - 24 years,Total,Total annual income,Standard deviation - total,1051000.0
2006,Women,75 years and over,Total,Total annual income,Standard deviation - total,4708000.0
2006,Total,Total,Basic education,Total annual income,Standard deviation - total,5770000.0
2006,Total,16 - 24 years,Basic education,Total annual income,Standard deviation - total,1520000.0
2006,Total,75 years and over,Basic education,Total annual income,Standard deviation - total,3441000.0
2006,Men,Total,Basic education,Total annual income,Standard deviation - total,5172000.0
2006,Men,16 - 24 years,Basic education,Total annual income,Standard deviation - total,1885000.0
2006,Men,75 years and over,Basic education,Total annual income,Standard deviation - total,3785000.0
2006,Women,Total,Basic education,Total annual income,Standard deviation - total,6175000.0
2006,Women,16 - 24 years,Basic education,Total annual income,Standard deviation - total,864000.0
2006,Women,75 years and over,Basic education,Total annual income,Standard deviation - total,3296000.0
2006,Total,Total,Upper secondary education,Total annual income,Standard deviation - total,11411000.0
2006,Total,16 - 24 years,Upper secondary education,Total annual income,Standard deviation - total,1322000.0
2006,Total,75 years and over,Upper secondary education,Total annual income,Standard deviation - total,9441000.0
2006,Men,Total,Upper secondary education,Total annual income,Standard deviation - total,13994000.0
2006,Men,16 - 24 years,Upper secondary education,Total annual income,Standard deviation - total,1324000.0
2006,Men,75 years and over,Upper secondary education,Total annual income,Standard deviation - total,9876000.0
2006,Women,Total,Upper secondary education,Total annual income,Standard deviation - total,6130000.0
2006,Women,16 - 24 years,Upper secondary education,Total annual income,Standard deviation - total,1285000.0
2006,Women,75 years and over,Upper secondary education,Total annual income,Standard deviation - total,8319000.0
2006,Total,Total,Upper secondary education: vocational,Total annual income,Standard deviation - total,10550000.0
2006,Total,16 - 24 years,Upper secondary education: vocational,Total annual income,Standard deviation - total,1456000.0
2006,Total,75 years and over,Upper secondary education: vocational,Total annual income,Standard deviation - total,9602000.0
2006,Men,Total,Upper secondary education: vocational,Total annual income,Standard deviation - total,11995000.0
2006,Men,16 - 24 years,Upper secondary education: vocational,Total annual income,Standard deviation - total,1574000.0
2006,Men,75 years and over,Upper secondary education: vocational,Total annual income,Standard deviation - total,10021000.0
2006,Women,Total,Upper secondary education: vocational,Total annual income,Standard deviation - total,6468000.0
2006,Women,16 - 24 years,Upper secondary education: vocational,Total annual income,Standard deviation - total,998000.0
2006,Women,75 years and over,Upper secondary education: vocational,Total annual income,Standard deviation - total,8406000.0
2006,Total,Total,Upper secondary education: general,Total annual income,Standard deviation - total,13515000.0
2006,Total,16 - 24 years,Upper secondary education: general,Total annual income,Standard deviation - total,1245000.0
2006,Total,75 years and over,Upper secondary education: general,Total annual income,Standard deviation - total,6416000.0
2006,Men,Total,Upper secondary education: general,Total annual income,Standard deviation - total,20081000.0
2006,Men,16 - 24 years,Upper secondary education: general,Total annual income,Standard deviation - total,1072000.0
2006,Men,75 years and over,Upper secondary education: general,Total annual income,Standard deviation - total,3097000.0
2006,Women,Total,Upper secondary education: general,Total annual income,Standard deviation - total,5941000.0
2006,Women,16 - 24 years,Upper secondary education: general,Total annual income,Standard deviation - total,1340000.0
2006,Women,75 years and over,Upper secondary education: general,Total annual income,Standard deviation - total,7916000.0
2006,Total,Total,Tertiary education,Total annual income,Standard deviation - total,18088000.0
2006,Total,16 - 24 years,Tertiary education,Total annual income,Standard deviation - total,1273000.0
2006,Total,75 years and over,Tertiary education,Total annual income,Standard deviation - total,10650000.0
2006,Men,Total,Tertiary education,Total annual income,Standard deviation - total,14318000.0
2006,Men,16 - 24 years,Tertiary education,Total annual income,Standard deviation - total,1430000.0
2006,Men,75 years and over,Tertiary education,Total annual income,Standard deviation - total,10796000.0
2006,Women,Total,Tertiary education,Total annual income,Standard deviation - total,20630000.0
2006,Women,16 - 24 years,Tertiary education,Total annual income,Standard deviation - total,1123000.0
2006,Women,75 years and over,Tertiary education,Total annual income,Standard deviation - total,10241000.0
2006,Total,Total,Short-cycle tertiary education,Total annual income,Standard deviation - total,4022000.0
2006,Men,Total,Short-cycle tertiary education,Total annual income,Standard deviation - total,3768000.0
2006,Women,Total,Short-cycle tertiary education,Total annual income,Standard deviation - total,4090000.0
2006,Total,Total,Bachelor's or equivalent level,Total annual income,Standard deviation - total,22145000.0
2006,Men,Total,Bachelor's or equivalent level,Total annual income,Standard deviation - total,15217000.0
2006,Women,Total,Bachelor's or equivalent level,Total annual income,Standard deviation - total,25306000.0
2006,Total,Total,Master's or equivalent level,Total annual income,Standard deviation - total,13788000.0
2006,Men,Total,Master's or equivalent level,Total annual income,Standard deviation - total,16498000.0
2006,Women,Total,Master's or equivalent level,Total annual income,Standard deviation - total,7497000.0
2006,Total,Total,Doctoral or equivalent level,Total annual income,Standard deviation - total,8337000.0
2006,Men,Total,Doctoral or equivalent level,Total annual income,Standard deviation - total,9067000.0
2006,Women,Total,Doctoral or equivalent level,Total annual income,Standard deviation - total,5449000.0
2006,Total,Total,Total,Income from work,Mean - total,2569000.0
2006,Total,16 - 24 years,Total,Income from work,Mean - total,1270000.0
2006,Total,75 years and over,Total,Income from work,Mean - total,68000.0
2006,Men,Total,Total,Income from work,Mean - total,3300000.0
2006,Men,16 - 24 years,Total,Income from work,Mean - total,1490000.0
2006,Men,75 years and over,Total,Income from work,Mean - total,122000.0
2006,Women,Total,Total,Income from work,Mean - total,1863000.0
2006,Women,16 - 24 years,Total,Income from work,Mean - total,1043000.0
2006,Women,75 years and over,Total,Income from work,Mean - total,28000.0
2006,Total,Total,Basic education,Income from work,Mean - total,1616000.0
2006,Total,16 - 24 years,Basic education,Income from work,Mean - total,1177000.0
2006,Total,75 years and over,Basic education,Income from work,Mean - total,29000.0
2006,Men,Total,Basic education,Income from work,Mean - total,2211000.0
2006,Men,16 - 24 years,Basic education,Income from work,Mean - total,1394000.0
2006,Men,75 years and over,Basic education,Income from work,Mean - total,56000.0
2006,Women,Total,Basic education,Income from work,Mean - total,1158000.0
2006,Women,16 - 24 years,Basic education,Income from work,Mean - total,922000.0
2006,Women,75 years and over,Basic education,Income from work,Mean - total,19000.0
2006,Total,Total,Upper secondary education,Income from work,Mean - total,2668000.0
2006,Total,16 - 24 years,Upper secondary education,Income from work,Mean - total,1438000.0
2006,Total,75 years and over,Upper secondary education,Income from work,Mean - total,98000.0
2006,Men,Total,Upper secondary education,Income from work,Mean - total,3237000.0
2006,Men,16 - 24 years,Upper secondary education,Income from work,Mean - total,1713000.0
2006,Men,75 years and over,Upper secondary education,Income from work,Mean - total,116000.0
2006,Women,Total,Upper secondary education,Income from work,Mean - total,1877000.0
2006,Women,16 - 24 years,Upper secondary education,Income from work,Mean - total,1219000.0
2006,Women,75 years and over,Upper secondary education,Income from work,Mean - total,58000.0
2006,Total,Total,Upper secondary education: vocational,Income from work,Mean - total,2886000.0
2006,Total,16 - 24 years,Upper secondary education: vocational,Income from work,Mean - total,1886000.0
2006,Total,75 years and over,Upper secondary education: vocational,Income from work,Mean - total,92000.0
2006,Men,Total,Upper secondary education: vocational,Income from work,Mean - total,3345000.0
2006,Men,16 - 24 years,Upper secondary education: vocational,Income from work,Mean - total,2299000.0
2006,Men,75 years and over,Upper secondary education: vocational,Income from work,Mean - total,107000.0
2006,Women,Total,Upper secondary education: vocational,Income from work,Mean - total,1929000.0
2006,Women,16 - 24 years,Upper secondary education: vocational,Income from work,Mean - total,1258000.0
2006,Women,75 years and over,Upper secondary education: vocational,Income from work,Mean - total,50000.0
2006,Total,Total,Upper secondary education: general,Income from work,Mean - total,2212000.0
2006,Total,16 - 24 years,Upper secondary education: general,Income from work,Mean - total,1299000.0
2006,Total,75 years and over,Upper secondary education: general,Income from work,Mean - total,211000.0
2006,Men,Total,Upper secondary education: general,Income from work,Mean - total,2843000.0
2006,Men,16 - 24 years,Upper secondary education: general,Income from work,Mean - total,1439000.0
2006,Men,75 years and over,Upper secondary education: general,Income from work,Mean - total,346000.0
2006,Women,Total,Upper secondary education: general,Income from work,Mean - total,1791000.0
2006,Women,16 - 24 years,Upper secondary education: general,Income from work,Mean - total,1208000.0
2006,Women,75 years and over,Upper secondary education: general,Income from work,Mean - total,119000.0
2006,Total,Total,Tertiary education,Income from work,Mean - total,4465000.0
2006,Total,16 - 24 years,Tertiary education,Income from work,Mean - total,1744000.0
2006,Total,75 years and over,Tertiary education,Income from work,Mean - total,369000.0
2006,Men,Total,Tertiary education,Income from work,Mean - total,5702000.0
2006,Men,16 - 24 years,Tertiary education,Income from work,Mean - total,1945000.0
2006,Men,75 years and over,Tertiary education,Income from work,Mean - total,458000.0
2006,Women,Total,Tertiary education,Income from work,Mean - total,3432000.0
2006,Women,16 - 24 years,Tertiary education,Income from work,Mean - total,1591000.0
2006,Women,75 years and over,Tertiary education,Income from work,Mean - total,154000.0
2006,Total,Total,Short-cycle tertiary education,Income from work,Mean - total,3686000.0
2006,Men,Total,Short-cycle tertiary education,Income from work,Mean - total,4562000.0
2006,Women,Total,Short-cycle tertiary education,Income from work,Mean - total,3120000.0
2006,Total,Total,Bachelor's or equivalent level,Income from work,Mean - total,4136000.0
2006,Men,Total,Bachelor's or equivalent level,Income from work,Mean - total,5654000.0
2006,Women,Total,Bachelor's or equivalent level,Income from work,Mean - total,3242000.0
2006,Total,Total,Master's or equivalent level,Income from work,Mean - total,5752000.0
2006,Men,Total,Master's or equivalent level,Income from work,Mean - total,6541000.0
2006,Women,Total,Master's or equivalent level,Income from work,Mean - total,4530000.0
2006,Total,Total,Doctoral or equivalent level,Income from work,Mean - total,6791000.0
2006,Men,Total,Doctoral or equivalent level,Income from work,Mean - total,7154000.0
2006,Women,Total,Doctoral or equivalent level,Income from work,Mean - total,5740000.0
2006,Total,Total,Total,Income from work,Median - total,2063000.0
2006,Total,16 - 24 years,Total,Income from work,Median - total,976000.0
2006,Total,75 years and over,Total,Income from work,Median - total,0.0
2006,Men,Total,Total,Income from work,Median - total,2934000.0
2006,Men,16 - 24 years,Total,Income from work,Median - total,1102000.0
2006,Men,75 years and over,Total,Income from work,Median - total,0.0
2006,Women,Total,Total,Income from work,Median - total,1524000.0
2006,Women,16 - 24 years,Total,Income from work,Median - total,893000.0
2006,Women,75 years and over,Total,Income from work,Median - total,0.0
2006,Total,Total,Basic education,Income from work,Median - total,1118000.0
2006,Total,16 - 24 years,Basic education,Income from work,Median - total,871000.0
2006,Total,75 years and over,Basic education,Income from work,Median - total,0.0
2006,Men,Total,Basic education,Income from work,Median - total,1824000.0
2006,Men,16 - 24 years,Basic education,Income from work,Median - total,984000.0
2006,Men,75 years and over,Basic education,Income from work,Median - total,0.0
2006,Women,Total,Basic education,Income from work,Median - total,787000.0
2006,Women,16 - 24 years,Basic education,Income from work,Median - total,776000.0
2006,Women,75 years and over,Basic education,Income from work,Median - total,0.0
2006,Total,Total,Upper secondary education,Income from work,Median - total,2346000.0
2006,Total,16 - 24 years,Upper secondary education,Income from work,Median - total,1192000.0
2006,Total,75 years and over,Upper secondary education,Income from work,Median - total,0.0
2006,Men,Total,Upper secondary education,Income from work,Median - total,3088000.0
2006,Men,16 - 24 years,Upper secondary education,Income from work,Median - total,1409000.0
2006,Men,75 years and over,Upper secondary education,Income from work,Median - total,0.0
2006,Women,Total,Upper secondary education,Income from work,Median - total,1675000.0
2006,Women,16 - 24 years,Upper secondary education,Income from work,Median - total,1074000.0
2006,Women,75 years and over,Upper secondary education,Income from work,Median - total,0.0
2006,Total,Total,Upper secondary education: vocational,Income from work,Median - total,2751000.0
2006,Total,16 - 24 years,Upper secondary education: vocational,Income from work,Median - total,1566000.0
2006,Total,75 years and over,Upper secondary education: vocational,Income from work,Median - total,0.0
2006,Men,Total,Upper secondary education: vocational,Income from work,Median - total,3313000.0
2006,Men,16 - 24 years,Upper secondary education: vocational,Income from work,Median - total,2197000.0
2006,Men,75 years and over,Upper secondary education: vocational,Income from work,Median - total,0.0
2006,Women,Total,Upper secondary education: vocational,Income from work,Median - total,1864000.0
2006,Women,16 - 24 years,Upper secondary education: vocational,Income from work,Median - total,1066000.0
2006,Women,75 years and over,Upper secondary education: vocational,Income from work,Median - total,0.0
2006,Total,Total,Upper secondary education: general,Income from work,Median - total,1679000.0
2006,Total,16 - 24 years,Upper secondary education: general,Income from work,Median - total,1126000.0
2006,Total,75 years and over,Upper secondary education: general,Income from work,Median - total,0.0
2006,Men,Total,Upper secondary education: general,Income from work,Median - total,2167000.0
2006,Men,16 - 24 years,Upper secondary education: general,Income from work,Median - total,1217000.0
2006,Men,75 years and over,Upper secondary education: general,Income from work,Median - total,0.0
2006,Women,Total,Upper secondary education: general,Income from work,Median - total,1461000.0
2006,Women,16 - 24 years,Upper secondary education: general,Income from work,Median - total,1071000.0
2006,Women,75 years and over,Upper secondary education: general,Income from work,Median - total,0.0
2006,Total,Total,Tertiary education,Income from work,Median - total,3879000.0
2006,Total,16 - 24 years,Tertiary education,Income from work,Median - total,1516000.0
2006,Total,75 years and over,Tertiary education,Income from work,Median - total,0.0
2006,Men,Total,Tertiary education,Income from work,Median - total,5082000.0
2006,Men,16 - 24 years,Tertiary education,Income from work,Median - total,1656000.0
2006,Men,75 years and over,Tertiary education,Income from work,Median - total,0.0
2006,Women,Total,Tertiary education,Income from work,Median - total,3335000.0
2006,Women,16 - 24 years,Tertiary education,Income from work,Median - total,1461000.0
2006,Women,75 years and over,Tertiary education,Income from work,Median - total,0.0
2006,Total,Total,Short-cycle tertiary education,Income from work,Median - total,3628000.0
2006,Men,Total,Short-cycle tertiary education,Income from work,Median - total,4602000.0
2006,Women,Total,Short-cycle tertiary education,Income from work,Median - total,3235000.0
2006,Total,Total,Bachelor's or equivalent level,Income from work,Median - total,3644000.0
2006,Men,Total,Bachelor's or equivalent level,Income from work,Median - total,4929000.0
2006,Women,Total,Bachelor's or equivalent level,Income from work,Median - total,3233000.0
2006,Total,Total,Master's or equivalent level,Income from work,Median - total,5147000.0
2006,Men,Total,Master's or equivalent level,Income from work,Median - total,5879000.0
2006,Women,Total,Master's or equivalent level,Income from work,Median - total,4318000.0
2006,Total,Total,Doctoral or equivalent level,Income from work,Median - total,6291000.0
2006,Men,Total,Doctoral or equivalent level,Income from work,Median - total,6675000.0
2006,Women,Total,Doctoral or equivalent level,Income from work,Median - total,5493000.0
2006,Total,Total,Total,Income from work,Number - total,204308000.0
2006,Total,16 - 24 years,Total,Income from work,Number - total,34290000.0
2006,Total,75 years and over,Total,Income from work,Number - total,16706000.0
2006,Men,Total,Total,Income from work,Number - total,100388000.0
2006,Men,16 - 24 years,Total,Income from work,Number - total,17440000.0
2006,Men,75 years and over,Total,Income from work,Number - total,7047000.0
2006,Women,Total,Total,Income from work,Number - total,103920000.0
2006,Women,16 - 24 years,Total,Income from work,Number - total,16850000.0
2006,Women,75 years and over,Total,Income from work,Number - total,9659000.0
2006,Total,Total,Basic education,Income from work,Number - total,89963000.0
2006,Total,16 - 24 years,Basic education,Income from work,Number - total,22899000.0
2006,Total,75 years and over,Basic education,Income from work,Number - total,11166000.0
2006,Men,Total,Basic education,Income from work,Number - total,39130000.0
2006,Men,16 - 24 years,Basic education,Income from work,Number - total,12403000.0
2006,Men,75 years and over,Basic education,Income from work,Number - total,3149000.0
2006,Women,Total,Basic education,Income from work,Number - total,50833000.0
2006,Women,16 - 24 years,Basic education,Income from work,Number - total,10496000.0
2006,Women,75 years and over,Basic education,Income from work,Number - total,8017000.0
2006,Total,Total,Upper secondary education,Income from work,Number - total,72832000.0
2006,Total,16 - 24 years,Upper secondary education,Income from work,Number - total,10592000.0
2006,Total,75 years and over,Upper secondary education,Income from work,Number - total,4579000.0
2006,Men,Total,Upper secondary education,Income from work,Number - total,42355000.0
2006,Men,16 - 24 years,Upper secondary education,Income from work,Number - total,4688000.0
2006,Men,75 years and over,Upper secondary education,Income from work,Number - total,3221000.0
2006,Women,Total,Upper secondary education,Income from work,Number - total,30477000.0
2006,Women,16 - 24 years,Upper secondary education,Income from work,Number - total,5904000.0
2006,Women,75 years and over,Upper secondary education,Income from work,Number - total,1358000.0
2006,Total,Total,Upper secondary education: vocational,Income from work,Number - total,47100000.0
2006,Total,16 - 24 years,Upper secondary education: vocational,Income from work,Number - total,2296000.0
2006,Total,75 years and over,Upper secondary education: vocational,Income from work,Number - total,4298000.0
2006,Men,Total,Upper secondary education: vocational,Income from work,Number - total,31825000.0
2006,Men,16 - 24 years,Upper secondary education: vocational,Income from work,Number - total,1385000.0
2006,Men,75 years and over,Upper secondary education: vocational,Income from work,Number - total,3111000.0
2006,Women,Total,Upper secondary education: vocational,Income from work,Number - total,15275000.0
2006,Women,16 - 24 years,Upper secondary education: vocational,Income from work,Number - total,911000.0
2006,Women,75 years and over,Upper secondary education: vocational,Income from work,Number - total,1187000.0
2006,Total,Total,Upper secondary education: general,Income from work,Number - total,22940000.0
2006,Total,16 - 24 years,Upper secondary education: general,Income from work,Number - total,8001000.0
2006,Total,75 years and over,Upper secondary education: general,Income from work,Number - total,262000.0
2006,Men,Total,Upper secondary education: general,Income from work,Number - total,9170000.0
2006,Men,16 - 24 years,Upper secondary education: general,Income from work,Number - total,3152000.0
2006,Men,75 years and over,Upper secondary education: general,Income from work,Number - total,106000.0
2006,Women,Total,Upper secondary education: general,Income from work,Number - total,13770000.0
2006,Women,16 - 24 years,Upper secondary education: general,Income from work,Number - total,4849000.0
2006,Women,75 years and over,Upper secondary education: general,Income from work,Number - total,156000.0
2006,Total,Total,Tertiary education,Income from work,Number - total,41468000.0
2006,Total,16 - 24 years,Tertiary education,Income from work,Number - total,767000.0
2006,Total,75 years and over,Tertiary education,Income from work,Number - total,959000.0
2006,Men,Total,Tertiary education,Income from work,Number - total,18877000.0
2006,Men,16 - 24 years,Tertiary education,Income from work,Number - total,332000.0
2006,Men,75 years and over,Tertiary education,Income from work,Number - total,677000.0
2006,Women,Total,Tertiary education,Income from work,Number - total,22591000.0
2006,Women,16 - 24 years,Tertiary education,Income from work,Number - total,435000.0
2006,Women,75 years and over,Tertiary education,Income from work,Number - total,282000.0
2006,Total,Total,Short-cycle tertiary education,Income from work,Number - total,4599000.0
2006,Men,Total,Short-cycle tertiary education,Income from work,Number - total,1805000.0
2006,Women,Total,Short-cycle tertiary education,Income from work,Number - total,2794000.0
2006,Total,Total,Bachelor's or equivalent level,Income from work,Number - total,22855000.0
2006,Men,Total,Bachelor's or equivalent level,Income from work,Number - total,8473000.0
2006,Women,Total,Bachelor's or equivalent level,Income from work,Number - total,14382000.0
2006,Total,Total,Master's or equivalent level,Income from work,Number - total,9905000.0
2006,Men,Total,Master's or equivalent level,Income from work,Number - total,6020000.0
2006,Women,Total,Master's or equivalent level,Income from work,Number - total,3885000.0
2006,Total,Total,Doctoral or equivalent level,Income from work,Number - total,1298000.0
2006,Men,Total,Doctoral or equivalent level,Income from work,Number - total,965000.0
2006,Women,Total,Doctoral or equivalent level,Income from work,Number - total,333000.0
2006,Total,Total,Total,Income from work,Standard deviation - total,2961000.0
2006,Total,16 - 24 years,Total,Income from work,Standard deviation - total,1050000.0
2006,Total,75 years and over,Total,Income from work,Standard deviation - total,550000.0
2006,Men,Total,Total,Income from work,Standard deviation - total,3605000.0
2006,Men,16 - 24 years,Total,Income from work,Standard deviation - total,1242000.0
2006,Men,75 years and over,Total,Income from work,Standard deviation - total,752000.0
2006,Women,Total,Total,Income from work,Standard deviation - total,1915000.0
2006,Women,16 - 24 years,Total,Income from work,Standard deviation - total,739000.0
2006,Women,75 years and over,Total,Income from work,Standard deviation - total,328000.0
2006,Total,Total,Basic education,Income from work,Standard deviation - total,1786000.0
2006,Total,16 - 24 years,Basic education,Income from work,Standard deviation - total,1048000.0
2006,Total,75 years and over,Basic education,Income from work,Standard deviation - total,303000.0
2006,Men,Total,Basic education,Income from work,Standard deviation - total,2137000.0
2006,Men,16 - 24 years,Basic education,Income from work,Standard deviation - total,1236000.0
2006,Men,75 years and over,Basic education,Income from work,Standard deviation - total,457000.0
2006,Women,Total,Basic education,Income from work,Standard deviation - total,1284000.0
2006,Women,16 - 24 years,Basic education,Income from work,Standard deviation - total,687000.0
2006,Women,75 years and over,Basic education,Income from work,Standard deviation - total,212000.0
2006,Total,Total,Upper secondary education,Income from work,Standard deviation - total,2392000.0
2006,Total,16 - 24 years,Upper secondary education,Income from work,Standard deviation - total,1011000.0
2006,Total,75 years and over,Upper secondary education,Income from work,Standard deviation - total,580000.0
2006,Men,Total,Upper secondary education,Income from work,Standard deviation - total,2709000.0
2006,Men,16 - 24 years,Upper secondary education,Income from work,Standard deviation - total,1211000.0
2006,Men,75 years and over,Upper secondary education,Income from work,Standard deviation - total,631000.0
2006,Women,Total,Upper secondary education,Income from work,Standard deviation - total,1549000.0
2006,Women,16 - 24 years,Upper secondary education,Income from work,Standard deviation - total,749000.0
2006,Women,75 years and over,Upper secondary education,Income from work,Standard deviation - total,433000.0
2006,Total,Total,Upper secondary education: vocational,Income from work,Standard deviation - total,2504000.0
2006,Total,16 - 24 years,Upper secondary education: vocational,Income from work,Standard deviation - total,1347000.0
2006,Total,75 years and over,Upper secondary education: vocational,Income from work,Standard deviation - total,566000.0
2006,Men,Total,Upper secondary education: vocational,Income from work,Standard deviation - total,2725000.0
2006,Men,16 - 24 years,Upper secondary education: vocational,Income from work,Standard deviation - total,1459000.0
2006,Men,75 years and over,Upper secondary education: vocational,Income from work,Standard deviation - total,612000.0
2006,Women,Total,Upper secondary education: vocational,Income from work,Standard deviation - total,1584000.0
2006,Women,16 - 24 years,Upper secondary education: vocational,Income from work,Standard deviation - total,825000.0
2006,Women,75 years and over,Upper secondary education: vocational,Income from work,Standard deviation - total,420000.0
2006,Total,Total,Upper secondary education: general,Income from work,Standard deviation - total,2135000.0
2006,Total,16 - 24 years,Upper secondary education: general,Income from work,Standard deviation - total,840000.0
2006,Total,75 years and over,Upper secondary education: general,Income from work,Standard deviation - total,769000.0
2006,Men,Total,Upper secondary education: general,Income from work,Standard deviation - total,2711000.0
2006,Men,16 - 24 years,Upper secondary education: general,Income from work,Standard deviation - total,970000.0
2006,Men,75 years and over,Upper secondary education: general,Income from work,Standard deviation - total,1009000.0
2006,Women,Total,Upper secondary education: general,Income from work,Standard deviation - total,1503000.0
2006,Women,16 - 24 years,Upper secondary education: general,Income from work,Standard deviation - total,729000.0
2006,Women,75 years and over,Upper secondary education: general,Income from work,Standard deviation - total,533000.0
2006,Total,Total,Tertiary education,Income from work,Standard deviation - total,4543000.0
2006,Total,16 - 24 years,Tertiary education,Income from work,Standard deviation - total,1211000.0
2006,Total,75 years and over,Tertiary education,Income from work,Standard deviation - total,1581000.0
2006,Men,Total,Tertiary education,Income from work,Standard deviation - total,5911000.0
2006,Men,16 - 24 years,Tertiary education,Income from work,Standard deviation - total,1398000.0
2006,Men,75 years and over,Tertiary education,Income from work,Standard deviation - total,1702000.0
2006,Women,Total,Tertiary education,Income from work,Standard deviation - total,2519000.0
2006,Women,16 - 24 years,Tertiary education,Income from work,Standard deviation - total,1022000.0
2006,Women,75 years and over,Tertiary education,Income from work,Standard deviation - total,1216000.0
2006,Total,Total,Short-cycle tertiary education,Income from work,Standard deviation - total,2286000.0
2006,Men,Total,Short-cycle tertiary education,Income from work,Standard deviation - total,2598000.0
2006,Women,Total,Short-cycle tertiary education,Income from work,Standard deviation - total,1852000.0
2006,Total,Total,Bachelor's or equivalent level,Income from work,Standard deviation - total,4272000.0
2006,Men,Total,Bachelor's or equivalent level,Income from work,Standard deviation - total,6178000.0
2006,Women,Total,Bachelor's or equivalent level,Income from work,Standard deviation - total,2089000.0
2006,Total,Total,Master's or equivalent level,Income from work,Standard deviation - total,5777000.0
2006,Men,Total,Master's or equivalent level,Income from work,Standard deviation - total,6680000.0
2006,Women,Total,Master's or equivalent level,Income from work,Standard deviation - total,3675000.0
2006,Total,Total,Doctoral or equivalent level,Income from work,Standard deviation - total,4462000.0
2006,Men,Total,Doctoral or equivalent level,Income from work,Standard deviation - total,4649000.0
2006,Women,Total,Doctoral or equivalent level,Income from work,Standard deviation - total,3680000.0
2006,Total,Total,Total,Taxes,Mean - total,772000.0
2006,Total,16 - 24 years,Total,Taxes,Mean - total,192000.0
2006,Total,75 years and over,Total,Taxes,Mean - total,368000.0
2006,Men,Total,Total,Taxes,Mean - total,1007000.0
2006,Men,16 - 24 years,Total,Taxes,Mean - total,257000.0
2006,Men,75 years and over,Total,Taxes,Mean - total,443000.0
2006,Women,Total,Total,Taxes,Mean - total,546000.0
2006,Women,16 - 24 years,Total,Taxes,Mean - total,125000.0
2006,Women,75 years and over,Total,Taxes,Mean - total,313000.0
2006,Total,Total,Basic education,Taxes,Mean - total,463000.0
2006,Total,16 - 24 years,Basic education,Taxes,Mean - total,173000.0
2006,Total,75 years and over,Basic education,Taxes,Mean - total,274000.0
