Year,Sex,Age,Unit,value
2006,Men,18 - 66 years,99%,2374100
2006,Men,25 - 54 years,99%,2443600
2006,Men,25 - 64 years,99%,2651800
2006,Men,25 - 74 years,99%,2654800
2006,Men,55 - 74 years,99%,3235200
2006,Men,67 years and older,99%,2295200
2006,Men,75 years and older,99%,1785400
2006,Men,Total,Mean - conditional,459400
2006,Men,16 - 24 years,Mean - conditional,163200
2006,Men,16 - 64 years,Mean - conditional,474200
2006,Men,16 - 74 years,Mean - conditional,472000
2006,Men,18 - 66 years,Mean - conditional,496900
2006,Men,25 - 54 years,Mean - conditional,543500
2006,Men,25 - 64 years,Mean - conditional,554400
2006,Men,25 - 74 years,Mean - conditional,542900
2006,Men,55 - 74 years,Mean - conditional,541600
2006,Men,67 years and older,Mean - conditional,350300
2006,Men,75 years and older,Mean - conditional,292600
2006,Men,Total,Number - conditional,100399
2006,Men,16 - 24 years,Number - conditional,17440
2006,Men,16 - 64 years,Number - conditional,85102
2006,Men,16 - 74 years,Number - conditional,93352
2006,Men,18 - 66 years,Number - conditional,82778
2006,Men,25 - 54 years,Number - conditional,53923
2006,Men,25 - 64 years,Number - conditional,67662
2006,Men,25 - 74 years,Number - conditional,75912
2006,Men,55 - 74 years,Number - conditional,21989
2006,Men,67 years and older,Number - conditional,13510
2006,Men,75 years and older,Number - conditional,7047
2006,Women,Total,10%,77000
2006,Women,16 - 24 years,10%,37000
2006,Women,16 - 64 years,10%,73000
2006,Women,16 - 74 years,10%,76800
2006,Women,18 - 66 years,10%,90100
2006,Women,25 - 54 years,10%,116200
2006,Women,25 - 64 years,10%,116700
2006,Women,25 - 74 years,10%,115000
2006,Women,55 - 74 years,10%,113300
2006,Women,67 years and older,10%,96200
2006,Women,75 years and older,10%,79700
2006,Women,Total,20%,122100
2006,Women,16 - 24 years,20%,55400
2006,Women,16 - 64 years,20%,119600
2006,Women,16 - 74 years,20%,122200
2006,Women,18 - 66 years,20%,136500
2006,Women,25 - 54 years,20%,169700
2006,Women,25 - 64 years,20%,168500
2006,Women,25 - 74 years,20%,160800
2006,Women,55 - 74 years,20%,147800
2006,Women,67 years and older,20%,127400
2006,Women,75 years and older,20%,121800
2006,Women,Total,30%,158600
2006,Women,16 - 24 years,30%,71200
2006,Women,16 - 64 years,30%,163200
2006,Women,16 - 74 years,30%,161700
2006,Women,18 - 66 years,30%,176600
2006,Women,25 - 54 years,30%,209400
2006,Women,25 - 64 years,30%,207000
2006,Women,25 - 74 years,30%,196100
2006,Women,55 - 74 years,30%,174900
2006,Women,67 years and older,30%,148000
2006,Women,75 years and older,30%,143900
2006,Women,Total,40%,189200
2006,Women,16 - 24 years,40%,86900
2006,Women,16 - 64 years,40%,202500
2006,Women,16 - 74 years,40%,197100
2006,Women,18 - 66 years,40%,213100
2006,Women,25 - 54 years,40%,248700
2006,Women,25 - 64 years,40%,245800
2006,Women,25 - 74 years,40%,233000
2006,Women,55 - 74 years,40%,200600
2006,Women,67 years and older,40%,163900
2006,Women,75 years and older,40%,161300
2006,Women,Total,50%,225100
2006,Women,16 - 24 years,50%,103000
2006,Women,16 - 64 years,50%,244500
2006,Women,16 - 74 years,50%,236900
2006,Women,18 - 66 years,50%,254100
2006,Women,25 - 54 years,50%,289300
2006,Women,25 - 64 years,50%,286600
2006,Women,25 - 74 years,50%,273500
2006,Women,55 - 74 years,50%,234500
2006,Women,67 years and older,50%,177200
2006,Women,75 years and older,50%,173200
2006,Women,Total,60%,270500
2006,Women,16 - 24 years,60%,122200
2006,Women,16 - 64 years,60%,291400
2006,Women,16 - 74 years,60%,284000
2006,Women,18 - 66 years,60%,300600
2006,Women,25 - 54 years,60%,332700
2006,Women,25 - 64 years,60%,330800
2006,Women,25 - 74 years,60%,319100
2006,Women,55 - 74 years,60%,278400
2006,Women,67 years and older,60%,192300
2006,Women,75 years and older,60%,185300
2006,Women,Total,70%,326200
2006,Women,16 - 24 years,70%,147200
2006,Women,16 - 64 years,70%,345000
2006,Women,16 - 74 years,70%,338200
2006,Women,18 - 66 years,70%,352400
2006,Women,25 - 54 years,70%,380500
2006,Women,25 - 64 years,70%,379800
2006,Women,25 - 74 years,70%,369500
2006,Women,55 - 74 years,70%,335300
2006,Women,67 years and older,70%,215000
2006,Women,75 years and older,70%,203600
2006,Women,Total,80%,394600
2006,Women,16 - 24 years,80%,179300
2006,Women,16 - 64 years,80%,410200
2006,Women,16 - 74 years,80%,404500
2006,Women,18 - 66 years,80%,417400
2006,Women,25 - 54 years,80%,445100
2006,Women,25 - 64 years,80%,445700
2006,Women,25 - 74 years,80%,435900
2006,Women,55 - 74 years,80%,407600
2006,Women,67 years and older,80%,260700
2006,Women,75 years and older,80%,236100
2006,Women,Total,90%,511500
2006,Women,16 - 24 years,90%,227900
2006,Women,16 - 64 years,90%,526800
2006,Women,16 - 74 years,90%,521600
2006,Women,18 - 66 years,90%,535200
2006,Women,25 - 54 years,90%,560600
2006,Women,25 - 64 years,90%,565800
2006,Women,25 - 74 years,90%,556900
2006,Women,55 - 74 years,90%,544700
2006,Women,67 years and older,90%,372800
2006,Women,75 years and older,90%,325900
2006,Women,Total,95%,662000
2006,Women,16 - 24 years,95%,277400
2006,Women,16 - 64 years,95%,677500
2006,Women,16 - 74 years,95%,674200
2006,Women,18 - 66 years,95%,690600
2006,Women,25 - 54 years,95%,720600
2006,Women,25 - 64 years,95%,735900
2006,Women,25 - 74 years,95%,726800
2006,Women,55 - 74 years,95%,751000
2006,Women,67 years and older,95%,519600
2006,Women,75 years and older,95%,458900
2006,Women,Total,99%,1493700
2006,Women,16 - 24 years,99%,399600
2006,Women,16 - 64 years,99%,1492200
2006,Women,16 - 74 years,99%,1504600
2006,Women,18 - 66 years,99%,1535400
2006,Women,25 - 54 years,99%,1547700
2006,Women,25 - 64 years,99%,1763400
2006,Women,25 - 74 years,99%,1726500
2006,Women,55 - 74 years,99%,2214900
2006,Women,67 years and older,99%,1527700
2006,Women,75 years and older,99%,1390700
2006,Women,Total,Mean - conditional,311500
2006,Women,16 - 24 years,Mean - conditional,122800
2006,Women,16 - 64 years,Mean - conditional,322700
2006,Women,16 - 74 years,Mean - conditional,320200
2006,Women,18 - 66 years,Mean - conditional,335400
2006,Women,25 - 54 years,Mean - conditional,366000
2006,Women,25 - 64 years,Mean - conditional,371800
2006,Women,25 - 74 years,Mean - conditional,363100
2006,Women,55 - 74 years,Mean - conditional,356100
2006,Women,67 years and older,Mean - conditional,252800
2006,Women,75 years and older,Mean - conditional,226300
2006,Women,Total,Number - conditional,103973
2006,Women,16 - 24 years,Number - conditional,16850
2006,Women,16 - 64 years,Number - conditional,85377
2006,Women,16 - 74 years,Number - conditional,94313
2006,Women,18 - 66 years,Number - conditional,83294
2006,Women,25 - 54 years,Number - conditional,54800
2006,Women,25 - 64 years,Number - conditional,68527
2006,Women,25 - 74 years,Number - conditional,77463
2006,Women,55 - 74 years,Number - conditional,22663
2006,Women,67 years and older,Number - conditional,16639
2006,Women,75 years and older,Number - conditional,9660
2007,Total,Total,10%,97900
2007,Total,16 - 24 years,10%,39300
2007,Total,16 - 64 years,10%,91300
2007,Total,16 - 74 years,10%,96200
2007,Total,18 - 66 years,10%,114800
2007,Total,25 - 54 years,10%,155900
2007,Total,25 - 64 years,10%,156500
2007,Total,25 - 74 years,10%,155200
2007,Total,55 - 74 years,10%,154000
2007,Total,67 years and older,10%,142500
2007,Total,75 years and older,10%,128000
2007,Total,Total,20%,159300
2007,Total,16 - 24 years,20%,61300
2007,Total,16 - 64 years,20%,154600
2007,Total,16 - 74 years,20%,159200
2007,Total,18 - 66 years,20%,177200
2007,Total,25 - 54 years,20%,220900
2007,Total,25 - 64 years,20%,219200
2007,Total,25 - 74 years,20%,209000
2007,Total,55 - 74 years,20%,193300
2007,Total,67 years and older,20%,167000
2007,Total,75 years and older,20%,160300
2007,Total,Total,30%,201400
2007,Total,16 - 24 years,30%,81300
2007,Total,16 - 64 years,30%,211400
2007,Total,16 - 74 years,30%,209100
2007,Total,18 - 66 years,30%,229200
2007,Total,25 - 54 years,30%,277900
2007,Total,25 - 64 years,30%,275600
2007,Total,25 - 74 years,30%,260200
2007,Total,55 - 74 years,30%,226600
2007,Total,67 years and older,30%,184500
2007,Total,75 years and older,30%,178500
2007,Total,Total,40%,247000
2007,Total,16 - 24 years,40%,101600
2007,Total,16 - 64 years,40%,269000
2007,Total,16 - 74 years,40%,261600
2007,Total,18 - 66 years,40%,285900
2007,Total,25 - 54 years,40%,333700
2007,Total,25 - 64 years,40%,332200
2007,Total,25 - 74 years,40%,316400
2007,Total,55 - 74 years,40%,273200
2007,Total,67 years and older,40%,199000
2007,Total,75 years and older,40%,191100
2007,Total,Total,50%,305700
2007,Total,16 - 24 years,50%,123200
2007,Total,16 - 64 years,50%,330800
2007,Total,16 - 74 years,50%,322400
2007,Total,18 - 66 years,50%,345100
2007,Total,25 - 54 years,50%,387600
2007,Total,25 - 64 years,50%,386900
2007,Total,25 - 74 years,50%,373300
2007,Total,55 - 74 years,50%,331600
2007,Total,67 years and older,50%,216100
2007,Total,75 years and older,50%,204000
2007,Total,Total,60%,371200
2007,Total,16 - 24 years,60%,150600
2007,Total,16 - 64 years,60%,394400
2007,Total,16 - 74 years,60%,386700
2007,Total,18 - 66 years,60%,406900
2007,Total,25 - 54 years,60%,445700
2007,Total,25 - 64 years,60%,445700
2007,Total,25 - 74 years,60%,433800
2007,Total,55 - 74 years,60%,398000
2007,Total,67 years and older,60%,241100
2007,Total,75 years and older,60%,222000
2007,Total,Total,70%,445500
2007,Total,16 - 24 years,70%,185700
2007,Total,16 - 64 years,70%,467000
2007,Total,16 - 74 years,70%,460400
2007,Total,18 - 66 years,70%,479000
2007,Total,25 - 54 years,70%,515500
2007,Total,25 - 64 years,70%,517500
2007,Total,25 - 74 years,70%,506000
2007,Total,55 - 74 years,70%,478500
2007,Total,67 years and older,70%,282600
2007,Total,75 years and older,70%,249700
2007,Total,Total,80%,546700
2007,Total,16 - 24 years,80%,234400
2007,Total,16 - 64 years,80%,566700
2007,Total,16 - 74 years,80%,561700
2007,Total,18 - 66 years,80%,579800
2007,Total,25 - 54 years,80%,616500
2007,Total,25 - 64 years,80%,621300
2007,Total,25 - 74 years,80%,610500
2007,Total,55 - 74 years,80%,593200
2007,Total,67 years and older,80%,360800
2007,Total,75 years and older,80%,301500
2007,Total,Total,90%,736000
2007,Total,16 - 24 years,90%,314500
2007,Total,16 - 64 years,90%,755500
2007,Total,16 - 74 years,90%,752300
2007,Total,18 - 66 years,90%,771100
2007,Total,25 - 54 years,90%,809700
2007,Total,25 - 64 years,90%,823400
2007,Total,25 - 74 years,90%,813800
2007,Total,55 - 74 years,90%,825300
2007,Total,67 years and older,90%,541000
2007,Total,75 years and older,90%,431000
2007,Total,Total,95%,990000
2007,Total,16 - 24 years,95%,391000
2007,Total,16 - 64 years,95%,1011900
2007,Total,16 - 74 years,95%,1012600
2007,Total,18 - 66 years,95%,1036700
2007,Total,25 - 54 years,95%,1083700
2007,Total,25 - 64 years,95%,1115400
2007,Total,25 - 74 years,95%,1108500
2007,Total,55 - 74 years,95%,1183600
2007,Total,67 years and older,95%,784200
2007,Total,75 years and older,95%,619300
2007,Total,Total,99%,2527200
2007,Total,16 - 24 years,99%,596200
2007,Total,16 - 64 years,99%,2533800
2007,Total,16 - 74 years,99%,2568900
2007,Total,18 - 66 years,99%,2658500
2007,Total,25 - 54 years,99%,2774300
2007,Total,25 - 64 years,99%,2973600
2007,Total,25 - 74 years,99%,2967600
2007,Total,55 - 74 years,99%,3642800
2007,Total,67 years and older,99%,2335500
2007,Total,75 years and older,99%,1987000
2007,Total,Total,Mean - conditional,459000
2007,Total,16 - 24 years,Mean - conditional,158700
2007,Total,16 - 64 years,Mean - conditional,469700
2007,Total,16 - 74 years,Mean - conditional,470700
2007,Total,18 - 66 years,Mean - conditional,491800
2007,Total,25 - 54 years,Mean - conditional,533100
2007,Total,25 - 64 years,Mean - conditional,546800
2007,Total,25 - 74 years,Mean - conditional,539400
2007,Total,55 - 74 years,Mean - conditional,554500
2007,Total,67 years and older,Mean - conditional,380700
2007,Total,75 years and older,Mean - conditional,327900
2007,Total,Total,Number - conditional,208061
2007,Total,16 - 24 years,Number - conditional,34458
2007,Total,16 - 64 years,Number - conditional,173440
2007,Total,16 - 74 years,Number - conditional,191023
2007,Total,18 - 66 years,Number - conditional,169466
2007,Total,25 - 54 years,Number - conditional,110525
2007,Total,25 - 64 years,Number - conditional,138982
2007,Total,25 - 74 years,Number - conditional,156565
2007,Total,55 - 74 years,Number - conditional,46040
2007,Total,67 years and older,Number - conditional,30489
2007,Total,75 years and older,Number - conditional,17038
2007,Men,Total,10%,111800
2007,Men,16 - 24 years,10%,38300
2007,Men,16 - 64 years,10%,103200
2007,Men,16 - 74 years,10%,109700
2007,Men,18 - 66 years,10%,135800
2007,Men,25 - 54 years,10%,194000
2007,Men,25 - 64 years,10%,194300
2007,Men,25 - 74 years,10%,188700
2007,Men,55 - 74 years,10%,180600
2007,Men,67 years and older,10%,155500
2007,Men,75 years and older,10%,147200
2007,Men,Total,20%,184400
2007,Men,16 - 24 years,20%,61500
2007,Men,16 - 64 years,20%,185300
2007,Men,16 - 74 years,20%,188700
2007,Men,18 - 66 years,20%,213700
2007,Men,25 - 54 years,20%,280700
2007,Men,25 - 64 years,20%,279300
2007,Men,25 - 74 years,20%,260100
2007,Men,55 - 74 years,20%,225200
2007,Men,67 years and older,20%,180200
2007,Men,75 years and older,20%,171400
2007,Men,Total,30%,239800
2007,Men,16 - 24 years,30%,83600
2007,Men,16 - 64 years,30%,262400
2007,Men,16 - 74 years,30%,256000
2007,Men,18 - 66 years,30%,289100
2007,Men,25 - 54 years,30%,351600
2007,Men,25 - 64 years,30%,351200
2007,Men,25 - 74 years,30%,332900
2007,Men,55 - 74 years,30%,285400
2007,Men,67 years and older,30%,198100
2007,Men,75 years and older,30%,187100
2007,Men,Total,40%,310600
2007,Men,16 - 24 years,40%,107300
2007,Men,16 - 64 years,40%,338300
2007,Men,16 - 74 years,40%,329400
2007,Men,18 - 66 years,40%,358700
2007,Men,25 - 54 years,40%,412000
2007,Men,25 - 64 years,40%,411700
2007,Men,25 - 74 years,40%,396600
2007,Men,55 - 74 years,40%,353600
2007,Men,67 years and older,40%,216600
2007,Men,75 years and older,40%,201400
2007,Men,Total,50%,382000
2007,Men,16 - 24 years,50%,134500
2007,Men,16 - 64 years,50%,406800
2007,Men,16 - 74 years,50%,399100
2007,Men,18 - 66 years,50%,422400
2007,Men,25 - 54 years,50%,468800
2007,Men,25 - 64 years,50%,469200
2007,Men,25 - 74 years,50%,456200
2007,Men,55 - 74 years,50%,421100
2007,Men,67 years and older,50%,241200
2007,Men,75 years and older,50%,218000
2007,Men,Total,60%,453000
2007,Men,16 - 24 years,60%,170400
2007,Men,16 - 64 years,60%,474500
2007,Men,16 - 74 years,60%,468300
2007,Men,18 - 66 years,60%,489100
2007,Men,25 - 54 years,60%,530800
2007,Men,25 - 64 years,60%,533200
2007,Men,25 - 74 years,60%,521900
2007,Men,55 - 74 years,60%,494500
2007,Men,67 years and older,60%,280300
2007,Men,75 years and older,60%,241600
2007,Men,Total,70%,535500
2007,Men,16 - 24 years,70%,216500
2007,Men,16 - 64 years,70%,555400
2007,Men,16 - 74 years,70%,550100
2007,Men,18 - 66 years,70%,568700
2007,Men,25 - 54 years,70%,610100
2007,Men,25 - 64 years,70%,613800
2007,Men,25 - 74 years,70%,603200
2007,Men,55 - 74 years,70%,582300
2007,Men,67 years and older,70%,340800
2007,Men,75 years and older,70%,280000
2007,Men,Total,80%,648500
2007,Men,16 - 24 years,80%,278100
2007,Men,16 - 64 years,80%,667100
2007,Men,16 - 74 years,80%,662600
2007,Men,18 - 66 years,80%,681900
2007,Men,25 - 54 years,80%,722200
2007,Men,25 - 64 years,80%,731300
2007,Men,25 - 74 years,80%,721000
2007,Men,55 - 74 years,80%,717300
2007,Men,67 years and older,80%,454400
2007,Men,75 years and older,80%,347100
2007,Men,Total,90%,867900
2007,Men,16 - 24 years,90%,366900
2007,Men,16 - 64 years,90%,884500
2007,Men,16 - 74 years,90%,884000
2007,Men,18 - 66 years,90%,904200
2007,Men,25 - 54 years,90%,946600
2007,Men,25 - 64 years,90%,969100
2007,Men,25 - 74 years,90%,961200
2007,Men,55 - 74 years,90%,997500
2007,Men,67 years and older,90%,669100
2007,Men,75 years and older,90%,515200
2007,Men,Total,95%,1181600
2007,Men,16 - 24 years,95%,446100
2007,Men,16 - 64 years,95%,1194600
2007,Men,16 - 74 years,95%,1201100
2007,Men,18 - 66 years,95%,1228400
2007,Men,25 - 54 years,95%,1274400
2007,Men,25 - 64 years,95%,1331200
2007,Men,25 - 74 years,95%,1326700
2007,Men,55 - 74 years,95%,1449000
2007,Men,67 years and older,95%,990200
2007,Men,75 years and older,95%,740700
2007,Men,Total,99%,3002000
2007,Men,16 - 24 years,99%,650700
2007,Men,16 - 64 years,99%,2991200
2007,Men,16 - 74 years,99%,3032500
2007,Men,18 - 66 years,99%,3155300
2007,Men,25 - 54 years,99%,3286100
2007,Men,25 - 64 years,99%,3506100
2007,Men,25 - 74 years,99%,3485500
2007,Men,55 - 74 years,99%,4252300
2007,Men,67 years and older,99%,2902800
2007,Men,75 years and older,99%,2630800
2007,Men,Total,Mean - conditional,542600
2007,Men,16 - 24 years,Mean - conditional,177400
2007,Men,16 - 64 years,Mean - conditional,551500
2007,Men,16 - 74 years,Mean - conditional,554000
2007,Men,18 - 66 years,Mean - conditional,579400
2007,Men,25 - 54 years,Mean - conditional,630400
2007,Men,25 - 64 years,Mean - conditional,646200
2007,Men,25 - 74 years,Mean - conditional,639000
2007,Men,55 - 74 years,Mean - conditional,659800
2007,Men,67 years and older,Mean - conditional,459800
2007,Men,75 years and older,Mean - conditional,392000
2007,Men,Total,Number - conditional,102297
2007,Men,16 - 24 years,Number - conditional,17500
2007,Men,16 - 64 years,Number - conditional,86621
2007,Men,16 - 74 years,Number - conditional,95076
2007,Men,18 - 66 years,Number - conditional,84472
2007,Men,25 - 54 years,Number - conditional,54853
2007,Men,25 - 64 years,Number - conditional,69121
2007,Men,25 - 74 years,Number - conditional,77576
2007,Men,55 - 74 years,Number - conditional,22723
2007,Men,67 years and older,Number - conditional,13655
2007,Men,75 years and older,Number - conditional,7221
2007,Women,Total,10%,88800
2007,Women,16 - 24 years,10%,39800
2007,Women,16 - 64 years,10%,83100
2007,Women,16 - 74 years,10%,87700
2007,Women,18 - 66 years,10%,101700
2007,Women,25 - 54 years,10%,132500
2007,Women,25 - 64 years,10%,132800
2007,Women,25 - 74 years,10%,134300
2007,Women,55 - 74 years,10%,138000
2007,Women,67 years and older,10%,131600
2007,Women,75 years and older,10%,109100
2007,Women,Total,20%,143400
2007,Women,16 - 24 years,20%,61300
2007,Women,16 - 64 years,20%,135400
2007,Women,16 - 74 years,20%,141000
2007,Women,18 - 66 years,20%,153400
2007,Women,25 - 54 years,20%,190200
2007,Women,25 - 64 years,20%,189300
2007,Women,25 - 74 years,20%,183400
2007,Women,55 - 74 years,20%,173100
2007,Women,67 years and older,20%,157600
2007,Women,75 years and older,20%,152800
2007,Women,Total,30%,181300
2007,Women,16 - 24 years,30%,79500
2007,Women,16 - 64 years,30%,184000
2007,Women,16 - 74 years,30%,183800
2007,Women,18 - 66 years,30%,197700
2007,Women,25 - 54 years,30%,233600
2007,Women,25 - 64 years,30%,231300
2007,Women,25 - 74 years,30%,220800
2007,Women,55 - 74 years,30%,200700
2007,Women,67 years and older,30%,175700
2007,Women,75 years and older,30%,172700
2007,Women,Total,40%,213300
2007,Women,16 - 24 years,40%,97300
2007,Women,16 - 64 years,40%,226700
2007,Women,16 - 74 years,40%,222200
2007,Women,18 - 66 years,40%,238200
2007,Women,25 - 54 years,40%,277000
2007,Women,25 - 64 years,40%,274100
2007,Women,25 - 74 years,40%,260800
2007,Women,55 - 74 years,40%,228400
2007,Women,67 years and older,40%,188900
2007,Women,75 years and older,40%,185200
2007,Women,Total,50%,253300
2007,Women,16 - 24 years,50%,115300
2007,Women,16 - 64 years,50%,273100
2007,Women,16 - 74 years,50%,265700
2007,Women,18 - 66 years,50%,284200
2007,Women,25 - 54 years,50%,321900
2007,Women,25 - 64 years,50%,319200
2007,Women,25 - 74 years,50%,306300
2007,Women,55 - 74 years,50%,266700
2007,Women,67 years and older,50%,202200
2007,Women,75 years and older,50%,196900
2007,Women,Total,60%,303800
2007,Women,16 - 24 years,60%,136800
2007,Women,16 - 64 years,60%,325200
2007,Women,16 - 74 years,60%,317500
2007,Women,18 - 66 years,60%,334600
2007,Women,25 - 54 years,60%,368300
2007,Women,25 - 64 years,60%,366700
2007,Women,25 - 74 years,60%,355300
2007,Women,55 - 74 years,60%,314600
2007,Women,67 years and older,60%,219600
2007,Women,75 years and older,60%,210700
2007,Women,Total,70%,363800
2007,Women,16 - 24 years,70%,163100
2007,Women,16 - 64 years,70%,382300
2007,Women,16 - 74 years,70%,375800
2007,Women,18 - 66 years,70%,390600
2007,Women,25 - 54 years,70%,421800
2007,Women,25 - 64 years,70%,420900
2007,Women,25 - 74 years,70%,410800
2007,Women,55 - 74 years,70%,377900
2007,Women,67 years and older,70%,246800
2007,Women,75 years and older,70%,231900
2007,Women,Total,80%,439000
2007,Women,16 - 24 years,80%,198500
2007,Women,16 - 64 years,80%,457100
2007,Women,16 - 74 years,80%,451000
2007,Women,18 - 66 years,80%,465900
2007,Women,25 - 54 years,80%,495000
2007,Women,25 - 64 years,80%,495800
2007,Women,25 - 74 years,80%,486400
2007,Women,55 - 74 years,80%,459400
2007,Women,67 years and older,80%,297300
2007,Women,75 years and older,80%,270100
2007,Women,Total,90%,575600
2007,Women,16 - 24 years,90%,253900
2007,Women,16 - 64 years,90%,594300
2007,Women,16 - 74 years,90%,589900
2007,Women,18 - 66 years,90%,604500
2007,Women,25 - 54 years,90%,634200
2007,Women,25 - 64 years,90%,639900
2007,Women,25 - 74 years,90%,631500
2007,Women,55 - 74 years,90%,622000
2007,Women,67 years and older,90%,421200
2007,Women,75 years and older,90%,371000
2007,Women,Total,95%,752800
2007,Women,16 - 24 years,95%,309400
2007,Women,16 - 64 years,95%,768600
2007,Women,16 - 74 years,95%,766500
2007,Women,18 - 66 years,95%,786000
2007,Women,25 - 54 years,95%,825800
2007,Women,25 - 64 years,95%,839000
2007,Women,25 - 74 years,95%,829800
2007,Women,55 - 74 years,95%,841600
2007,Women,67 years and older,95%,597000
2007,Women,75 years and older,95%,512800
2007,Women,Total,99%,1943200
2007,Women,16 - 24 years,99%,463100
2007,Women,16 - 64 years,99%,1936800
2007,Women,16 - 74 years,99%,1982300
2007,Women,18 - 66 years,99%,2042900
2007,Women,25 - 54 years,99%,2145300
2007,Women,25 - 64 years,99%,2299900
2007,Women,25 - 74 years,99%,2300100
2007,Women,55 - 74 years,99%,2888900
2007,Women,67 years and older,99%,1858900
2007,Women,75 years and older,99%,1619200
2007,Women,Total,Mean - conditional,378200
2007,Women,16 - 24 years,Mean - conditional,139400
2007,Women,16 - 64 years,Mean - conditional,388100
2007,Women,16 - 74 years,Mean - conditional,388200
2007,Women,18 - 66 years,Mean - conditional,404800
2007,Women,25 - 54 years,Mean - conditional,437200
2007,Women,25 - 64 years,Mean - conditional,448500
2007,Women,25 - 74 years,Mean - conditional,441600
2007,Women,55 - 74 years,Mean - conditional,451900
2007,Women,67 years and older,Mean - conditional,316600
2007,Women,75 years and older,Mean - conditional,280800
2007,Women,Total,Number - conditional,105764
2007,Women,16 - 24 years,Number - conditional,16958
2007,Women,16 - 64 years,Number - conditional,86819
2007,Women,16 - 74 years,Number - conditional,95947
2007,Women,18 - 66 years,Number - conditional,84994
2007,Women,25 - 54 years,Number - conditional,55672
2007,Women,25 - 64 years,Number - conditional,69861
2007,Women,25 - 74 years,Number - conditional,78989
2007,Women,55 - 74 years,Number - conditional,23317
2007,Women,67 years and older,Number - conditional,16834
2007,Women,75 years and older,Number - conditional,9817
2008,Total,Total,10%,104900
2008,Total,16 - 24 years,10%,36700
2008,Total,16 - 64 years,10%,95300
2008,Total,16 - 74 years,10%,101600
2008,Total,18 - 66 years,10%,123600
2008,Total,25 - 54 years,10%,170000
2008,Total,25 - 64 years,10%,174100
2008,Total,25 - 74 years,10%,176700
2008,Total,55 - 74 years,10%,187700
2008,Total,67 years and older,10%,173800
2008,Total,75 years and older,10%,162000
2008,Total,Total,20%,179300
2008,Total,16 - 24 years,20%,62600
2008,Total,16 - 64 years,20%,167800
2008,Total,16 - 74 years,20%,176200
2008,Total,18 - 66 years,20%,193900
2008,Total,25 - 54 years,20%,242700
2008,Total,25 - 64 years,20%,243900
2008,Total,25 - 74 years,20%,237400
2008,Total,55 - 74 years,20%,229700
2008,Total,67 years and older,20%,202900
2008,Total,75 years and older,20%,194700
2008,Total,Total,30%,229600
2008,Total,16 - 24 years,30%,84600
2008,Total,16 - 64 years,30%,231900
2008,Total,16 - 74 years,30%,233800
2008,Total,18 - 66 years,30%,252600
2008,Total,25 - 54 years,30%,304300
2008,Total,25 - 64 years,30%,304600
2008,Total,25 - 74 years,30%,292700
2008,Total,55 - 74 years,30%,271100
2008,Total,67 years and older,30%,222500
2008,Total,75 years and older,30%,214100
2008,Total,Total,40%,280200
2008,Total,16 - 24 years,40%,106100
2008,Total,16 - 64 years,40%,294000
2008,Total,16 - 74 years,40%,290900
2008,Total,18 - 66 years,40%,312900
2008,Total,25 - 54 years,40%,363200
2008,Total,25 - 64 years,40%,364400
2008,Total,25 - 74 years,40%,351900
2008,Total,55 - 74 years,40%,323400
2008,Total,67 years and older,40%,243600
2008,Total,75 years and older,40%,232200
2008,Total,Total,50%,341800
2008,Total,16 - 24 years,50%,129500
2008,Total,16 - 64 years,50%,360500
2008,Total,16 - 74 years,50%,355400
2008,Total,18 - 66 years,50%,376600
2008,Total,25 - 54 years,50%,420500
2008,Total,25 - 64 years,50%,422400
2008,Total,25 - 74 years,50%,411300
2008,Total,55 - 74 years,50%,385200
2008,Total,67 years and older,50%,269200
2008,Total,75 years and older,50%,252800
2008,Total,Total,60%,410400
2008,Total,16 - 24 years,60%,159200
2008,Total,16 - 64 years,60%,428300
2008,Total,16 - 74 years,60%,423600
2008,Total,18 - 66 years,60%,442300
2008,Total,25 - 54 years,60%,480900
2008,Total,25 - 64 years,60%,483800
2008,Total,25 - 74 years,60%,473700
2008,Total,55 - 74 years,60%,455000
2008,Total,67 years and older,60%,304100
2008,Total,75 years and older,60%,280200
2008,Total,Total,70%,487600
2008,Total,16 - 24 years,70%,196600
2008,Total,16 - 64 years,70%,504500
2008,Total,16 - 74 years,70%,500600
2008,Total,18 - 66 years,70%,518000
2008,Total,25 - 54 years,70%,554400
2008,Total,25 - 64 years,70%,559600
2008,Total,25 - 74 years,70%,550400
2008,Total,55 - 74 years,70%,538000
2008,Total,67 years and older,70%,358700
2008,Total,75 years and older,70%,320000
2008,Total,Total,80%,595400
2008,Total,16 - 24 years,80%,248200
2008,Total,16 - 64 years,80%,611500
2008,Total,16 - 74 years,80%,608700
2008,Total,18 - 66 years,80%,625700
2008,Total,25 - 54 years,80%,662100
2008,Total,25 - 64 years,80%,670800
2008,Total,25 - 74 years,80%,662800
2008,Total,55 - 74 years,80%,664800
2008,Total,67 years and older,80%,453000
2008,Total,75 years and older,80%,389600
2008,Total,Total,90%,800500
2008,Total,16 - 24 years,90%,331200
2008,Total,16 - 64 years,90%,814200
2008,Total,16 - 74 years,90%,814600
2008,Total,18 - 66 years,90%,832900
2008,Total,25 - 54 years,90%,869400
2008,Total,25 - 64 years,90%,888900
2008,Total,25 - 74 years,90%,882400
2008,Total,55 - 74 years,90%,919500
2008,Total,67 years and older,90%,658800
